Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/09/2009;00:00;180.900445;180.926211;180.900445;180.926211;21
01/09/2009;00:01;180.951976;181.003508;180.926211;181.003508;16
01/09/2009;00:02;181.003508;181.055039;180.951976;181.055039;74
01/09/2009;00:03;181.029273;181.029273;180.977742;181.003508;10
01/09/2009;00:04;181.003508;181.029273;181.003508;181.029273;3
01/09/2009;00:05;181.003508;181.055039;181.003508;181.003508;7
01/09/2009;00:06;180.977742;181.003508;180.951976;181.003508;6
01/09/2009;00:07;180.977742;181.029273;180.977742;180.977742;4
01/09/2009;00:08;180.977742;181.029273;180.977742;180.977742;3
01/09/2009;00:09;181.029273;181.055039;181.003508;181.055039;18
01/09/2009;00:10;181.080804;181.10657;181.080804;181.10657;81
01/09/2009;00:11;181.10657;181.10657;181.080804;181.10657;6
01/09/2009;00:12;181.10657;181.132336;181.080804;181.132336;15
01/09/2009;00:13;181.132336;181.261164;181.132336;181.261164;118
01/09/2009;00:14;181.261164;181.261164;181.158101;181.209633;8
01/09/2009;00:15;181.209633;181.261164;181.209633;181.261164;23
01/09/2009;00:16;181.261164;181.261164;181.209633;181.209633;11
01/09/2009;00:17;181.158101;181.209633;181.158101;181.209633;8
01/09/2009;00:18;181.209633;181.235398;181.209633;181.235398;5
01/09/2009;00:19;181.235398;181.235398;181.183867;181.183867;2
01/09/2009;00:21;181.209633;181.209633;181.209633;181.209633;3
01/09/2009;00:22;181.209633;181.261164;181.183867;181.235398;12
01/09/2009;00:23;181.209633;181.235398;181.209633;181.235398;11
01/09/2009;00:24;181.261164;181.312695;181.235398;181.312695;40
01/09/2009;00:25;181.338461;181.415758;181.312695;181.415758;83
01/09/2009;00:26;181.389992;181.467289;181.389992;181.389992;33
01/09/2009;00:27;181.415758;181.441523;181.389992;181.415758;8
01/09/2009;00:28;181.415758;181.415758;181.338461;181.389992;9
01/09/2009;00:29;181.441523;181.441523;181.441523;181.441523;3
01/09/2009;00:30;181.467289;181.467289;181.389992;181.441523;13
01/09/2009;00:31;181.441523;181.441523;181.415758;181.415758;15
01/09/2009;00:32;181.415758;181.415758;181.415758;181.415758;3
01/09/2009;00:33;181.441523;181.441523;181.338461;181.389992;18
01/09/2009;00:34;181.389992;181.415758;181.389992;181.415758;2
01/09/2009;00:35;181.441523;181.441523;181.415758;181.415758;7
01/09/2009;00:36;181.441523;181.441523;181.389992;181.389992;7
01/09/2009;00:37;181.389992;181.415758;181.338461;181.415758;14
01/09/2009;00:38;181.389992;181.389992;181.389992;181.389992;1
01/09/2009;00:39;181.389992;181.389992;181.338461;181.338461;6
01/09/2009;00:40;181.286929;181.389992;181.286929;181.389992;6
01/09/2009;00:41;181.364226;181.364226;181.312695;181.312695;9
01/09/2009;00:42;181.338461;181.338461;181.286929;181.286929;3
01/09/2009;00:43;181.338461;181.338461;181.286929;181.312695;6
01/09/2009;00:44;181.312695;181.312695;181.286929;181.286929;5
01/09/2009;00:45;181.261164;181.261164;181.261164;181.261164;9
01/09/2009;00:46;181.286929;181.338461;181.286929;181.338461;2
01/09/2009;00:47;181.338461;181.338461;181.338461;181.338461;1
01/09/2009;00:48;181.364226;181.364226;181.338461;181.338461;7
01/09/2009;00:49;181.364226;181.389992;181.364226;181.389992;22
01/09/2009;00:50;181.389992;181.389992;181.364226;181.364226;6
01/09/2009;00:51;181.338461;181.338461;181.338461;181.338461;1
01/09/2009;00:52;181.338461;181.338461;181.312695;181.312695;5
01/09/2009;00:53;181.338461;181.338461;181.338461;181.338461;4
01/09/2009;00:54;181.338461;181.364226;181.338461;181.338461;6
01/09/2009;00:55;181.286929;181.286929;181.080804;181.080804;27
01/09/2009;00:56;181.055039;181.158101;181.055039;181.158101;6
01/09/2009;00:57;181.158101;181.235398;181.158101;181.183867;12
01/09/2009;00:58;181.158101;181.158101;181.158101;181.158101;2
01/09/2009;00:59;181.183867;181.209633;181.158101;181.158101;5
01/09/2009;01:00;181.235398;181.235398;181.209633;181.209633;3
01/09/2009;01:01;181.209633;181.338461;181.209633;181.338461;12
01/09/2009;01:02;181.338461;181.389992;181.312695;181.364226;12
01/09/2009;01:03;181.389992;181.389992;181.338461;181.389992;6
01/09/2009;01:04;181.364226;181.389992;181.338461;181.389992;10
01/09/2009;01:05;181.389992;181.389992;181.338461;181.338461;18
01/09/2009;01:06;181.364226;181.415758;181.364226;181.389992;17
01/09/2009;01:07;181.338461;181.338461;181.235398;181.235398;15
01/09/2009;01:08;181.235398;181.261164;181.209633;181.261164;7
01/09/2009;01:09;181.235398;181.235398;181.183867;181.183867;7
01/09/2009;01:10;181.183867;181.183867;181.132336;181.132336;5
01/09/2009;01:11;181.158101;181.209633;181.158101;181.183867;3
01/09/2009;01:12;181.183867;181.183867;181.10657;181.132336;38
01/09/2009;01:13;181.132336;181.183867;181.132336;181.132336;10
01/09/2009;01:14;181.132336;181.132336;181.10657;181.10657;9
01/09/2009;01:15;181.132336;181.183867;181.132336;181.132336;9
01/09/2009;01:16;181.132336;181.132336;181.080804;181.080804;16
01/09/2009;01:17;181.080804;181.080804;181.003508;181.055039;28
01/09/2009;01:18;181.029273;181.055039;180.977742;181.003508;16
01/09/2009;01:19;181.003508;181.055039;180.977742;181.029273;44
01/09/2009;01:20;181.055039;181.055039;181.003508;181.003508;14
01/09/2009;01:21;181.003508;181.055039;180.977742;181.055039;22
01/09/2009;01:22;181.055039;181.080804;181.055039;181.055039;5
01/09/2009;01:23;181.055039;181.080804;181.029273;181.080804;3
01/09/2009;01:24;181.080804;181.10657;181.080804;181.080804;7
01/09/2009;01:25;181.055039;181.055039;181.003508;181.003508;5
01/09/2009;01:26;181.003508;181.003508;181.003508;181.003508;2
01/09/2009;01:27;181.003508;181.003508;181.003508;181.003508;4
01/09/2009;01:28;181.003508;181.003508;180.977742;180.977742;7
