Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
31/01/2010;23:57;178.739054;178.739054;178.739054;178.739054;3
01/02/2010;00:00;178.739054;178.739054;178.714468;178.739054;4
01/02/2010;00:01;178.714468;178.714468;178.714468;178.714468;4
01/02/2010;00:02;178.714468;178.739054;178.714468;178.739054;3
01/02/2010;00:03;178.76364;178.788225;178.714468;178.714468;21
01/02/2010;00:04;178.665296;178.689882;178.64071;178.64071;7
01/02/2010;00:05;178.64071;178.665296;178.64071;178.665296;2
01/02/2010;00:06;178.64071;178.64071;178.64071;178.64071;5
01/02/2010;00:07;178.64071;178.665296;178.64071;178.665296;3
01/02/2010;00:08;178.689882;178.689882;178.689882;178.689882;6
01/02/2010;00:09;178.689882;178.714468;178.689882;178.714468;7
01/02/2010;00:10;178.714468;178.714468;178.689882;178.689882;3
01/02/2010;00:11;178.739054;178.739054;178.714468;178.739054;5
01/02/2010;00:14;178.64071;178.64071;178.64071;178.64071;1
01/02/2010;00:15;178.665296;178.689882;178.665296;178.689882;2
01/02/2010;00:16;178.665296;178.665296;178.64071;178.64071;3
01/02/2010;00:17;178.665296;178.714468;178.665296;178.714468;8
01/02/2010;00:19;178.714468;178.739054;178.714468;178.714468;11
01/02/2010;00:20;178.739054;178.788225;178.739054;178.788225;10
01/02/2010;00:21;178.76364;178.76364;178.739054;178.76364;6
01/02/2010;00:22;178.739054;178.739054;178.739054;178.739054;4
01/02/2010;00:23;178.739054;178.739054;178.739054;178.739054;1
01/02/2010;00:24;178.714468;178.714468;178.714468;178.714468;2
01/02/2010;00:25;178.714468;178.714468;178.689882;178.689882;7
01/02/2010;00:26;178.689882;178.739054;178.689882;178.714468;3
01/02/2010;00:27;178.689882;178.714468;178.689882;178.714468;3
01/02/2010;00:28;178.714468;178.714468;178.714468;178.714468;2
01/02/2010;00:29;178.739054;178.76364;178.739054;178.76364;17
01/02/2010;00:30;178.788225;178.788225;178.788225;178.788225;4
01/02/2010;00:31;178.76364;178.788225;178.739054;178.788225;9
01/02/2010;00:32;178.788225;178.837397;178.76364;178.812811;28
01/02/2010;00:33;178.812811;178.812811;178.812811;178.812811;1
01/02/2010;00:34;178.812811;178.861983;178.812811;178.861983;14
01/02/2010;00:35;178.837397;178.837397;178.837397;178.837397;1
01/02/2010;00:37;178.837397;178.861983;178.837397;178.861983;2
01/02/2010;00:38;178.861983;178.886569;178.837397;178.886569;19
01/02/2010;00:39;178.886569;178.886569;178.861983;178.861983;8
01/02/2010;00:40;178.837397;178.960326;178.837397;178.960326;24
01/02/2010;00:41;178.911155;178.960326;178.812811;178.935741;28
01/02/2010;00:42;178.935741;178.935741;178.911155;178.911155;2
01/02/2010;00:43;178.886569;178.886569;178.861983;178.861983;5
01/02/2010;00:44;178.861983;178.861983;178.812811;178.861983;18
01/02/2010;00:45;178.886569;178.935741;178.886569;178.935741;8
01/02/2010;00:46;178.935741;178.935741;178.911155;178.911155;3
01/02/2010;00:47;178.886569;178.886569;178.886569;178.886569;3
01/02/2010;00:48;178.886569;178.911155;178.886569;178.911155;3
01/02/2010;00:49;178.911155;178.911155;178.886569;178.886569;5
01/02/2010;00:50;178.861983;178.861983;178.861983;178.861983;7
01/02/2010;00:51;178.861983;178.886569;178.861983;178.886569;5
01/02/2010;00:52;178.911155;178.935741;178.911155;178.935741;9
01/02/2010;00:53;178.935741;178.935741;178.911155;178.911155;3
01/02/2010;00:54;178.886569;178.886569;178.861983;178.861983;3
01/02/2010;00:55;178.837397;178.837397;178.837397;178.837397;2
01/02/2010;00:57;178.911155;178.984912;178.911155;178.911155;28
01/02/2010;00:58;178.886569;178.886569;178.886569;178.886569;3
01/02/2010;00:59;178.911155;178.911155;178.911155;178.911155;1
01/02/2010;01:00;178.886569;178.960326;178.861983;178.935741;11
01/02/2010;01:01;178.935741;178.935741;178.935741;178.935741;6
01/02/2010;01:02;178.960326;178.984912;178.935741;178.984912;12
01/02/2010;01:04;178.960326;179.157013;178.960326;179.107841;64
01/02/2010;01:05;179.083256;179.107841;179.083256;179.107841;7
01/02/2010;01:06;179.107841;179.132427;179.107841;179.132427;6
01/02/2010;01:07;179.157013;179.304528;179.157013;179.304528;126
01/02/2010;01:08;179.304528;179.329114;179.304528;179.304528;14
01/02/2010;01:09;179.279942;179.279942;179.132427;179.255356;73
01/02/2010;01:10;179.279942;179.279942;179.230771;179.230771;6
01/02/2010;01:11;179.230771;179.230771;179.157013;179.157013;26
01/02/2010;01:12;179.181599;179.206185;179.181599;179.206185;4
01/02/2010;01:13;179.230771;179.230771;179.181599;179.206185;8
01/02/2010;01:14;179.181599;179.206185;179.181599;179.206185;4
01/02/2010;01:15;179.206185;179.206185;179.181599;179.181599;5
01/02/2010;01:16;179.181599;179.230771;179.181599;179.230771;16
01/02/2010;01:17;179.230771;179.230771;179.181599;179.206185;5
01/02/2010;01:18;179.181599;179.230771;179.181599;179.206185;7
01/02/2010;01:19;179.206185;179.230771;179.181599;179.181599;3
01/02/2010;01:20;179.206185;179.206185;179.206185;179.206185;1
01/02/2010;01:21;179.206185;179.206185;179.181599;179.181599;7
01/02/2010;01:22;179.157013;179.181599;179.157013;179.181599;7
01/02/2010;01:23;179.206185;179.206185;179.157013;179.157013;3
01/02/2010;01:24;179.181599;179.255356;179.157013;179.255356;22
01/02/2010;01:25;179.279942;179.3537;179.279942;179.329114;18
01/02/2010;01:26;179.329114;179.476629;179.329114;179.427457;188
01/02/2010;01:27;179.427457;179.427457;179.427457;179.427457;34
01/02/2010;01:28;179.427457;179.427457;179.427457;179.427457;25
01/02/2010;01:29;179.427457;179.476629;179.427457;179.476629;152
01/02/2010;01:30;179.452043;179.599558;179.452043;179.574972;206
01/02/2010;01:31;179.574972;179.574972;179.427457;179.452043;27
01/02/2010;01:32;179.427457;179.427457;179.329114;179.3537;52
01/02/2010;01:33;179.329114;179.329114;179.279942;179.304528;15
01/02/2010;01:34;179.304528;179.329114;179.279942;179.329114;5
01/02/2010;01:35;179.329114;179.402871;179.329114;179.3537;37
01/02/2010;01:36;179.378286;179.378286;179.329114;179.3537;12
01/02/2010;01:37;179.329114;179.329114;179.304528;179.304528;6
01/02/2010;01:38;179.3537;179.402871;179.3537;179.378286;18
01/02/2010;01:39;179.402871;179.525801;179.402871;179.501215;31
01/02/2010;01:40;179.501215;179.501215;179.452043;179.452043;13
01/02/2010;01:41;179.427457;179.476629;179.427457;179.476629;49
01/02/2010;01:42;179.452043;179.476629;179.452043;179.452043;30
01/02/2010;01:43;179.427457;179.452043;179.427457;179.427457;10
01/02/2010;01:44;179.452043;179.452043;179.427457;179.427457;2
01/02/2010;01:45;179.427457;179.476629;179.427457;179.427457;24
01/02/2010;01:46;179.452043;179.452043;179.402871;179.427457;23
01/02/2010;01:47;179.452043;179.452043;179.402871;179.402871;10
01/02/2010;01:48;179.427457;179.452043;179.427457;179.427457;17
01/02/2010;01:49;179.427457;179.452043;179.427457;179.452043;11
01/02/2010;01:50;179.452043;179.476629;179.427457;179.427457;88
01/02/2010;01:51;179.427457;179.452043;179.402871;179.427457;60
01/02/2010;01:52;179.402871;179.476629;179.402871;179.427457;20
01/02/2010;01:53;179.427457;179.452043;179.402871;179.452043;29
01/02/2010;01:54;179.427457;179.452043;179.402871;179.452043;48
01/02/2010;01:55;179.427457;179.452043;179.427457;179.452043;6
01/02/2010;01:56;179.427457;179.427457;179.427457;179.427457;5
01/02/2010;01:57;179.427457;179.452043;179.427457;179.452043;56
01/02/2010;01:58;179.427457;179.427457;179.427457;179.427457;10
01/02/2010;01:59;179.427457;179.427457;179.427457;179.427457;23
01/02/2010;02:00;179.427457;179.427457;179.304528;179.304528;56
01/02/2010;02:01;179.304528;179.3537;179.279942;179.329114;33
01/02/2010;02:02;179.329114;179.402871;179.304528;179.329114;33
01/02/2010;02:03;179.304528;179.3537;179.304528;179.304528;16
01/02/2010;02:04;179.304528;179.329114;179.279942;179.329114;16
01/02/2010;02:05;179.279942;179.279942;179.206185;179.206185;42
01/02/2010;02:06;179.230771;179.279942;179.230771;179.230771;17
01/02/2010;02:07;179.255356;179.279942;179.230771;179.279942;7
01/02/2010;02:08;179.255356;179.304528;179.255356;179.304528;17
01/02/2010;02:09;179.279942;179.304528;179.279942;179.279942;6
01/02/2010;02:10;179.304528;179.3537;179.304528;179.3537;9
01/02/2010;02:11;179.378286;179.402871;179.329114;179.329114;27
01/02/2010;02:12;179.329114;179.3537;179.329114;179.3537;22
