Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/04/2010;00:00;203.483021;203.483021;203.483021;203.483021;5
01/04/2010;00:01;203.483021;203.507402;203.483021;203.507402;8
01/04/2010;00:02;203.483021;203.483021;203.45864;203.45864;2
01/04/2010;00:03;203.483021;203.507402;203.45864;203.507402;5
01/04/2010;00:04;203.507402;203.507402;203.434259;203.483021;20
01/04/2010;00:05;203.45864;203.45864;203.45864;203.45864;3
01/04/2010;00:06;203.434259;203.434259;203.434259;203.434259;2
01/04/2010;00:07;203.434259;203.434259;203.385497;203.385497;11
01/04/2010;00:08;203.409878;203.434259;203.385497;203.409878;6
01/04/2010;00:09;203.409878;203.409878;203.385497;203.409878;7
01/04/2010;00:10;203.409878;203.409878;203.409878;203.409878;3
01/04/2010;00:11;203.434259;203.434259;203.434259;203.434259;5
01/04/2010;00:12;203.45864;203.483021;203.45864;203.483021;9
01/04/2010;00:13;203.45864;203.507402;203.45864;203.507402;9
01/04/2010;00:14;203.483021;203.483021;203.483021;203.483021;2
01/04/2010;00:15;203.45864;203.45864;203.434259;203.434259;4
01/04/2010;00:16;203.434259;203.434259;203.434259;203.434259;5
01/04/2010;00:17;203.434259;203.434259;203.434259;203.434259;1
01/04/2010;00:18;203.434259;203.45864;203.434259;203.45864;3
01/04/2010;00:19;203.434259;203.483021;203.434259;203.483021;5
01/04/2010;00:20;203.483021;203.483021;203.483021;203.483021;4
01/04/2010;00:21;203.45864;203.45864;203.45864;203.45864;1
01/04/2010;00:22;203.434259;203.45864;203.434259;203.45864;3
01/04/2010;00:23;203.45864;203.45864;203.361117;203.409878;28
01/04/2010;00:24;203.409878;203.409878;203.361117;203.385497;5
01/04/2010;00:25;203.361117;203.385497;203.361117;203.361117;6
01/04/2010;00:29;203.409878;203.409878;203.409878;203.409878;2
01/04/2010;00:30;203.385497;203.385497;203.385497;203.385497;4
01/04/2010;00:32;203.385497;203.434259;203.385497;203.434259;7
01/04/2010;00:33;203.409878;203.434259;203.409878;203.434259;4
01/04/2010;00:34;203.45864;203.45864;203.45864;203.45864;1
01/04/2010;00:35;203.45864;203.45864;203.45864;203.45864;1
01/04/2010;00:36;203.45864;203.45864;203.45864;203.45864;2
01/04/2010;00:37;203.45864;203.45864;203.45864;203.45864;3
01/04/2010;00:38;203.45864;203.483021;203.45864;203.483021;4
01/04/2010;00:39;203.483021;203.507402;203.45864;203.483021;15
01/04/2010;00:40;203.507402;203.507402;203.507402;203.507402;1
01/04/2010;00:41;203.531783;203.531783;203.531783;203.531783;3
01/04/2010;00:42;203.507402;203.507402;203.507402;203.507402;1
01/04/2010;00:43;203.483021;203.531783;203.45864;203.531783;9
01/04/2010;00:44;203.556164;203.556164;203.531783;203.531783;6
01/04/2010;00:45;203.531783;203.531783;203.531783;203.531783;1
01/04/2010;00:46;203.507402;203.507402;203.507402;203.507402;1
01/04/2010;00:47;203.507402;203.531783;203.507402;203.531783;9
01/04/2010;00:48;203.531783;203.531783;203.483021;203.507402;9
01/04/2010;00:49;203.483021;203.507402;203.483021;203.507402;6
01/04/2010;00:51;203.483021;203.483021;203.483021;203.483021;3
01/04/2010;00:54;203.507402;203.653687;203.507402;203.580545;102
01/04/2010;00:55;203.629307;203.629307;203.604926;203.604926;2
01/04/2010;00:56;203.580545;203.580545;203.580545;203.580545;12
01/04/2010;00:57;203.580545;203.580545;203.556164;203.556164;8
01/04/2010;00:58;203.604926;203.604926;203.580545;203.580545;5
01/04/2010;00:59;203.556164;203.604926;203.556164;203.580545;7
01/04/2010;01:00;203.604926;203.604926;203.604926;203.604926;4
01/04/2010;01:01;203.580545;203.604926;203.580545;203.604926;7
01/04/2010;01:02;203.604926;203.604926;203.580545;203.604926;4
01/04/2010;01:03;203.604926;203.604926;203.604926;203.604926;3
01/04/2010;01:04;203.604926;203.604926;203.604926;203.604926;2
01/04/2010;01:05;203.604926;203.629307;203.580545;203.580545;8
01/04/2010;01:06;203.580545;203.604926;203.556164;203.580545;47
01/04/2010;01:07;203.580545;203.580545;203.556164;203.580545;5
01/04/2010;01:08;203.604926;203.629307;203.604926;203.604926;8
01/04/2010;01:09;203.604926;203.629307;203.604926;203.629307;17
01/04/2010;01:10;203.629307;203.653687;203.604926;203.653687;21
01/04/2010;01:11;203.653687;203.653687;203.653687;203.653687;3
01/04/2010;01:12;203.653687;203.653687;203.604926;203.604926;16
01/04/2010;01:13;203.604926;203.604926;203.580545;203.604926;31
