Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/06/2011;00:00;207.102655;207.102655;207.102655;207.102655;20
01/06/2011;00:01;207.142908;207.203288;207.142908;207.183161;9
01/06/2011;00:02;207.163035;207.163035;207.163035;207.163035;1
01/06/2011;00:03;207.122781;207.142908;207.102655;207.142908;10
01/06/2011;00:04;207.122781;207.122781;207.102655;207.102655;2
01/06/2011;00:05;207.102655;207.122781;207.102655;207.122781;4
01/06/2011;00:06;207.163035;207.163035;207.163035;207.163035;4
01/06/2011;00:08;207.142908;207.142908;207.122781;207.122781;3
01/06/2011;00:09;207.122781;207.122781;207.122781;207.122781;2
01/06/2011;00:10;207.102655;207.102655;207.102655;207.102655;16
01/06/2011;00:11;207.102655;207.102655;207.022148;207.022148;14
01/06/2011;00:12;207.022148;207.022148;207.022148;207.022148;2
01/06/2011;00:13;207.002022;207.002022;207.002022;207.002022;2
01/06/2011;00:14;206.981895;207.002022;206.961769;206.981895;26
01/06/2011;00:15;207.002022;207.002022;207.002022;207.002022;2
01/06/2011;00:16;207.002022;207.002022;207.002022;207.002022;2
01/06/2011;00:17;207.022148;207.042275;207.022148;207.042275;11
01/06/2011;00:18;207.062402;207.062402;207.062402;207.062402;1
01/06/2011;00:19;207.062402;207.062402;207.062402;207.062402;1
01/06/2011;00:20;207.062402;207.062402;207.062402;207.062402;1
01/06/2011;00:21;207.042275;207.062402;207.042275;207.062402;4
01/06/2011;00:22;207.062402;207.062402;207.062402;207.062402;2
01/06/2011;00:23;207.102655;207.102655;207.042275;207.042275;7
01/06/2011;00:24;207.062402;207.062402;207.062402;207.062402;1
01/06/2011;00:25;207.002022;207.022148;207.002022;207.022148;3
01/06/2011;00:26;207.022148;207.022148;206.981895;206.981895;2
01/06/2011;00:27;207.002022;207.002022;206.901389;206.901389;11
01/06/2011;00:28;206.921515;206.941642;206.861136;206.861136;21
01/06/2011;00:29;206.861136;206.881262;206.861136;206.881262;4
01/06/2011;00:30;206.861136;206.861136;206.820882;206.820882;13
01/06/2011;00:31;206.800756;206.800756;206.700123;206.720249;120
01/06/2011;00:32;206.740376;206.800756;206.740376;206.780629;22
01/06/2011;00:33;206.780629;206.820882;206.780629;206.820882;21
01/06/2011;00:34;206.780629;206.800756;206.740376;206.740376;12
01/06/2011;00:35;206.780629;206.800756;206.740376;206.740376;13
01/06/2011;00:36;206.780629;206.800756;206.760503;206.780629;11
01/06/2011;00:37;206.841009;206.841009;206.800756;206.800756;3
01/06/2011;00:38;206.800756;206.800756;206.740376;206.800756;7
01/06/2011;00:39;206.760503;206.800756;206.760503;206.800756;4
01/06/2011;00:40;206.760503;206.780629;206.700123;206.780629;16
01/06/2011;00:41;206.780629;206.800756;206.780629;206.780629;3
01/06/2011;00:42;206.780629;206.820882;206.780629;206.820882;12
01/06/2011;00:43;206.820882;206.861136;206.820882;206.841009;7
01/06/2011;00:44;206.861136;206.881262;206.861136;206.861136;4
01/06/2011;00:45;206.881262;207.002022;206.881262;207.002022;21
01/06/2011;00:46;206.941642;206.961769;206.941642;206.961769;4
01/06/2011;00:47;206.941642;206.941642;206.921515;206.921515;6
01/06/2011;00:48;206.921515;206.961769;206.921515;206.961769;2
01/06/2011;00:49;206.961769;206.961769;206.961769;206.961769;2
01/06/2011;00:50;206.981895;207.002022;206.981895;207.002022;5
01/06/2011;00:51;206.961769;207.122781;206.961769;207.122781;57
01/06/2011;00:52;207.102655;207.263668;207.102655;207.263668;47
01/06/2011;00:53;207.243541;207.344174;207.243541;207.324047;52
01/06/2011;00:54;207.303921;207.303921;207.163035;207.223414;16
01/06/2011;00:55;207.223414;207.303921;207.223414;207.263668;45
01/06/2011;00:56;207.243541;207.243541;207.163035;207.163035;23
01/06/2011;00:57;207.183161;207.203288;207.183161;207.203288;5
01/06/2011;00:58;207.203288;207.223414;207.203288;207.223414;5
