Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/03/2012;00:00;211.858296;211.858296;211.759352;211.818719;59
01/03/2012;00:01;211.818719;211.838507;211.818719;211.818719;13
01/03/2012;00:02;211.79893;211.79893;211.779141;211.79893;10
01/03/2012;00:03;211.79893;211.79893;211.79893;211.79893;2
01/03/2012;00:04;211.779141;211.779141;211.779141;211.779141;2
01/03/2012;00:05;211.739564;211.79893;211.739564;211.79893;17
01/03/2012;00:06;211.779141;211.79893;211.779141;211.779141;19
01/03/2012;00:07;211.779141;211.779141;211.759352;211.779141;27
01/03/2012;00:08;211.779141;211.779141;211.759352;211.759352;2
01/03/2012;00:09;211.739564;211.739564;211.739564;211.739564;2
01/03/2012;00:10;211.739564;211.759352;211.739564;211.739564;13
01/03/2012;00:11;211.739564;211.818719;211.739564;211.818719;7
01/03/2012;00:12;211.818719;211.838507;211.79893;211.79893;3
01/03/2012;00:14;211.759352;211.759352;211.759352;211.759352;5
01/03/2012;00:15;211.739564;211.739564;211.739564;211.739564;23
01/03/2012;00:16;211.719775;211.719775;211.699986;211.699986;9
01/03/2012;00:17;211.719775;211.719775;211.719775;211.719775;1
01/03/2012;00:18;211.680197;211.699986;211.601042;211.620831;28
01/03/2012;00:19;211.64062;211.680197;211.64062;211.680197;7
01/03/2012;00:20;211.699986;211.699986;211.699986;211.699986;3
01/03/2012;00:21;211.680197;211.680197;211.680197;211.680197;6
01/03/2012;00:23;211.699986;211.719775;211.699986;211.719775;7
01/03/2012;00:24;211.699986;211.699986;211.660409;211.660409;11
01/03/2012;00:25;211.680197;211.699986;211.680197;211.680197;7
01/03/2012;00:26;211.699986;211.719775;211.699986;211.699986;5
01/03/2012;00:27;211.699986;211.719775;211.699986;211.719775;2
01/03/2012;00:28;211.680197;211.680197;211.680197;211.680197;1
01/03/2012;00:29;211.660409;211.680197;211.660409;211.680197;9
01/03/2012;00:30;211.660409;211.680197;211.64062;211.680197;15
01/03/2012;00:31;211.680197;211.680197;211.680197;211.680197;2
01/03/2012;00:32;211.680197;211.680197;211.601042;211.601042;30
01/03/2012;00:33;211.601042;211.620831;211.561465;211.601042;28
01/03/2012;00:34;211.620831;211.620831;211.581254;211.601042;9
01/03/2012;00:35;211.620831;211.64062;211.581254;211.581254;5
01/03/2012;00:36;211.581254;211.601042;211.502099;211.502099;28
01/03/2012;00:37;211.521887;211.541676;211.521887;211.541676;4
01/03/2012;00:38;211.521887;211.521887;211.502099;211.502099;37
01/03/2012;00:39;211.48231;211.502099;211.48231;211.502099;9
01/03/2012;00:40;211.48231;211.521887;211.462521;211.521887;20
01/03/2012;00:41;211.48231;211.502099;211.48231;211.502099;3
01/03/2012;00:42;211.502099;211.521887;211.502099;211.521887;4
01/03/2012;00:43;211.521887;211.521887;211.48231;211.48231;11
01/03/2012;00:44;211.462521;211.462521;211.422944;211.442732;27
01/03/2012;00:45;211.422944;211.442732;211.244845;211.304211;191
01/03/2012;00:46;211.304211;211.442732;211.304211;211.422944;42
01/03/2012;00:47;211.403155;211.422944;211.363577;211.363577;14
01/03/2012;00:48;211.363577;211.422944;211.363577;211.403155;10
01/03/2012;00:49;211.403155;211.48231;211.403155;211.462521;21
01/03/2012;00:50;211.462521;211.462521;211.422944;211.442732;6
01/03/2012;00:51;211.442732;211.442732;211.442732;211.442732;4
01/03/2012;00:52;211.462521;211.462521;211.442732;211.442732;5
01/03/2012;00:53;211.48231;211.48231;211.442732;211.442732;17
01/03/2012;00:54;211.48231;211.48231;211.48231;211.48231;2
01/03/2012;00:55;211.442732;211.462521;211.442732;211.442732;4
01/03/2012;00:56;211.442732;211.442732;211.403155;211.422944;21
01/03/2012;00:57;211.383366;211.383366;211.304211;211.304211;56
01/03/2012;00:58;211.324;211.324;211.304211;211.304211;4
01/03/2012;00:59;211.284422;211.284422;211.244845;211.264634;16
01/03/2012;01:00;211.244845;211.244845;211.027169;211.126112;179
01/03/2012;01:01;211.106324;211.126112;211.027169;211.126112;74
01/03/2012;01:02;211.126112;211.145901;211.106324;211.106324;18
01/03/2012;01:03;211.106324;211.145901;211.106324;211.145901;4
01/03/2012;01:04;211.16569;211.264634;211.16569;211.225056;24
01/03/2012;01:05;211.264634;211.304211;211.264634;211.304211;12
01/03/2012;01:06;211.264634;211.343789;211.264634;211.343789;22
01/03/2012;01:07;211.363577;211.383366;211.304211;211.304211;11
01/03/2012;01:08;211.284422;211.363577;211.284422;211.284422;85
01/03/2012;01:09;211.304211;211.304211;211.304211;211.304211;19
01/03/2012;01:10;211.304211;211.324;211.284422;211.284422;20
01/03/2012;01:11;211.264634;211.284422;211.264634;211.284422;10
01/03/2012;01:12;211.284422;211.343789;211.284422;211.284422;35
01/03/2012;01:13;211.264634;211.304211;211.264634;211.284422;18
01/03/2012;01:14;211.264634;211.324;211.264634;211.284422;13
01/03/2012;01:15;211.304211;211.324;211.284422;211.304211;7
01/03/2012;01:16;211.264634;211.284422;211.264634;211.284422;11
01/03/2012;01:17;211.304211;211.304211;211.264634;211.264634;4
01/03/2012;01:18;211.264634;211.264634;211.185479;211.264634;18
01/03/2012;01:19;211.264634;211.284422;211.244845;211.244845;14
01/03/2012;01:20;211.264634;211.304211;211.244845;211.244845;8
01/03/2012;01:21;211.244845;211.324;211.244845;211.324;5
01/03/2012;01:22;211.304211;211.304211;211.205267;211.205267;40
01/03/2012;01:23;211.185479;211.185479;211.145901;211.145901;18
01/03/2012;01:24;211.16569;211.185479;211.086535;211.086535;19
01/03/2012;01:25;211.086535;211.145901;211.086535;211.086535;53
01/03/2012;01:26;211.086535;211.126112;211.046958;211.086535;33
01/03/2012;01:27;211.066746;211.066746;211.046958;211.066746;51
01/03/2012;01:28;211.066746;211.086535;211.066746;211.086535;13
01/03/2012;01:29;211.086535;211.106324;211.066746;211.066746;12
01/03/2012;01:30;211.046958;211.086535;210.967803;211.086535;116
01/03/2012;01:31;211.066746;211.086535;211.00738;211.046958;61
01/03/2012;01:32;211.046958;211.126112;211.046958;211.106324;16
01/03/2012;01:33;211.086535;211.225056;211.086535;211.185479;31
01/03/2012;01:34;211.225056;211.244845;211.205267;211.205267;27
01/03/2012;01:35;211.205267;211.205267;211.205267;211.205267;6
01/03/2012;01:36;211.205267;211.205267;211.145901;211.145901;9
01/03/2012;01:37;211.16569;211.185479;211.16569;211.185479;4
01/03/2012;01:38;211.205267;211.225056;211.205267;211.225056;5
01/03/2012;01:39;211.225056;211.244845;211.205267;211.244845;10
01/03/2012;01:40;211.225056;211.225056;211.205267;211.205267;3
01/03/2012;01:41;211.225056;211.284422;211.225056;211.284422;8
01/03/2012;01:42;211.304211;211.304211;211.304211;211.304211;7
01/03/2012;01:43;211.284422;211.304211;211.284422;211.304211;7
01/03/2012;01:44;211.304211;211.324;211.304211;211.324;6
01/03/2012;01:45;211.343789;211.442732;211.324;211.403155;87
01/03/2012;01:46;211.403155;211.403155;211.324;211.363577;37
01/03/2012;01:47;211.383366;211.383366;211.363577;211.383366;14
01/03/2012;01:48;211.363577;211.383366;211.363577;211.383366;24
01/03/2012;01:49;211.363577;211.363577;211.363577;211.363577;9
01/03/2012;01:50;211.363577;211.363577;211.264634;211.304211;74
01/03/2012;01:51;211.284422;211.284422;211.185479;211.205267;54
01/03/2012;01:52;211.205267;211.225056;211.205267;211.205267;19
01/03/2012;01:53;211.205267;211.205267;211.145901;211.16569;35
01/03/2012;01:54;211.16569;211.16569;211.145901;211.16569;63
01/03/2012;01:55;211.16569;211.16569;211.145901;211.145901;19
01/03/2012;01:56;211.126112;211.145901;211.126112;211.145901;53
01/03/2012;01:57;211.145901;211.145901;211.126112;211.145901;75
01/03/2012;01:58;211.16569;211.264634;211.16569;211.264634;23
01/03/2012;01:59;211.244845;211.304211;211.205267;211.304211;19
01/03/2012;02:00;211.324;211.324;211.106324;211.106324;108
01/03/2012;02:01;211.066746;211.324;211.046958;211.244845;111
01/03/2012;02:02;211.264634;211.264634;211.126112;211.16569;51
01/03/2012;02:03;211.16569;211.16569;211.126112;211.16569;22
01/03/2012;02:04;211.126112;211.16569;211.106324;211.145901;21
01/03/2012;02:05;211.16569;211.284422;211.145901;211.16569;30
01/03/2012;02:06;211.145901;211.145901;210.908436;210.987591;95
01/03/2012;02:07;210.948014;211.027169;210.948014;211.00738;26
01/03/2012;02:08;210.987591;211.066746;210.967803;210.967803;28
01/03/2012;02:09;211.00738;211.00738;210.987591;211.00738;11
01/03/2012;02:10;211.00738;211.00738;210.888648;210.908436;76
01/03/2012;02:11;210.908436;210.987591;210.868859;210.868859;25
01/03/2012;02:12;210.908436;210.928225;210.84907;210.84907;75
01/03/2012;02:13;210.84907;211.046958;210.84907;211.046958;109
01/03/2012;02:14;211.027169;211.106324;210.987591;211.046958;90
01/03/2012;02:15;211.046958;211.185479;211.046958;211.185479;85
01/03/2012;02:16;211.16569;211.225056;211.145901;211.16569;55
01/03/2012;02:17;211.145901;211.185479;211.106324;211.145901;23
01/03/2012;02:18;211.145901;211.16569;211.126112;211.126112;24
01/03/2012;02:19;211.126112;211.126112;211.027169;211.066746;29
01/03/2012;02:20;211.086535;211.145901;211.00738;211.126112;84
01/03/2012;02:21;211.126112;211.225056;211.126112;211.225056;60
01/03/2012;02:22;211.244845;211.304211;211.225056;211.244845;32
01/03/2012;02:23;211.284422;211.284422;211.086535;211.106324;53
01/03/2012;02:24;211.106324;211.126112;211.00738;211.066746;38
01/03/2012;02:25;211.046958;211.046958;211.027169;211.046958;9
01/03/2012;02:26;211.046958;211.126112;211.046958;211.086535;23
01/03/2012;02:27;211.106324;211.205267;211.106324;211.185479;24
01/03/2012;02:28;211.185479;211.324;211.185479;211.284422;35
01/03/2012;02:29;211.304211;211.324;211.264634;211.304211;75
01/03/2012;02:30;211.304211;211.403155;211.304211;211.383366;43
01/03/2012;02:31;211.343789;211.343789;211.225056;211.284422;56
01/03/2012;02:32;211.264634;211.304211;211.225056;211.264634;42
01/03/2012;02:33;211.284422;211.343789;211.284422;211.343789;18
01/03/2012;02:34;211.324;211.324;211.16569;211.205267;25
01/03/2012;02:35;211.185479;211.284422;211.16569;211.264634;82
01/03/2012;02:36;211.264634;211.284422;211.225056;211.264634;17
01/03/2012;02:37;211.264634;211.304211;211.264634;211.304211;9
01/03/2012;02:38;211.324;211.403155;211.304211;211.343789;24
01/03/2012;02:39;211.363577;211.363577;211.304211;211.304211;9
01/03/2012;02:40;211.304211;211.422944;211.304211;211.422944;32
01/03/2012;02:41;211.422944;211.422944;211.304211;211.324;34
01/03/2012;02:42;211.363577;211.403155;211.324;211.403155;34
01/03/2012;02:43;211.403155;211.462521;211.383366;211.383366;46
01/03/2012;02:44;211.363577;211.442732;211.343789;211.383366;71
01/03/2012;02:45;211.383366;211.383366;211.324;211.324;44
01/03/2012;02:46;211.304211;211.304211;211.284422;211.304211;24
01/03/2012;02:47;211.304211;211.343789;211.304211;211.324;9
01/03/2012;02:48;211.304211;211.343789;211.284422;211.343789;12
01/03/2012;02:49;211.324;211.324;211.264634;211.324;14
01/03/2012;02:50;211.264634;211.284422;211.244845;211.244845;15
01/03/2012;02:51;211.284422;211.284422;211.264634;211.284422;8
01/03/2012;02:52;211.284422;211.343789;211.284422;211.343789;8
01/03/2012;02:53;211.324;211.48231;211.324;211.442732;39
01/03/2012;02:54;211.442732;211.502099;211.422944;211.502099;21
01/03/2012;02:55;211.462521;211.502099;211.422944;211.442732;51
01/03/2012;02:56;211.422944;211.502099;211.403155;211.502099;33
01/03/2012;02:57;211.462521;211.462521;211.403155;211.442732;28
01/03/2012;02:58;211.442732;211.502099;211.442732;211.48231;17
01/03/2012;02:59;211.502099;211.502099;211.422944;211.422944;53
