Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
03/01/2016;17:00;60.758163;61.921617;60.758163;61.097504;2525
03/01/2016;17:01;61.097504;61.614595;61.081345;61.614595;631
03/01/2016;17:02;61.614595;61.87314;61.566118;61.663072;832
03/01/2016;17:03;61.646913;61.646913;61.436845;61.501481;477
03/01/2016;17:04;61.501481;61.614595;61.501481;61.582277;225
03/01/2016;17:05;61.598436;61.598436;61.566118;61.566118;99
03/01/2016;17:06;61.566118;61.582277;61.420686;61.469163;136
03/01/2016;17:07;61.469163;61.549958;61.436845;61.469163;168
03/01/2016;17:08;61.469163;61.533799;61.388368;61.436845;135
03/01/2016;17:09;61.436845;61.51764;61.420686;61.485322;97
03/01/2016;17:10;61.485322;61.485322;61.388368;61.436845;113
03/01/2016;17:11;61.436845;61.469163;61.372209;61.404527;97
03/01/2016;17:12;61.404527;61.436845;61.388368;61.404527;50
03/01/2016;17:13;61.388368;61.420686;61.372209;61.388368;82
03/01/2016;17:14;61.388368;61.420686;61.388368;61.420686;24
03/01/2016;17:15;61.404527;61.453004;61.404527;61.404527;64
03/01/2016;17:16;61.388368;61.404527;61.275254;61.275254;161
03/01/2016;17:17;61.275254;61.51764;61.275254;61.469163;183
03/01/2016;17:18;61.453004;61.469163;61.420686;61.469163;53
03/01/2016;17:19;61.469163;61.469163;61.33989;61.388368;50
03/01/2016;17:20;61.356049;61.372209;61.323731;61.356049;27
03/01/2016;17:21;61.372209;61.388368;61.33989;61.33989;41
03/01/2016;17:22;61.33989;61.356049;61.307572;61.307572;47
03/01/2016;17:23;61.307572;61.323731;61.275254;61.323731;70
03/01/2016;17:24;61.323731;61.323731;61.307572;61.307572;15
03/01/2016;17:25;61.307572;61.307572;61.275254;61.307572;61
03/01/2016;17:26;61.291413;61.404527;61.275254;61.372209;174
03/01/2016;17:27;61.372209;61.372209;61.307572;61.33989;39
03/01/2016;17:28;61.323731;61.33989;61.307572;61.307572;30
03/01/2016;17:29;61.291413;61.307572;61.291413;61.291413;60
03/01/2016;17:30;61.307572;61.307572;61.259095;61.259095;66
03/01/2016;17:31;61.259095;61.259095;61.16214;61.1783;104
03/01/2016;17:32;61.1783;61.194459;61.145981;61.1783;71
03/01/2016;17:33;61.1783;61.194459;61.16214;61.194459;64
03/01/2016;17:34;61.194459;61.194459;61.129822;61.129822;60
03/01/2016;17:35;61.129822;61.194459;61.113663;61.16214;77
03/01/2016;17:36;61.145981;61.1783;61.145981;61.1783;15
03/01/2016;17:37;61.16214;61.1783;61.16214;61.1783;11
03/01/2016;17:38;61.16214;61.1783;61.145981;61.1783;44
03/01/2016;17:39;61.16214;61.194459;61.16214;61.1783;44
03/01/2016;17:40;61.194459;61.194459;61.16214;61.1783;37
03/01/2016;17:41;61.1783;61.1783;61.129822;61.145981;35
03/01/2016;17:42;61.16214;61.1783;61.129822;61.16214;31
03/01/2016;17:43;61.16214;61.16214;61.129822;61.16214;10
03/01/2016;17:44;61.16214;61.16214;61.113663;61.145981;27
03/01/2016;17:45;61.145981;61.16214;61.129822;61.129822;23
03/01/2016;17:46;61.129822;61.16214;61.129822;61.145981;24
03/01/2016;17:47;61.145981;61.145981;61.065186;61.081345;156
03/01/2016;17:48;61.081345;61.081345;61.065186;61.081345;40
03/01/2016;17:49;61.065186;61.081345;61.049027;61.065186;58
03/01/2016;17:50;61.081345;61.113663;61.065186;61.097504;41
03/01/2016;17:51;61.097504;61.145981;61.081345;61.129822;72
03/01/2016;17:52;61.129822;61.1783;61.129822;61.1783;38
03/01/2016;17:53;61.1783;61.194459;61.16214;61.1783;30
03/01/2016;17:54;61.194459;61.259095;61.1783;61.259095;105
03/01/2016;17:55;61.259095;61.372209;61.242936;61.33989;164
03/01/2016;17:56;61.33989;61.33989;61.275254;61.275254;41
03/01/2016;17:57;61.275254;61.275254;61.259095;61.275254;19
03/01/2016;17:58;61.275254;61.323731;61.275254;61.307572;34
03/01/2016;17:59;61.307572;61.307572;61.291413;61.307572;17
03/01/2016;18:00;61.307572;61.323731;61.275254;61.275254;53
03/01/2016;18:01;61.307572;61.307572;61.275254;61.275254;19
03/01/2016;18:02;61.275254;61.275254;61.194459;61.210618;32
03/01/2016;18:03;61.194459;61.210618;61.1783;61.210618;33
03/01/2016;18:04;61.210618;61.275254;61.210618;61.275254;35
03/01/2016;18:05;61.259095;61.275254;61.226777;61.226777;20
03/01/2016;18:06;61.226777;61.242936;61.210618;61.242936;76
03/01/2016;18:07;61.242936;61.291413;61.226777;61.291413;55
03/01/2016;18:08;61.275254;61.275254;61.259095;61.275254;14
03/01/2016;18:09;61.259095;61.259095;61.242936;61.242936;10
03/01/2016;18:10;61.242936;61.33989;61.242936;61.33989;85
03/01/2016;18:11;61.33989;61.404527;61.323731;61.404527;150
03/01/2016;18:12;61.404527;61.469163;61.404527;61.404527;107
03/01/2016;18:13;61.404527;61.51764;61.388368;61.51764;102
03/01/2016;18:14;61.51764;61.549958;61.501481;61.533799;102
03/01/2016;18:15;61.533799;61.533799;61.453004;61.453004;73
03/01/2016;18:16;61.436845;61.469163;61.388368;61.404527;106
03/01/2016;18:17;61.388368;61.404527;61.388368;61.404527;55
03/01/2016;18:18;61.388368;61.404527;61.372209;61.372209;26
03/01/2016;18:19;61.372209;61.388368;61.372209;61.388368;16
03/01/2016;18:20;61.372209;61.404527;61.372209;61.404527;15
03/01/2016;18:21;61.404527;61.404527;61.388368;61.388368;8
03/01/2016;18:22;61.388368;61.404527;61.388368;61.404527;10
03/01/2016;18:23;61.388368;61.420686;61.388368;61.420686;31
03/01/2016;18:24;61.420686;61.485322;61.404527;61.485322;106
03/01/2016;18:25;61.469163;61.51764;61.469163;61.501481;47
03/01/2016;18:26;61.501481;61.501481;61.453004;61.453004;41
03/01/2016;18:27;61.436845;61.453004;61.436845;61.436845;21
03/01/2016;18:28;61.436845;61.501481;61.436845;61.501481;34
03/01/2016;18:29;61.501481;61.51764;61.485322;61.485322;23
03/01/2016;18:30;61.485322;61.501481;61.485322;61.485322;29
03/01/2016;18:31;61.485322;61.485322;61.453004;61.469163;34
03/01/2016;18:32;61.453004;61.469163;61.453004;61.453004;12
03/01/2016;18:33;61.453004;61.485322;61.453004;61.453004;82
03/01/2016;18:34;61.453004;61.469163;61.436845;61.453004;29
03/01/2016;18:35;61.453004;61.453004;61.420686;61.453004;40
03/01/2016;18:36;61.436845;61.436845;61.404527;61.404527;35
03/01/2016;18:37;61.404527;61.420686;61.404527;61.404527;17
03/01/2016;18:38;61.404527;61.404527;61.388368;61.388368;19
03/01/2016;18:39;61.388368;61.404527;61.388368;61.404527;25
03/01/2016;18:40;61.404527;61.404527;61.33989;61.356049;61
03/01/2016;18:41;61.356049;61.388368;61.356049;61.388368;17
03/01/2016;18:42;61.388368;61.388368;61.372209;61.388368;18
03/01/2016;18:43;61.372209;61.372209;61.33989;61.356049;26
03/01/2016;18:44;61.356049;61.356049;61.323731;61.33989;48
03/01/2016;18:45;61.323731;61.33989;61.323731;61.323731;17
03/01/2016;18:46;61.33989;61.388368;61.33989;61.356049;69
03/01/2016;18:47;61.356049;61.372209;61.33989;61.356049;22
03/01/2016;18:48;61.356049;61.356049;61.33989;61.356049;8
03/01/2016;18:49;61.356049;61.356049;61.33989;61.33989;9
03/01/2016;18:50;61.356049;61.356049;61.356049;61.356049;13
03/01/2016;18:51;61.33989;61.356049;61.33989;61.356049;23
03/01/2016;18:52;61.356049;61.356049;61.356049;61.356049;9
03/01/2016;18:53;61.356049;61.356049;61.33989;61.33989;58
03/01/2016;18:54;61.323731;61.323731;61.307572;61.323731;46
03/01/2016;18:55;61.323731;61.33989;61.323731;61.323731;14
03/01/2016;18:56;61.307572;61.307572;61.291413;61.291413;56
03/01/2016;18:57;61.307572;61.323731;61.307572;61.307572;21
03/01/2016;18:58;61.307572;61.323731;61.307572;61.307572;29
03/01/2016;18:59;61.323731;61.33989;61.307572;61.33989;25
03/01/2016;19:00;61.33989;61.33989;61.307572;61.307572;41
03/01/2016;19:01;61.307572;61.33989;61.307572;61.323731;66
03/01/2016;19:02;61.323731;61.323731;61.307572;61.307572;28
03/01/2016;19:03;61.307572;61.323731;61.307572;61.307572;28
03/01/2016;19:04;61.307572;61.307572;61.275254;61.275254;56
03/01/2016;19:05;61.259095;61.275254;61.242936;61.242936;66
03/01/2016;19:06;61.259095;61.275254;61.242936;61.275254;47
03/01/2016;19:07;61.275254;61.275254;61.242936;61.259095;11
03/01/2016;19:08;61.259095;61.259095;61.145981;61.1783;277
03/01/2016;19:09;61.1783;61.226777;61.16214;61.226777;46
03/01/2016;19:10;61.226777;61.226777;61.1783;61.1783;61
03/01/2016;19:11;61.1783;61.194459;61.16214;61.16214;60
03/01/2016;19:12;61.16214;61.1783;61.16214;61.1783;20
03/01/2016;19:13;61.194459;61.194459;61.145981;61.145981;54
03/01/2016;19:14;61.145981;61.1783;61.129822;61.129822;46
03/01/2016;19:15;61.129822;61.1783;61.129822;61.145981;84
03/01/2016;19:16;61.145981;61.16214;61.113663;61.113663;61
03/01/2016;19:17;61.113663;61.129822;61.113663;61.113663;80
03/01/2016;19:18;61.129822;61.129822;61.113663;61.129822;28
03/01/2016;19:19;61.113663;61.16214;61.113663;61.129822;37
