Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/07/2020;00:00;31.897382;31.913459;31.897382;31.90542;26
01/07/2020;00:01;31.90542;31.90542;31.881304;31.889343;60
01/07/2020;00:02;31.881304;31.889343;31.857188;31.881304;167
01/07/2020;00:03;31.889343;31.889343;31.873266;31.881304;49
01/07/2020;00:04;31.873266;32.017961;31.873266;32.017961;653
01/07/2020;00:05;32.026;32.042077;31.977768;31.977768;252
01/07/2020;00:06;31.985807;32.001884;31.985807;32.001884;88
01/07/2020;00:07;31.993845;32.009923;31.985807;32.001884;57
01/07/2020;00:08;32.001884;32.001884;31.993845;32.001884;24
01/07/2020;00:09;32.001884;32.009923;31.985807;31.985807;29
01/07/2020;00:10;31.985807;31.985807;31.977768;31.977768;40
01/07/2020;00:11;31.977768;31.993845;31.96973;31.977768;22
01/07/2020;00:12;31.977768;31.985807;31.96973;31.977768;13
01/07/2020;00:13;31.96973;31.985807;31.961691;31.985807;34
01/07/2020;00:14;31.985807;31.985807;31.96973;31.96973;43
01/07/2020;00:15;31.961691;31.96973;31.961691;31.961691;22
01/07/2020;00:16;31.96973;31.977768;31.921498;31.929536;91
01/07/2020;00:17;31.929536;31.937575;31.90542;31.921498;103
01/07/2020;00:18;31.921498;31.929536;31.913459;31.913459;54
01/07/2020;00:19;31.921498;31.929536;31.913459;31.929536;29
01/07/2020;00:20;31.929536;31.953652;31.921498;31.953652;70
01/07/2020;00:21;31.953652;31.96973;31.953652;31.96973;46
01/07/2020;00:22;31.96973;31.96973;31.945614;31.945614;38
01/07/2020;00:23;31.945614;31.953652;31.945614;31.953652;16
01/07/2020;00:24;31.945614;31.953652;31.945614;31.953652;8
01/07/2020;00:25;31.953652;31.96973;31.945614;31.96973;37
01/07/2020;00:26;31.96973;31.977768;31.961691;31.96973;25
01/07/2020;00:27;31.977768;31.985807;31.977768;31.985807;33
01/07/2020;00:28;31.985807;31.985807;31.96973;31.977768;22
01/07/2020;00:29;31.96973;31.977768;31.96973;31.96973;16
01/07/2020;00:30;31.96973;31.985807;31.953652;31.953652;59
01/07/2020;00:31;31.945614;31.945614;31.929536;31.945614;47
01/07/2020;00:32;31.937575;31.937575;31.913459;31.929536;49
01/07/2020;00:33;31.937575;31.937575;31.881304;31.881304;142
