Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/10/2020;00:00;32.108164;32.140089;32.108164;32.140089;214
01/10/2020;00:01;32.140089;32.140089;32.132108;32.140089;15
01/10/2020;00:02;32.132108;32.14807;32.132108;32.14807;33
01/10/2020;00:03;32.140089;32.140089;32.116146;32.116146;40
01/10/2020;00:04;32.124127;32.140089;32.124127;32.132108;27
01/10/2020;00:06;32.132108;32.132108;32.132108;32.132108;7
01/10/2020;00:07;32.132108;32.140089;32.132108;32.140089;36
01/10/2020;00:08;32.132108;32.132108;32.116146;32.116146;36
01/10/2020;00:09;32.116146;32.124127;32.116146;32.116146;23
01/10/2020;00:10;32.116146;32.116146;32.116146;32.116146;5
01/10/2020;00:11;32.108164;32.108164;32.108164;32.108164;15
01/10/2020;00:12;32.108164;32.116146;32.108164;32.116146;25
01/10/2020;00:13;32.108164;32.108164;32.100183;32.100183;37
01/10/2020;00:14;32.092202;32.100183;32.092202;32.100183;27
01/10/2020;00:15;32.100183;32.108164;32.100183;32.108164;20
01/10/2020;00:16;32.100183;32.116146;32.100183;32.116146;44
01/10/2020;00:17;32.116146;32.124127;32.116146;32.124127;43
01/10/2020;00:18;32.116146;32.116146;32.108164;32.108164;23
01/10/2020;00:19;32.100183;32.108164;32.100183;32.108164;24
01/10/2020;00:20;32.108164;32.108164;32.108164;32.108164;12
01/10/2020;00:21;32.108164;32.108164;32.108164;32.108164;2
01/10/2020;00:22;32.108164;32.108164;32.100183;32.100183;43
01/10/2020;00:23;32.100183;32.100183;32.084221;32.084221;56
01/10/2020;00:24;32.084221;32.092202;32.084221;32.092202;19
01/10/2020;00:25;32.092202;32.100183;32.092202;32.100183;20
01/10/2020;00:26;32.092202;32.100183;32.092202;32.092202;10
01/10/2020;00:27;32.092202;32.100183;32.092202;32.092202;8
01/10/2020;00:28;32.092202;32.092202;32.092202;32.092202;24
01/10/2020;00:29;32.092202;32.092202;32.092202;32.092202;13
01/10/2020;00:30;32.092202;32.092202;32.084221;32.084221;28
01/10/2020;00:31;32.084221;32.100183;32.084221;32.092202;44
01/10/2020;00:32;32.092202;32.092202;32.092202;32.092202;13
01/10/2020;00:33;32.084221;32.092202;32.084221;32.092202;4
01/10/2020;00:34;32.084221;32.092202;32.084221;32.092202;2
01/10/2020;00:35;32.092202;32.100183;32.092202;32.100183;20
01/10/2020;00:36;32.092202;32.092202;32.084221;32.084221;28
01/10/2020;00:37;32.092202;32.092202;32.084221;32.084221;38
01/10/2020;00:38;32.092202;32.092202;32.092202;32.092202;4
