Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
30/04/2023;23:59;67.117782;67.13541;67.117782;67.117782;28
01/05/2023;00:00;67.117782;67.126596;67.108968;67.126596;23
01/05/2023;00:01;67.126596;67.144224;67.126596;67.13541;32
01/05/2023;00:02;67.13541;67.144224;67.13541;67.144224;16
01/05/2023;00:03;67.144224;67.144224;67.117782;67.126596;30
01/05/2023;00:04;67.126596;67.126596;67.108968;67.117782;12
01/05/2023;00:05;67.126596;67.126596;67.117782;67.117782;10
01/05/2023;00:06;67.126596;67.126596;67.117782;67.117782;7
01/05/2023;00:07;67.108968;67.108968;67.100154;67.100154;13
01/05/2023;00:08;67.108968;67.108968;67.108968;67.108968;10
01/05/2023;00:09;67.108968;67.108968;67.108968;67.108968;5
01/05/2023;00:10;67.117782;67.126596;67.108968;67.108968;27
01/05/2023;00:11;67.108968;67.108968;67.100154;67.100154;10
01/05/2023;00:12;67.100154;67.126596;67.100154;67.117782;21
01/05/2023;00:13;67.126596;67.126596;67.108968;67.108968;12
01/05/2023;00:14;67.108968;67.117782;67.108968;67.117782;11
01/05/2023;00:15;67.117782;67.117782;67.117782;67.117782;1
01/05/2023;00:17;67.108968;67.108968;67.108968;67.108968;6
01/05/2023;00:18;67.100154;67.108968;67.100154;67.108968;16
01/05/2023;00:19;67.108968;67.126596;67.108968;67.126596;22
01/05/2023;00:20;67.13541;67.13541;67.108968;67.126596;11
01/05/2023;00:21;67.126596;67.126596;67.100154;67.108968;16
01/05/2023;00:22;67.108968;67.117782;67.100154;67.117782;33
01/05/2023;00:23;67.117782;67.13541;67.117782;67.13541;39
01/05/2023;00:24;67.144224;67.144224;67.13541;67.13541;22
01/05/2023;00:25;67.117782;67.117782;67.117782;67.117782;3
01/05/2023;00:26;67.117782;67.117782;67.108968;67.108968;21
01/05/2023;00:27;67.117782;67.117782;67.117782;67.117782;11
01/05/2023;00:28;67.108968;67.108968;67.100154;67.100154;9
01/05/2023;00:29;67.108968;67.117782;67.108968;67.108968;9
01/05/2023;00:30;67.100154;67.100154;67.100154;67.100154;4
01/05/2023;00:31;67.108968;67.117782;67.108968;67.117782;9
01/05/2023;00:32;67.108968;67.126596;67.108968;67.126596;6
01/05/2023;00:33;67.126596;67.13541;67.126596;67.126596;13
01/05/2023;00:34;67.126596;67.126596;67.108968;67.108968;20
01/05/2023;00:35;67.117782;67.126596;67.117782;67.126596;13
01/05/2023;00:36;67.117782;67.126596;67.117782;67.126596;8
01/05/2023;00:37;67.13541;67.144224;67.13541;67.144224;26
01/05/2023;00:38;67.144224;67.153038;67.144224;67.153038;21
01/05/2023;00:39;67.153038;67.153038;67.13541;67.144224;40
01/05/2023;00:40;67.144224;67.161852;67.144224;67.144224;68
01/05/2023;00:41;67.144224;67.144224;67.13541;67.13541;7
01/05/2023;00:42;67.126596;67.144224;67.126596;67.144224;24
01/05/2023;00:43;67.144224;67.144224;67.144224;67.144224;3
01/05/2023;00:44;67.13541;67.13541;67.13541;67.13541;5
01/05/2023;00:45;67.144224;67.161852;67.13541;67.13541;28
01/05/2023;00:46;67.126596;67.126596;67.117782;67.117782;30
01/05/2023;00:47;67.117782;67.117782;67.108968;67.117782;16
01/05/2023;00:48;67.108968;67.108968;67.100154;67.100154;17
01/05/2023;00:49;67.108968;67.126596;67.108968;67.126596;15
01/05/2023;00:50;67.117782;67.153038;67.117782;67.153038;60
01/05/2023;00:51;67.144224;67.144224;67.13541;67.13541;4
01/05/2023;00:52;67.13541;67.13541;67.126596;67.126596;8
01/05/2023;00:53;67.117782;67.13541;67.117782;67.13541;10
01/05/2023;00:54;67.126596;67.153038;67.126596;67.144224;22
01/05/2023;00:55;67.144224;67.153038;67.13541;67.144224;14
01/05/2023;00:56;67.144224;67.153038;67.13541;67.13541;8
01/05/2023;00:57;67.13541;67.13541;67.126596;67.13541;9
01/05/2023;00:58;67.144224;67.144224;67.126596;67.126596;12
01/05/2023;00:59;67.126596;67.13541;67.126596;67.126596;10
01/05/2023;01:00;67.13541;67.13541;66.994388;67.020829;218
01/05/2023;01:01;67.012015;67.029643;66.959132;66.97676;213
01/05/2023;01:02;66.97676;67.003202;66.950318;67.003202;67
01/05/2023;01:03;67.003202;67.012015;66.994388;66.994388;30
01/05/2023;01:04;66.985574;66.985574;66.967946;66.967946;66
01/05/2023;01:05;66.97676;66.97676;66.950318;66.967946;94
01/05/2023;01:06;66.959132;67.012015;66.950318;67.003202;83
01/05/2023;01:07;66.994388;67.020829;66.985574;67.020829;48
01/05/2023;01:08;67.020829;67.029643;67.012015;67.012015;24
01/05/2023;01:09;67.003202;67.012015;66.994388;67.012015;58
01/05/2023;01:10;67.020829;67.020829;67.003202;67.012015;14
01/05/2023;01:11;67.012015;67.020829;67.012015;67.020829;11
01/05/2023;01:12;67.012015;67.038457;67.012015;67.029643;18
01/05/2023;01:13;67.038457;67.038457;67.012015;67.029643;20
01/05/2023;01:14;67.029643;67.047271;67.029643;67.047271;9
01/05/2023;01:15;67.047271;67.047271;67.038457;67.047271;39
01/05/2023;01:16;67.038457;67.047271;67.020829;67.029643;37
01/05/2023;01:17;67.029643;67.038457;67.029643;67.029643;10
01/05/2023;01:18;67.047271;67.064899;67.047271;67.047271;36
01/05/2023;01:19;67.038457;67.038457;67.038457;67.038457;13
01/05/2023;01:20;67.029643;67.047271;67.020829;67.038457;51
01/05/2023;01:21;67.029643;67.029643;67.020829;67.029643;5
01/05/2023;01:22;67.020829;67.020829;66.994388;67.003202;15
01/05/2023;01:23;67.003202;67.003202;66.994388;66.994388;13
01/05/2023;01:24;66.985574;66.994388;66.985574;66.994388;8
01/05/2023;01:25;67.003202;67.012015;67.003202;67.012015;20
01/05/2023;01:26;67.012015;67.012015;66.97676;66.994388;45
01/05/2023;01:27;67.003202;67.012015;66.994388;66.994388;22
01/05/2023;01:28;66.994388;67.003202;66.994388;67.003202;10
01/05/2023;01:29;66.994388;67.003202;66.994388;67.003202;9
01/05/2023;01:30;67.003202;67.003202;66.985574;66.985574;16
01/05/2023;01:31;66.994388;67.012015;66.994388;67.012015;17
01/05/2023;01:32;67.003202;67.003202;66.985574;66.985574;22
01/05/2023;01:33;66.994388;66.994388;66.985574;66.985574;9
01/05/2023;01:34;66.985574;67.020829;66.985574;67.012015;92
01/05/2023;01:35;67.020829;67.020829;67.012015;67.012015;7
01/05/2023;01:36;67.012015;67.012015;66.994388;66.994388;23
01/05/2023;01:37;67.003202;67.012015;67.003202;67.012015;10
01/05/2023;01:38;67.012015;67.038457;67.012015;67.038457;26
01/05/2023;01:39;67.029643;67.029643;67.020829;67.020829;16
01/05/2023;01:40;67.012015;67.020829;66.994388;66.994388;40
01/05/2023;01:41;66.985574;67.003202;66.985574;67.003202;30
01/05/2023;01:42;67.003202;67.047271;67.003202;67.047271;30
01/05/2023;01:43;67.038457;67.047271;67.029643;67.047271;31
01/05/2023;01:44;67.038457;67.038457;66.97676;66.994388;34
01/05/2023;01:45;66.994388;67.012015;66.994388;67.003202;39
01/05/2023;01:46;66.994388;66.994388;66.959132;66.967946;90
01/05/2023;01:47;66.967946;66.97676;66.967946;66.967946;12
01/05/2023;01:48;66.967946;66.967946;66.959132;66.967946;29
01/05/2023;01:49;66.959132;66.97676;66.959132;66.967946;41
01/05/2023;01:50;66.967946;66.985574;66.959132;66.985574;32
01/05/2023;01:51;66.97676;66.97676;66.959132;66.967946;49
01/05/2023;01:52;66.967946;66.967946;66.967946;66.967946;14
01/05/2023;01:53;66.97676;66.97676;66.941504;66.967946;105
01/05/2023;01:54;66.967946;66.985574;66.967946;66.967946;24
01/05/2023;01:55;66.959132;66.959132;66.941504;66.941504;62
01/05/2023;01:56;66.941504;66.941504;66.93269;66.941504;41
01/05/2023;01:57;66.941504;66.959132;66.941504;66.959132;26
01/05/2023;01:58;66.959132;66.97676;66.959132;66.97676;16
01/05/2023;01:59;66.97676;66.994388;66.97676;66.97676;25
01/05/2023;02:00;66.985574;67.020829;66.870993;66.879807;376
01/05/2023;02:01;66.870993;66.879807;66.835738;66.853365;297
01/05/2023;02:02;66.853365;66.862179;66.826924;66.853365;53
01/05/2023;02:03;66.853365;66.888621;66.853365;66.879807;69
01/05/2023;02:04;66.879807;66.897435;66.870993;66.879807;62
01/05/2023;02:05;66.870993;66.879807;66.844552;66.853365;91
01/05/2023;02:06;66.853365;66.879807;66.853365;66.862179;142
01/05/2023;02:07;66.870993;66.879807;66.862179;66.862179;27
01/05/2023;02:08;66.853365;66.853365;66.835738;66.844552;35
01/05/2023;02:09;66.835738;66.844552;66.826924;66.835738;57
01/05/2023;02:10;66.835738;66.915063;66.835738;66.897435;120
01/05/2023;02:11;66.897435;66.941504;66.888621;66.941504;88
01/05/2023;02:12;66.941504;66.950318;66.923877;66.923877;34
01/05/2023;02:13;66.93269;66.93269;66.915063;66.923877;19
01/05/2023;02:14;66.923877;66.93269;66.906249;66.923877;20
01/05/2023;02:15;66.923877;66.959132;66.915063;66.950318;60
01/05/2023;02:16;66.950318;66.967946;66.941504;66.967946;63
01/05/2023;02:17;66.967946;66.967946;66.950318;66.950318;22
01/05/2023;02:18;66.959132;66.959132;66.923877;66.941504;53
01/05/2023;02:19;66.941504;66.941504;66.923877;66.923877;17
01/05/2023;02:20;66.915063;66.923877;66.906249;66.915063;72
01/05/2023;02:21;66.915063;66.923877;66.897435;66.923877;55
01/05/2023;02:22;66.915063;66.97676;66.915063;66.941504;152
01/05/2023;02:23;66.941504;66.941504;66.897435;66.897435;41
01/05/2023;02:24;66.906249;66.93269;66.906249;66.93269;39
01/05/2023;02:25;66.923877;66.923877;66.897435;66.897435;31
01/05/2023;02:26;66.888621;66.923877;66.870993;66.888621;132
01/05/2023;02:27;66.879807;66.879807;66.835738;66.835738;94
01/05/2023;02:28;66.835738;66.897435;66.835738;66.888621;42
