Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
31/01/2010;23:59;1059.823708;1059.823708;1059.576547;1059.576547;6
01/02/2010;00:00;1059.823708;1059.823708;1059.329387;1059.576547;56
01/02/2010;00:01;1059.576547;1059.576547;1059.329387;1059.329387;3
01/02/2010;00:03;1059.329387;1059.576547;1059.329387;1059.576547;23
01/02/2010;00:04;1059.082227;1059.329387;1059.082227;1059.082227;17
01/02/2010;00:05;1059.082227;1059.082227;1058.587906;1059.082227;136
01/02/2010;00:06;1058.835066;1058.835066;1058.340746;1058.587906;224
01/02/2010;00:07;1058.587906;1058.587906;1058.587906;1058.587906;15
01/02/2010;00:08;1058.835066;1058.835066;1058.835066;1058.835066;4
01/02/2010;00:09;1058.835066;1059.329387;1058.835066;1059.329387;89
01/02/2010;00:10;1059.329387;1059.576547;1059.082227;1059.329387;138
01/02/2010;00:11;1059.329387;1059.576547;1059.329387;1059.576547;16
01/02/2010;00:12;1059.576547;1059.576547;1059.576547;1059.576547;7
01/02/2010;00:14;1059.576547;1059.576547;1059.576547;1059.576547;10
01/02/2010;00:15;1059.576547;1059.576547;1059.082227;1059.329387;73
01/02/2010;00:16;1059.329387;1059.329387;1059.082227;1059.329387;31
01/02/2010;00:17;1059.576547;1059.576547;1059.329387;1059.329387;21
01/02/2010;00:18;1059.329387;1059.576547;1059.329387;1059.576547;10
01/02/2010;00:19;1059.576547;1059.823708;1059.576547;1059.576547;36
01/02/2010;00:20;1059.576547;1059.823708;1059.576547;1059.823708;5
01/02/2010;00:21;1059.823708;1059.823708;1059.576547;1059.576547;36
01/02/2010;00:24;1059.576547;1059.576547;1059.576547;1059.576547;11
01/02/2010;00:25;1059.329387;1059.329387;1059.329387;1059.329387;1
01/02/2010;00:26;1059.576547;1059.823708;1059.576547;1059.576547;23
01/02/2010;00:27;1059.823708;1059.823708;1059.823708;1059.823708;1
01/02/2010;00:28;1059.823708;1060.070868;1059.823708;1060.070868;36
01/02/2010;00:29;1060.070868;1060.565189;1060.070868;1060.318029;243
01/02/2010;00:30;1060.318029;1060.565189;1060.070868;1060.070868;56
01/02/2010;00:31;1060.070868;1060.565189;1060.070868;1060.565189;89
01/02/2010;00:32;1060.070868;1060.565189;1060.070868;1060.318029;38
01/02/2010;00:33;1060.565189;1060.565189;1060.318029;1060.318029;15
01/02/2010;00:34;1060.565189;1060.565189;1060.565189;1060.565189;7
01/02/2010;00:35;1060.318029;1060.565189;1060.318029;1060.318029;56
01/02/2010;00:36;1060.565189;1060.812349;1060.318029;1060.812349;178
01/02/2010;00:37;1060.812349;1061.05951;1060.565189;1060.812349;393
01/02/2010;00:38;1061.05951;1061.30667;1060.812349;1061.05951;156
01/02/2010;00:39;1061.05951;1061.05951;1060.812349;1061.05951;8
01/02/2010;00:40;1060.812349;1061.30667;1060.812349;1061.05951;97
01/02/2010;00:41;1061.05951;1061.30667;1060.812349;1061.05951;53
01/02/2010;00:42;1061.05951;1061.05951;1061.05951;1061.05951;9
01/02/2010;00:43;1061.05951;1061.05951;1060.565189;1060.565189;144
01/02/2010;00:44;1060.565189;1060.565189;1060.318029;1060.565189;200
01/02/2010;00:45;1060.812349;1061.05951;1060.812349;1060.812349;96
01/02/2010;00:46;1060.812349;1061.05951;1060.812349;1060.812349;11
01/02/2010;00:47;1060.812349;1061.05951;1060.812349;1060.812349;6
01/02/2010;00:48;1060.812349;1060.812349;1060.812349;1060.812349;4
01/02/2010;00:49;1060.812349;1061.05951;1060.812349;1061.05951;6
01/02/2010;00:50;1060.812349;1061.05951;1060.565189;1060.565189;105
01/02/2010;00:51;1060.812349;1060.812349;1060.318029;1060.565189;36
