Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/12/2011;00:00;1266.426977;1266.426977;1265.917963;1266.17247;130
01/12/2011;00:01;1265.917963;1266.426977;1265.917963;1266.17247;152
01/12/2011;00:02;1266.17247;1266.17247;1265.917963;1265.917963;48
01/12/2011;00:03;1265.917963;1266.681484;1265.917963;1266.17247;309
01/12/2011;00:04;1266.17247;1266.681484;1266.17247;1266.426977;238
01/12/2011;00:05;1266.426977;1266.426977;1266.426977;1266.426977;38
01/12/2011;00:06;1266.426977;1266.681484;1266.426977;1266.426977;71
01/12/2011;00:07;1266.426977;1266.935991;1266.426977;1266.681484;160
01/12/2011;00:08;1266.935991;1266.935991;1266.681484;1266.681484;51
01/12/2011;00:09;1266.426977;1266.681484;1266.17247;1266.426977;131
01/12/2011;00:10;1266.426977;1266.426977;1266.17247;1266.17247;93
01/12/2011;00:11;1266.426977;1266.426977;1265.917963;1266.17247;184
01/12/2011;00:12;1266.17247;1266.426977;1266.17247;1266.426977;31
01/12/2011;00:13;1266.17247;1266.426977;1266.17247;1266.426977;65
01/12/2011;00:14;1266.17247;1266.17247;1265.917963;1265.917963;38
01/12/2011;00:15;1266.17247;1266.17247;1265.917963;1265.917963;112
01/12/2011;00:16;1266.17247;1266.426977;1266.17247;1266.17247;31
01/12/2011;00:17;1266.17247;1266.426977;1266.17247;1266.426977;152
01/12/2011;00:18;1266.17247;1266.426977;1266.17247;1266.17247;74
01/12/2011;00:19;1266.426977;1266.426977;1266.426977;1266.426977;1
01/12/2011;00:20;1266.426977;1266.935991;1266.17247;1266.681484;182
01/12/2011;00:21;1266.681484;1266.681484;1266.17247;1266.426977;40
01/12/2011;00:22;1266.681484;1266.681484;1266.426977;1266.681484;31
01/12/2011;00:23;1266.681484;1266.681484;1266.426977;1266.426977;237
01/12/2011;00:24;1266.426977;1266.935991;1266.426977;1266.935991;195
01/12/2011;00:25;1266.681484;1266.935991;1266.681484;1266.935991;19
01/12/2011;00:26;1266.681484;1266.935991;1266.681484;1266.681484;29
