Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/03/2013;00:00;1574.955497;1574.955497;1574.695045;1574.695045;13
01/03/2013;00:01;1574.695045;1574.695045;1574.695045;1574.695045;2
01/03/2013;00:02;1574.955497;1574.955497;1574.955497;1574.955497;50
01/03/2013;00:03;1574.955497;1574.955497;1574.955497;1574.955497;1
01/03/2013;00:04;1574.955497;1574.955497;1574.955497;1574.955497;15
01/03/2013;00:05;1574.695045;1574.695045;1574.695045;1574.695045;1
01/03/2013;00:06;1574.955497;1574.955497;1574.695045;1574.695045;4
01/03/2013;00:07;1574.695045;1574.695045;1574.695045;1574.695045;95
01/03/2013;00:08;1574.695045;1574.955497;1574.695045;1574.955497;47
01/03/2013;00:09;1574.955497;1574.955497;1574.695045;1574.955497;13
01/03/2013;00:10;1574.955497;1574.955497;1574.695045;1574.955497;14
01/03/2013;00:11;1574.955497;1574.955497;1574.695045;1574.695045;80
01/03/2013;00:12;1574.955497;1574.955497;1574.695045;1574.695045;13
01/03/2013;00:13;1574.955497;1574.955497;1574.434592;1574.434592;107
01/03/2013;00:14;1574.695045;1574.955497;1574.434592;1574.695045;234
01/03/2013;00:15;1574.695045;1574.695045;1574.695045;1574.695045;3
01/03/2013;00:16;1574.695045;1574.955497;1574.695045;1574.955497;56
01/03/2013;00:17;1574.695045;1574.955497;1574.695045;1574.955497;145
01/03/2013;00:18;1574.955497;1574.955497;1574.695045;1574.955497;17
01/03/2013;00:19;1574.955497;1574.955497;1574.695045;1574.695045;16
01/03/2013;00:20;1574.695045;1574.955497;1574.695045;1574.695045;84
01/03/2013;00:21;1574.695045;1574.955497;1574.695045;1574.955497;22
01/03/2013;00:22;1574.695045;1574.695045;1574.695045;1574.695045;12
01/03/2013;00:23;1574.955497;1574.955497;1574.955497;1574.955497;246
01/03/2013;00:25;1574.695045;1574.955497;1574.695045;1574.955497;5
01/03/2013;00:26;1574.695045;1574.955497;1574.695045;1574.695045;11
01/03/2013;00:27;1574.955497;1574.955497;1574.955497;1574.955497;36
01/03/2013;00:28;1574.955497;1574.955497;1574.955497;1574.955497;66
01/03/2013;00:29;1574.695045;1574.955497;1574.695045;1574.695045;17
01/03/2013;00:30;1574.955497;1574.955497;1574.955497;1574.955497;9
01/03/2013;00:31;1574.955497;1574.955497;1574.955497;1574.955497;6
01/03/2013;00:32;1574.695045;1574.695045;1574.695045;1574.695045;9
01/03/2013;00:33;1574.955497;1574.955497;1574.695045;1574.695045;5
01/03/2013;00:34;1574.955497;1574.955497;1574.955497;1574.955497;122
01/03/2013;00:35;1574.955497;1574.955497;1574.955497;1574.955497;179
01/03/2013;00:36;1574.955497;1574.955497;1574.955497;1574.955497;8
01/03/2013;00:37;1574.955497;1574.955497;1574.695045;1574.955497;19
01/03/2013;00:38;1574.955497;1574.955497;1574.695045;1574.695045;43
01/03/2013;00:39;1574.955497;1574.955497;1574.955497;1574.955497;6
01/03/2013;00:40;1574.955497;1574.955497;1574.695045;1574.955497;104
01/03/2013;00:41;1574.955497;1574.955497;1574.955497;1574.955497;17
01/03/2013;00:42;1574.955497;1574.955497;1574.695045;1574.695045;22
01/03/2013;00:43;1574.695045;1574.955497;1574.695045;1574.695045;7
01/03/2013;00:44;1574.955497;1574.955497;1574.695045;1574.695045;9
01/03/2013;00:45;1574.955497;1574.955497;1574.955497;1574.955497;73
01/03/2013;00:46;1574.955497;1574.955497;1574.955497;1574.955497;7
01/03/2013;00:47;1574.955497;1574.955497;1574.695045;1574.955497;9
01/03/2013;00:48;1574.955497;1574.955497;1574.695045;1574.955497;18
01/03/2013;00:49;1574.695045;1574.955497;1574.695045;1574.695045;149
01/03/2013;00:50;1574.434592;1574.695045;1574.434592;1574.695045;62
01/03/2013;00:51;1574.695045;1574.695045;1574.695045;1574.695045;3
01/03/2013;00:52;1574.695045;1574.695045;1574.434592;1574.434592;24
01/03/2013;00:53;1574.434592;1574.434592;1573.913687;1573.913687;273
01/03/2013;00:54;1574.17414;1574.17414;1573.913687;1573.913687;253
01/03/2013;00:55;1573.913687;1574.17414;1573.653235;1573.653235;224
01/03/2013;00:56;1573.913687;1574.17414;1573.653235;1574.17414;221
01/03/2013;00:57;1574.17414;1574.17414;1573.913687;1573.913687;118
01/03/2013;00:58;1573.913687;1573.913687;1573.653235;1573.913687;294
01/03/2013;00:59;1573.653235;1573.913687;1573.392783;1573.653235;165
01/03/2013;01:00;1573.653235;1573.653235;1573.392783;1573.392783;308
01/03/2013;01:01;1573.653235;1573.653235;1573.13233;1573.13233;465
01/03/2013;01:02;1573.13233;1573.392783;1573.13233;1573.392783;338
01/03/2013;01:03;1573.392783;1573.392783;1573.13233;1573.13233;13
01/03/2013;01:04;1573.392783;1573.653235;1573.392783;1573.653235;301
01/03/2013;01:05;1573.653235;1573.913687;1573.653235;1573.653235;207
01/03/2013;01:06;1573.913687;1573.913687;1573.653235;1573.913687;182
01/03/2013;01:07;1573.913687;1573.913687;1573.653235;1573.913687;55
01/03/2013;01:08;1573.913687;1573.913687;1573.392783;1573.653235;337
01/03/2013;01:09;1573.653235;1573.913687;1573.653235;1573.653235;116
01/03/2013;01:10;1573.653235;1573.913687;1573.392783;1573.653235;110
01/03/2013;01:11;1573.392783;1573.392783;1572.871878;1573.392783;384
01/03/2013;01:12;1573.392783;1573.653235;1573.392783;1573.653235;124
01/03/2013;01:13;1573.392783;1573.392783;1572.871878;1573.13233;151
01/03/2013;01:14;1573.13233;1573.392783;1572.871878;1573.13233;302
01/03/2013;01:15;1573.392783;1573.392783;1573.13233;1573.392783;33
01/03/2013;01:16;1573.392783;1573.392783;1573.13233;1573.392783;50
01/03/2013;01:17;1573.392783;1573.392783;1573.13233;1573.13233;54
01/03/2013;01:18;1573.392783;1573.392783;1572.871878;1573.13233;194
01/03/2013;01:19;1573.13233;1573.13233;1572.611426;1572.871878;195
01/03/2013;01:20;1572.871878;1573.13233;1572.611426;1572.871878;323
01/03/2013;01:21;1572.871878;1573.13233;1572.871878;1572.871878;213
01/03/2013;01:22;1572.871878;1573.13233;1572.871878;1572.871878;302
01/03/2013;01:23;1572.871878;1572.871878;1572.611426;1572.611426;16
01/03/2013;01:24;1572.611426;1572.871878;1572.611426;1572.871878;93
01/03/2013;01:25;1572.871878;1572.871878;1572.611426;1572.871878;198
01/03/2013;01:26;1572.871878;1572.871878;1572.611426;1572.611426;85
01/03/2013;01:27;1572.611426;1572.871878;1571.830068;1571.830068;1130
01/03/2013;01:28;1572.090521;1572.090521;1571.830068;1572.090521;312
01/03/2013;01:29;1572.090521;1572.090521;1571.830068;1572.090521;52
01/03/2013;01:30;1572.090521;1572.090521;1571.830068;1571.830068;99
01/03/2013;01:31;1572.090521;1572.090521;1571.569616;1571.830068;529
01/03/2013;01:32;1571.830068;1571.830068;1571.569616;1571.830068;189
01/03/2013;01:33;1571.569616;1571.830068;1571.569616;1571.569616;432
01/03/2013;01:34;1571.569616;1571.830068;1571.569616;1571.830068;286
01/03/2013;01:35;1571.830068;1572.090521;1571.569616;1571.830068;247
01/03/2013;01:36;1571.830068;1572.090521;1571.830068;1572.090521;133
01/03/2013;01:37;1572.090521;1572.350973;1572.090521;1572.350973;76
01/03/2013;01:38;1572.350973;1572.611426;1572.350973;1572.350973;149
01/03/2013;01:39;1572.611426;1572.611426;1572.350973;1572.350973;61
01/03/2013;01:40;1572.350973;1572.350973;1572.090521;1572.350973;198
01/03/2013;01:41;1572.350973;1572.611426;1572.350973;1572.611426;43
01/03/2013;01:42;1572.611426;1572.871878;1572.611426;1572.871878;177
01/03/2013;01:43;1572.871878;1572.871878;1572.611426;1572.871878;414
01/03/2013;01:44;1572.871878;1572.871878;1572.611426;1572.611426;72
01/03/2013;01:45;1572.871878;1573.13233;1572.871878;1573.13233;435
01/03/2013;01:46;1572.871878;1573.13233;1572.871878;1572.871878;205
01/03/2013;01:47;1572.871878;1573.13233;1572.350973;1572.350973;423
01/03/2013;01:48;1572.611426;1572.611426;1572.350973;1572.611426;34
01/03/2013;01:49;1572.611426;1572.871878;1572.611426;1572.611426;44
01/03/2013;01:50;1572.871878;1572.871878;1572.611426;1572.611426;186
01/03/2013;01:51;1572.611426;1572.871878;1572.350973;1572.611426;158
01/03/2013;01:52;1572.871878;1573.13233;1572.871878;1572.871878;103
01/03/2013;01:53;1572.871878;1573.913687;1572.871878;1573.653235;1307
01/03/2013;01:54;1573.653235;1573.913687;1573.392783;1573.653235;151
01/03/2013;01:55;1573.653235;1573.913687;1573.392783;1573.653235;151
01/03/2013;01:56;1573.653235;1573.913687;1573.653235;1573.913687;55
01/03/2013;01:57;1573.913687;1574.17414;1573.653235;1573.913687;326
01/03/2013;01:58;1573.653235;1573.653235;1573.392783;1573.653235;263
01/03/2013;01:59;1573.653235;1573.653235;1573.392783;1573.392783;62
01/03/2013;02:00;1573.653235;1573.913687;1573.13233;1573.392783;778
01/03/2013;02:01;1573.653235;1573.913687;1573.392783;1573.913687;599
01/03/2013;02:02;1573.913687;1574.695045;1573.913687;1574.695045;783
01/03/2013;02:03;1574.695045;1574.695045;1574.17414;1574.434592;433
01/03/2013;02:04;1574.695045;1574.955497;1574.434592;1574.955497;512
01/03/2013;02:05;1574.695045;1574.955497;1574.434592;1574.955497;747
01/03/2013;02:06;1574.695045;1574.955497;1574.695045;1574.695045;501
01/03/2013;02:07;1574.695045;1574.955497;1574.695045;1574.695045;222
01/03/2013;02:08;1574.695045;1574.695045;1574.434592;1574.695045;474
01/03/2013;02:09;1574.434592;1574.434592;1574.17414;1574.434592;607
01/03/2013;02:10;1574.434592;1574.434592;1573.913687;1574.17414;343
01/03/2013;02:11;1574.17414;1574.17414;1573.913687;1573.913687;165
01/03/2013;02:12;1574.17414;1574.17414;1573.913687;1574.17414;21
01/03/2013;02:13;1574.17414;1574.955497;1574.17414;1574.695045;1044
01/03/2013;02:14;1574.955497;1575.215949;1574.695045;1574.955497;297
01/03/2013;02:15;1574.955497;1575.736854;1574.955497;1575.736854;1359
01/03/2013;02:16;1575.476402;1575.736854;1575.215949;1575.476402;494
01/03/2013;02:17;1575.215949;1575.476402;1575.215949;1575.215949;440
01/03/2013;02:18;1575.476402;1576.257759;1574.955497;1575.997306;2173
01/03/2013;02:19;1575.997306;1576.257759;1575.736854;1575.997306;1627
01/03/2013;02:20;1576.257759;1576.257759;1575.736854;1575.736854;437
01/03/2013;02:21;1575.997306;1575.997306;1575.476402;1575.736854;554
01/03/2013;02:22;1575.997306;1575.997306;1575.476402;1575.476402;411
01/03/2013;02:23;1575.476402;1575.736854;1574.955497;1575.215949;635
01/03/2013;02:24;1575.215949;1575.215949;1574.955497;1574.955497;136
01/03/2013;02:25;1574.955497;1575.215949;1574.695045;1574.695045;381
01/03/2013;02:26;1574.955497;1575.215949;1574.434592;1575.215949;1616
01/03/2013;02:27;1575.215949;1575.476402;1574.955497;1575.215949;646
01/03/2013;02:28;1575.215949;1575.476402;1575.215949;1575.215949;246
01/03/2013;02:29;1575.476402;1575.476402;1575.215949;1575.476402;215
01/03/2013;02:30;1575.215949;1575.997306;1575.215949;1575.736854;312
01/03/2013;02:31;1575.736854;1575.997306;1575.476402;1575.736854;462
01/03/2013;02:32;1575.736854;1575.997306;1575.736854;1575.997306;145
01/03/2013;02:33;1575.997306;1575.997306;1575.736854;1575.736854;324
01/03/2013;02:34;1575.736854;1576.257759;1575.736854;1575.997306;1273
01/03/2013;02:35;1575.997306;1576.257759;1575.476402;1575.476402;670
01/03/2013;02:36;1575.736854;1575.736854;1575.476402;1575.736854;96
01/03/2013;02:37;1575.476402;1575.997306;1575.476402;1575.997306;712
01/03/2013;02:38;1575.997306;1575.997306;1575.215949;1575.736854;1273
01/03/2013;02:39;1575.476402;1575.736854;1575.215949;1575.476402;1612
01/03/2013;02:40;1575.736854;1575.736854;1575.476402;1575.476402;235
01/03/2013;02:41;1575.215949;1575.476402;1574.955497;1575.215949;670
01/03/2013;02:42;1575.476402;1575.476402;1575.215949;1575.476402;210
01/03/2013;02:43;1575.476402;1575.476402;1574.434592;1574.695045;1843
01/03/2013;02:44;1574.955497;1575.215949;1574.695045;1574.955497;792
01/03/2013;02:45;1574.955497;1574.955497;1574.434592;1574.695045;888
01/03/2013;02:46;1574.955497;1575.215949;1574.695045;1575.215949;473
01/03/2013;02:47;1575.215949;1575.736854;1574.955497;1575.736854;774
01/03/2013;02:48;1575.736854;1576.257759;1575.476402;1575.997306;764
01/03/2013;02:49;1575.736854;1575.997306;1575.736854;1575.997306;214
01/03/2013;02:50;1575.736854;1576.518211;1575.736854;1576.257759;475
01/03/2013;02:51;1576.257759;1576.257759;1575.997306;1575.997306;350
01/03/2013;02:52;1576.257759;1576.518211;1575.997306;1576.257759;589
01/03/2013;02:53;1576.518211;1576.778664;1576.257759;1576.518211;1386
01/03/2013;02:54;1576.518211;1576.518211;1576.257759;1576.518211;189
01/03/2013;02:55;1576.518211;1576.518211;1575.736854;1575.997306;857
01/03/2013;02:56;1576.257759;1576.257759;1575.997306;1576.257759;17
01/03/2013;02:57;1576.257759;1576.257759;1575.997306;1576.257759;185
01/03/2013;02:58;1576.518211;1576.518211;1576.257759;1576.518211;158
01/03/2013;02:59;1576.257759;1576.518211;1575.997306;1575.997306;691
01/03/2013;03:00;1575.997306;1575.997306;1575.215949;1575.476402;759
01/03/2013;03:01;1575.736854;1575.736854;1575.476402;1575.736854;494
01/03/2013;03:02;1575.997306;1576.257759;1575.997306;1575.997306;160
01/03/2013;03:03;1575.997306;1576.257759;1575.997306;1575.997306;14
01/03/2013;03:04;1575.997306;1576.518211;1575.997306;1576.257759;266
01/03/2013;03:05;1576.257759;1576.257759;1575.997306;1575.997306;55
01/03/2013;03:06;1576.257759;1576.257759;1575.997306;1575.997306;278
01/03/2013;03:07;1575.736854;1575.736854;1575.476402;1575.736854;359
01/03/2013;03:08;1575.736854;1575.736854;1575.476402;1575.736854;311
01/03/2013;03:09;1575.736854;1576.257759;1575.736854;1576.257759;292
01/03/2013;03:10;1575.997306;1576.257759;1575.736854;1576.257759;692
01/03/2013;03:11;1576.257759;1576.518211;1575.997306;1576.257759;528
01/03/2013;03:12;1576.518211;1576.778664;1576.257759;1576.778664;263
01/03/2013;03:13;1576.518211;1576.778664;1576.257759;1576.518211;208
01/03/2013;03:14;1576.518211;1576.518211;1575.997306;1576.257759;237
01/03/2013;03:15;1576.257759;1576.518211;1576.257759;1576.518211;160
01/03/2013;03:16;1576.518211;1576.518211;1576.257759;1576.257759;51
01/03/2013;03:17;1576.518211;1576.518211;1575.997306;1575.997306;563
01/03/2013;03:18;1576.257759;1576.257759;1575.997306;1575.997306;18
01/03/2013;03:19;1575.997306;1575.997306;1575.736854;1575.736854;468
01/03/2013;03:20;1575.736854;1575.736854;1575.476402;1575.476402;55
01/03/2013;03:21;1575.476402;1575.736854;1575.476402;1575.476402;428
01/03/2013;03:22;1575.736854;1575.736854;1575.476402;1575.736854;484
01/03/2013;03:23;1575.476402;1575.997306;1575.476402;1575.736854;71
01/03/2013;03:24;1575.736854;1575.736854;1575.476402;1575.736854;233
01/03/2013;03:25;1575.736854;1575.997306;1575.476402;1575.476402;577
01/03/2013;03:26;1575.736854;1575.736854;1575.476402;1575.476402;168
01/03/2013;03:27;1575.215949;1575.476402;1574.955497;1574.955497;224
01/03/2013;03:28;1574.955497;1575.215949;1574.695045;1574.955497;1371
01/03/2013;03:29;1574.955497;1574.955497;1574.695045;1574.695045;660
01/03/2013;03:30;1574.695045;1574.695045;1574.17414;1574.17414;479
01/03/2013;03:31;1574.17414;1574.434592;1574.17414;1574.17414;32
