Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
31/03/2013;23:59;1631.551861;1631.813202;1631.551861;1631.551861;12
01/04/2013;00:00;1631.813202;1632.074543;1631.813202;1631.813202;95
01/04/2013;00:01;1631.813202;1632.074543;1631.813202;1632.074543;3
01/04/2013;00:02;1631.813202;1632.074543;1631.551861;1631.551861;153
01/04/2013;00:03;1631.813202;1631.813202;1631.551861;1631.813202;109
01/04/2013;00:04;1631.813202;1631.813202;1631.813202;1631.813202;7
01/04/2013;00:05;1631.813202;1631.813202;1631.813202;1631.813202;3
01/04/2013;00:06;1631.813202;1631.813202;1631.813202;1631.813202;84
01/04/2013;00:07;1631.813202;1631.813202;1631.813202;1631.813202;5
01/04/2013;00:08;1632.074543;1632.074543;1632.074543;1632.074543;115
01/04/2013;00:09;1632.335884;1632.335884;1632.074543;1632.074543;27
01/04/2013;00:10;1632.074543;1632.074543;1631.813202;1632.074543;112
01/04/2013;00:11;1631.813202;1632.074543;1631.813202;1632.074543;52
01/04/2013;00:12;1632.074543;1632.335884;1631.813202;1632.074543;81
01/04/2013;00:13;1632.074543;1632.074543;1632.074543;1632.074543;9
01/04/2013;00:14;1632.074543;1632.074543;1632.074543;1632.074543;42
01/04/2013;00:15;1631.813202;1632.074543;1631.813202;1631.813202;11
01/04/2013;00:16;1632.074543;1632.074543;1632.074543;1632.074543;2
01/04/2013;00:17;1631.813202;1631.813202;1631.813202;1631.813202;82
01/04/2013;00:18;1631.813202;1631.813202;1631.813202;1631.813202;1
01/04/2013;00:19;1631.813202;1631.813202;1631.551861;1631.813202;11
01/04/2013;00:20;1631.551861;1631.813202;1631.551861;1631.813202;34
01/04/2013;00:21;1631.813202;1631.813202;1631.813202;1631.813202;18
01/04/2013;00:22;1631.551861;1631.551861;1631.551861;1631.551861;29
01/04/2013;00:23;1631.551861;1631.551861;1631.29052;1631.29052;49
01/04/2013;00:24;1631.551861;1631.551861;1631.29052;1631.29052;102
01/04/2013;00:25;1631.29052;1631.551861;1631.29052;1631.29052;57
01/04/2013;00:26;1631.29052;1631.29052;1631.29052;1631.29052;83
01/04/2013;00:27;1631.029179;1631.29052;1631.029179;1631.029179;13
01/04/2013;00:28;1631.029179;1631.29052;1631.029179;1631.029179;8
01/04/2013;00:29;1631.029179;1631.029179;1630.767838;1630.767838;214
01/04/2013;00:30;1631.029179;1631.029179;1630.767838;1630.767838;26
01/04/2013;00:31;1630.767838;1631.029179;1630.767838;1631.029179;6
01/04/2013;00:32;1631.029179;1631.29052;1631.029179;1631.29052;108
01/04/2013;00:33;1631.029179;1631.29052;1631.029179;1631.029179;94
01/04/2013;00:34;1631.029179;1631.29052;1630.767838;1630.767838;231
01/04/2013;00:35;1630.506497;1630.767838;1630.506497;1630.506497;70
01/04/2013;00:36;1630.767838;1630.767838;1630.506497;1630.767838;45
01/04/2013;00:37;1630.767838;1630.767838;1630.767838;1630.767838;29
01/04/2013;00:38;1630.767838;1631.813202;1630.767838;1631.551861;338
01/04/2013;00:39;1631.813202;1631.813202;1631.551861;1631.551861;9
01/04/2013;00:40;1631.551861;1631.551861;1631.551861;1631.551861;12
01/04/2013;00:41;1631.29052;1631.29052;1631.29052;1631.29052;9
01/04/2013;00:42;1631.551861;1631.551861;1631.551861;1631.551861;39
01/04/2013;00:43;1631.551861;1631.551861;1631.551861;1631.551861;5
01/04/2013;00:44;1631.551861;1631.551861;1631.551861;1631.551861;1
01/04/2013;00:45;1631.551861;1631.551861;1631.29052;1631.551861;14
01/04/2013;00:46;1631.551861;1631.813202;1631.551861;1631.813202;51
01/04/2013;00:47;1631.813202;1632.335884;1631.813202;1632.074543;208
01/04/2013;00:48;1632.074543;1632.074543;1631.551861;1631.551861;15
01/04/2013;00:49;1631.551861;1631.551861;1631.551861;1631.551861;6
01/04/2013;00:50;1631.551861;1631.551861;1631.29052;1631.29052;17
01/04/2013;00:51;1631.29052;1631.551861;1631.029179;1631.029179;37
01/04/2013;00:52;1631.029179;1631.029179;1631.029179;1631.029179;12
01/04/2013;00:53;1631.029179;1631.29052;1631.029179;1631.29052;10
01/04/2013;00:54;1631.029179;1631.029179;1631.029179;1631.029179;4
01/04/2013;00:55;1631.029179;1631.029179;1630.767838;1630.767838;44
01/04/2013;00:56;1630.767838;1631.029179;1630.506497;1630.506497;111
01/04/2013;00:57;1630.506497;1630.506497;1630.245156;1630.506497;190
01/04/2013;00:58;1630.245156;1630.506497;1630.245156;1630.245156;32
01/04/2013;00:59;1630.245156;1630.767838;1630.245156;1630.767838;88
01/04/2013;01:00;1630.506497;1631.029179;1630.245156;1630.506497;189
01/04/2013;01:01;1630.506497;1630.506497;1630.245156;1630.506497;178
01/04/2013;01:02;1630.767838;1631.029179;1630.767838;1630.767838;87
01/04/2013;01:03;1630.506497;1631.029179;1630.245156;1631.029179;213
01/04/2013;01:04;1631.029179;1631.029179;1630.767838;1631.029179;33
01/04/2013;01:05;1631.029179;1631.029179;1630.767838;1631.029179;3
01/04/2013;01:06;1631.029179;1631.029179;1630.767838;1630.767838;13
01/04/2013;01:07;1630.767838;1631.029179;1630.245156;1630.506497;119
01/04/2013;01:08;1630.767838;1630.767838;1630.506497;1630.506497;38
01/04/2013;01:09;1630.506497;1630.767838;1630.245156;1630.245156;106
01/04/2013;01:10;1630.506497;1630.767838;1630.506497;1630.767838;137
01/04/2013;01:11;1630.767838;1630.767838;1630.506497;1630.506497;72
01/04/2013;01:12;1630.506497;1630.767838;1630.506497;1630.506497;24
01/04/2013;01:13;1630.767838;1630.767838;1630.767838;1630.767838;38
01/04/2013;01:14;1630.767838;1630.767838;1630.767838;1630.767838;3
01/04/2013;01:15;1631.029179;1631.029179;1630.767838;1630.767838;30
01/04/2013;01:16;1630.767838;1631.029179;1630.767838;1630.767838;11
01/04/2013;01:17;1631.029179;1631.029179;1630.767838;1630.767838;46
01/04/2013;01:18;1630.767838;1631.029179;1630.767838;1630.767838;31
01/04/2013;01:19;1630.767838;1631.029179;1630.767838;1631.029179;50
01/04/2013;01:20;1631.029179;1631.029179;1631.029179;1631.029179;13
01/04/2013;01:21;1630.767838;1631.29052;1630.767838;1631.029179;38
01/04/2013;01:22;1631.029179;1631.29052;1631.029179;1631.029179;33
01/04/2013;01:23;1631.029179;1631.029179;1631.029179;1631.029179;14
01/04/2013;01:24;1630.767838;1631.029179;1630.767838;1631.029179;27
01/04/2013;01:25;1631.029179;1631.029179;1631.029179;1631.029179;7
01/04/2013;01:26;1630.767838;1631.029179;1630.767838;1631.029179;44
01/04/2013;01:27;1630.767838;1630.767838;1630.767838;1630.767838;8
01/04/2013;01:28;1630.767838;1631.029179;1630.767838;1631.029179;17
01/04/2013;01:29;1631.029179;1631.29052;1631.029179;1631.029179;12
01/04/2013;01:30;1631.029179;1631.029179;1630.767838;1630.767838;11
01/04/2013;01:31;1631.029179;1631.029179;1631.029179;1631.029179;10
01/04/2013;01:33;1631.29052;1631.29052;1631.029179;1631.029179;7
01/04/2013;01:37;1630.767838;1631.029179;1630.767838;1631.029179;32
01/04/2013;01:38;1630.767838;1630.767838;1630.767838;1630.767838;1
01/04/2013;01:40;1630.767838;1631.029179;1630.767838;1630.767838;12
01/04/2013;01:41;1630.767838;1630.767838;1630.767838;1630.767838;1
01/04/2013;01:43;1630.767838;1630.767838;1630.767838;1630.767838;5
01/04/2013;01:44;1630.767838;1630.767838;1630.767838;1630.767838;1
01/04/2013;01:45;1631.029179;1631.029179;1631.029179;1631.029179;20
01/04/2013;01:46;1631.029179;1631.029179;1631.029179;1631.029179;1
01/04/2013;01:47;1631.029179;1631.029179;1631.029179;1631.029179;1
01/04/2013;01:48;1631.029179;1631.029179;1630.767838;1630.767838;2
01/04/2013;01:50;1631.029179;1631.029179;1631.029179;1631.029179;10
01/04/2013;01:51;1631.029179;1631.029179;1631.029179;1631.029179;6
01/04/2013;01:52;1630.767838;1630.767838;1630.767838;1630.767838;2
01/04/2013;01:54;1631.029179;1631.029179;1630.767838;1630.767838;6
01/04/2013;01:55;1631.029179;1631.029179;1631.029179;1631.029179;18
01/04/2013;01:56;1631.029179;1631.029179;1630.767838;1630.767838;4
01/04/2013;01:57;1631.029179;1631.029179;1631.029179;1631.029179;3
01/04/2013;01:58;1630.767838;1630.767838;1630.767838;1630.767838;15
01/04/2013;01:59;1631.029179;1631.029179;1630.767838;1630.767838;7
