Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/11/2017;00:00;2858.609842;2858.609842;2858.332496;2858.332496;19
01/11/2017;00:01;2858.332496;2858.332496;2858.332496;2858.332496;8
01/11/2017;00:02;2858.609842;2858.609842;2858.609842;2858.609842;1
01/11/2017;00:03;2858.332496;2858.609842;2858.332496;2858.609842;28
01/11/2017;00:04;2858.332496;2858.332496;2858.332496;2858.332496;2
01/11/2017;00:05;2858.332496;2858.332496;2858.055149;2858.055149;71
01/11/2017;00:06;2858.055149;2858.332496;2858.055149;2858.332496;20
01/11/2017;00:07;2858.055149;2858.055149;2858.055149;2858.055149;7
01/11/2017;00:08;2858.055149;2858.055149;2858.055149;2858.055149;2
01/11/2017;00:09;2858.332496;2858.332496;2858.055149;2858.055149;5
01/11/2017;00:10;2858.055149;2858.332496;2857.777803;2858.055149;97
01/11/2017;00:11;2858.055149;2858.332496;2858.055149;2858.332496;11
01/11/2017;00:12;2858.055149;2858.609842;2858.055149;2858.332496;257
01/11/2017;00:13;2858.609842;2858.609842;2858.609842;2858.609842;69
01/11/2017;00:14;2858.609842;2858.609842;2858.609842;2858.609842;3
01/11/2017;00:15;2858.887189;2858.887189;2858.609842;2858.609842;112
01/11/2017;00:16;2858.609842;2858.887189;2858.609842;2858.887189;29
01/11/2017;00:17;2858.609842;2858.887189;2858.609842;2858.887189;3
01/11/2017;00:18;2858.609842;2858.887189;2858.609842;2858.609842;50
01/11/2017;00:19;2858.609842;2858.887189;2858.609842;2858.609842;6
01/11/2017;00:20;2858.609842;2858.609842;2858.609842;2858.609842;100
01/11/2017;00:21;2858.609842;2858.609842;2858.609842;2858.609842;87
01/11/2017;00:22;2858.609842;2858.609842;2858.332496;2858.609842;74
01/11/2017;00:23;2858.609842;2858.609842;2858.609842;2858.609842;50
01/11/2017;00:24;2858.609842;2858.887189;2858.609842;2858.887189;70
01/11/2017;00:25;2858.887189;2859.164535;2858.887189;2858.887189;128
01/11/2017;00:26;2858.887189;2858.887189;2858.609842;2858.609842;25
01/11/2017;00:27;2858.609842;2858.887189;2858.609842;2858.609842;13
01/11/2017;00:28;2858.609842;2858.887189;2858.609842;2858.887189;11
01/11/2017;00:29;2858.609842;2858.609842;2858.332496;2858.332496;83
01/11/2017;00:30;2858.609842;2858.887189;2858.609842;2858.609842;226
01/11/2017;00:31;2858.609842;2858.609842;2858.609842;2858.609842;104
01/11/2017;00:32;2858.609842;2858.887189;2858.609842;2858.609842;19
01/11/2017;00:33;2858.887189;2858.887189;2858.609842;2858.609842;26
01/11/2017;00:34;2858.887189;2858.887189;2858.609842;2858.609842;18
01/11/2017;00:35;2858.887189;2858.887189;2858.332496;2858.332496;82
01/11/2017;00:36;2858.332496;2858.887189;2858.332496;2858.887189;271
01/11/2017;00:37;2859.164535;2859.164535;2858.887189;2859.164535;106
01/11/2017;00:38;2859.164535;2859.441881;2858.887189;2858.887189;104
01/11/2017;00:39;2858.887189;2859.164535;2858.887189;2858.887189;36
01/11/2017;00:40;2858.887189;2859.164535;2858.887189;2858.887189;13
01/11/2017;00:41;2859.164535;2859.164535;2858.887189;2858.887189;93
01/11/2017;00:42;2858.887189;2859.164535;2858.887189;2858.887189;20
01/11/2017;00:43;2858.887189;2859.441881;2858.887189;2859.441881;58
01/11/2017;00:44;2859.164535;2859.441881;2859.164535;2859.164535;31
01/11/2017;00:45;2859.164535;2859.441881;2859.164535;2859.164535;78
01/11/2017;00:46;2859.441881;2859.441881;2859.164535;2859.164535;14
01/11/2017;00:47;2859.164535;2859.441881;2859.164535;2859.164535;14
01/11/2017;00:48;2859.441881;2859.719228;2859.441881;2859.719228;501
01/11/2017;00:49;2859.719228;2859.719228;2859.441881;2859.719228;174
01/11/2017;00:50;2859.441881;2859.719228;2859.441881;2859.719228;109
01/11/2017;00:51;2859.996574;2860.551267;2859.996574;2860.273921;851
01/11/2017;00:52;2860.273921;2860.273921;2859.996574;2859.996574;231
01/11/2017;00:53;2859.719228;2859.996574;2859.719228;2859.719228;123
01/11/2017;00:54;2859.719228;2859.996574;2859.719228;2859.996574;42
01/11/2017;00:55;2859.996574;2859.996574;2859.719228;2859.996574;111
01/11/2017;00:56;2860.273921;2860.273921;2859.719228;2859.719228;25
01/11/2017;00:57;2859.996574;2859.996574;2859.719228;2859.996574;28
01/11/2017;00:58;2859.996574;2859.996574;2859.996574;2859.996574;236
01/11/2017;00:59;2859.996574;2859.996574;2859.719228;2859.996574;14
01/11/2017;01:00;2859.996574;2859.996574;2859.719228;2859.996574;180
01/11/2017;01:01;2859.996574;2859.996574;2859.441881;2859.441881;211
01/11/2017;01:02;2859.441881;2859.996574;2859.441881;2859.996574;103
01/11/2017;01:03;2859.719228;2859.996574;2859.719228;2859.719228;66
01/11/2017;01:04;2859.441881;2859.719228;2859.441881;2859.719228;70
01/11/2017;01:05;2859.441881;2859.719228;2859.441881;2859.719228;50
01/11/2017;01:06;2859.719228;2859.996574;2859.719228;2859.996574;162
01/11/2017;01:07;2859.996574;2859.996574;2859.996574;2859.996574;18
01/11/2017;01:08;2859.996574;2859.996574;2859.719228;2859.996574;15
01/11/2017;01:09;2859.719228;2859.996574;2859.719228;2859.996574;16
01/11/2017;01:10;2859.719228;2859.996574;2859.719228;2859.719228;12
01/11/2017;01:11;2859.996574;2860.273921;2859.996574;2860.273921;84
01/11/2017;01:12;2859.996574;2860.551267;2859.996574;2860.551267;104
01/11/2017;01:13;2860.273921;2860.551267;2860.273921;2860.273921;21
01/11/2017;01:14;2860.273921;2860.273921;2859.996574;2859.996574;86
01/11/2017;01:15;2859.996574;2859.996574;2859.996574;2859.996574;83
01/11/2017;01:16;2859.996574;2859.996574;2859.996574;2859.996574;5
01/11/2017;01:17;2859.996574;2859.996574;2859.996574;2859.996574;8
01/11/2017;01:18;2859.996574;2859.996574;2859.719228;2859.996574;19
01/11/2017;01:19;2859.996574;2859.996574;2859.719228;2859.719228;6
01/11/2017;01:20;2859.719228;2859.996574;2859.719228;2859.719228;15
01/11/2017;01:21;2859.996574;2859.996574;2859.996574;2859.996574;8
01/11/2017;01:22;2859.996574;2859.996574;2859.719228;2859.719228;3
01/11/2017;01:23;2859.719228;2859.719228;2859.719228;2859.719228;2
01/11/2017;01:24;2859.719228;2859.719228;2859.441881;2859.441881;80
01/11/2017;01:25;2859.441881;2859.441881;2859.441881;2859.441881;6
01/11/2017;01:26;2859.719228;2859.719228;2859.441881;2859.441881;3
01/11/2017;01:27;2859.441881;2859.441881;2859.441881;2859.441881;129
01/11/2017;01:28;2859.441881;2859.719228;2859.441881;2859.719228;30
01/11/2017;01:30;2859.719228;2859.996574;2859.719228;2859.996574;95
01/11/2017;01:31;2859.996574;2859.996574;2859.996574;2859.996574;3
01/11/2017;01:32;2859.719228;2859.996574;2859.719228;2859.719228;4
01/11/2017;01:33;2859.996574;2859.996574;2859.719228;2859.719228;94
01/11/2017;01:34;2859.719228;2859.719228;2859.719228;2859.719228;34
01/11/2017;01:35;2859.996574;2859.996574;2859.719228;2859.996574;12
01/11/2017;01:36;2859.719228;2859.719228;2859.719228;2859.719228;94
01/11/2017;01:37;2859.441881;2859.719228;2859.441881;2859.719228;6
01/11/2017;01:38;2859.719228;2859.719228;2859.719228;2859.719228;55
01/11/2017;01:39;2859.719228;2859.719228;2859.719228;2859.719228;4
01/11/2017;01:40;2859.719228;2859.719228;2859.719228;2859.719228;8
01/11/2017;01:41;2859.996574;2860.273921;2859.996574;2860.273921;99
01/11/2017;01:42;2860.273921;2860.273921;2859.996574;2859.996574;2
01/11/2017;01:43;2859.996574;2860.273921;2859.996574;2859.996574;79
01/11/2017;01:44;2859.996574;2859.996574;2859.719228;2859.719228;95
01/11/2017;01:45;2859.719228;2859.719228;2859.719228;2859.719228;12
01/11/2017;01:46;2859.996574;2859.996574;2859.719228;2859.719228;3
01/11/2017;01:47;2859.996574;2859.996574;2859.719228;2859.719228;2
01/11/2017;01:48;2859.719228;2859.719228;2859.719228;2859.719228;143
01/11/2017;01:49;2859.996574;2859.996574;2859.719228;2859.719228;34
01/11/2017;01:50;2859.996574;2860.273921;2859.996574;2859.996574;184
01/11/2017;01:51;2859.996574;2859.996574;2859.719228;2859.719228;904
01/11/2017;01:52;2859.719228;2859.996574;2859.719228;2859.719228;17
01/11/2017;01:53;2859.719228;2859.719228;2859.719228;2859.719228;13
01/11/2017;01:54;2859.719228;2859.996574;2859.719228;2859.996574;78
01/11/2017;01:55;2859.719228;2859.719228;2859.719228;2859.719228;16
01/11/2017;01:56;2859.719228;2859.996574;2859.441881;2859.441881;82
01/11/2017;01:57;2859.441881;2859.441881;2859.441881;2859.441881;12
01/11/2017;01:58;2859.441881;2859.441881;2859.441881;2859.441881;156
01/11/2017;01:59;2859.441881;2859.719228;2859.441881;2859.441881;80
01/11/2017;02:00;2859.441881;2859.996574;2859.441881;2859.719228;124
01/11/2017;02:01;2859.719228;2859.996574;2859.719228;2859.719228;106
01/11/2017;02:02;2859.719228;2859.996574;2859.441881;2859.996574;292
01/11/2017;02:03;2860.273921;2860.273921;2859.719228;2859.996574;236
01/11/2017;02:04;2859.719228;2859.996574;2859.719228;2859.996574;170
01/11/2017;02:05;2859.719228;2860.273921;2859.719228;2860.273921;138
01/11/2017;02:06;2860.273921;2861.10596;2860.273921;2860.828614;1436
01/11/2017;02:07;2860.828614;2860.828614;2860.551267;2860.828614;173
01/11/2017;02:08;2860.828614;2860.828614;2860.551267;2860.551267;391
01/11/2017;02:09;2860.551267;2860.828614;2860.551267;2860.828614;247
01/11/2017;02:10;2861.10596;2861.937999;2861.10596;2861.660653;977
01/11/2017;02:11;2861.660653;2862.492692;2861.660653;2862.492692;1123
01/11/2017;02:12;2862.492692;2863.324732;2862.215346;2862.770039;2665
01/11/2017;02:13;2863.047385;2863.047385;2862.770039;2863.047385;266
01/11/2017;02:14;2863.047385;2863.324732;2862.770039;2863.047385;253
01/11/2017;02:15;2862.770039;2863.047385;2862.770039;2863.047385;535
01/11/2017;02:16;2863.047385;2863.324732;2862.770039;2863.324732;182
01/11/2017;02:17;2863.047385;2863.324732;2863.047385;2863.324732;124
01/11/2017;02:18;2863.324732;2863.324732;2863.047385;2863.047385;143
01/11/2017;02:19;2862.770039;2862.770039;2862.770039;2862.770039;37
01/11/2017;02:20;2862.770039;2862.770039;2862.215346;2862.492692;442
01/11/2017;02:21;2862.492692;2862.770039;2862.215346;2862.770039;206
01/11/2017;02:22;2862.770039;2862.770039;2862.492692;2862.492692;98
01/11/2017;02:23;2862.770039;2862.770039;2862.770039;2862.770039;134
01/11/2017;02:24;2862.770039;2862.770039;2862.215346;2862.215346;402
01/11/2017;02:25;2862.492692;2862.770039;2862.215346;2862.215346;197
01/11/2017;02:26;2862.215346;2862.215346;2861.937999;2861.937999;237
01/11/2017;02:27;2861.937999;2862.492692;2861.937999;2862.492692;121
01/11/2017;02:28;2862.215346;2862.770039;2862.215346;2862.492692;273
