Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/01/2020;17:00;3546.061186;3547.156663;3544.1441;3545.239578;3836
01/01/2020;17:01;3545.239578;3545.239578;3543.596361;3543.596361;829
01/01/2020;17:02;3543.596361;3544.417969;3543.048622;3544.1441;848
01/01/2020;17:03;3544.417969;3545.239578;3544.1441;3544.965708;585
01/01/2020;17:04;3544.965708;3544.965708;3544.1441;3544.417969;314
01/01/2020;17:05;3544.417969;3544.691839;3544.1441;3544.1441;210
01/01/2020;17:06;3544.1441;3544.691839;3544.1441;3544.417969;275
01/01/2020;17:07;3544.691839;3544.691839;3544.1441;3544.417969;242
01/01/2020;17:08;3544.691839;3545.513447;3544.691839;3545.513447;117
01/01/2020;17:09;3545.513447;3547.156663;3545.513447;3546.882794;732
01/01/2020;17:10;3546.882794;3548.252141;3546.882794;3547.978272;1209
01/01/2020;17:11;3547.978272;3547.978272;3547.156663;3547.704402;183
01/01/2020;17:12;3547.704402;3547.978272;3547.430533;3547.430533;220
01/01/2020;17:13;3547.430533;3548.252141;3547.430533;3548.252141;160
01/01/2020;17:14;3548.252141;3548.526011;3547.704402;3548.526011;416
01/01/2020;17:15;3548.526011;3549.073749;3548.252141;3548.252141;341
01/01/2020;17:16;3548.526011;3548.526011;3547.978272;3547.978272;303
01/01/2020;17:17;3547.978272;3548.252141;3547.978272;3547.978272;51
01/01/2020;17:18;3547.978272;3549.073749;3547.978272;3549.073749;311
01/01/2020;17:19;3549.073749;3549.073749;3548.79988;3549.073749;86
01/01/2020;17:20;3548.79988;3549.895358;3548.79988;3549.895358;466
01/01/2020;17:21;3549.621488;3549.895358;3549.347619;3549.621488;520
01/01/2020;17:22;3549.621488;3549.621488;3549.073749;3549.347619;183
01/01/2020;17:23;3549.073749;3549.347619;3548.526011;3549.073749;178
01/01/2020;17:24;3548.79988;3548.79988;3548.526011;3548.79988;200
01/01/2020;17:25;3548.79988;3548.79988;3548.252141;3548.526011;57
01/01/2020;17:26;3548.526011;3549.073749;3548.526011;3549.073749;117
01/01/2020;17:27;3548.79988;3549.621488;3548.79988;3549.347619;259
01/01/2020;17:28;3549.347619;3549.895358;3549.347619;3549.895358;69
01/01/2020;17:29;3549.895358;3550.169227;3549.621488;3549.621488;144
01/01/2020;17:30;3549.895358;3549.895358;3549.347619;3549.347619;181
01/01/2020;17:31;3549.073749;3549.895358;3549.073749;3549.347619;197
01/01/2020;17:32;3549.347619;3549.621488;3549.347619;3549.621488;55
01/01/2020;17:33;3549.347619;3549.621488;3549.073749;3549.073749;42
01/01/2020;17:34;3549.073749;3549.073749;3548.79988;3548.79988;55
01/01/2020;17:35;3548.79988;3549.073749;3548.79988;3548.79988;128
01/01/2020;17:36;3548.79988;3549.073749;3548.526011;3548.526011;136
01/01/2020;17:37;3548.526011;3548.79988;3547.704402;3548.252141;371
