Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/08/2023;00:00;4989.612299;4989.882446;4989.612299;4989.612299;64
01/08/2023;00:01;4989.612299;4990.692887;4989.072005;4989.882446;587
01/08/2023;00:02;4989.882446;4990.152593;4989.882446;4990.152593;110
01/08/2023;00:03;4990.152593;4990.152593;4989.882446;4990.152593;92
01/08/2023;00:04;4990.152593;4990.152593;4989.882446;4989.882446;74
01/08/2023;00:05;4989.612299;4990.152593;4989.612299;4989.882446;81
01/08/2023;00:06;4990.152593;4990.152593;4989.612299;4989.612299;60
01/08/2023;00:07;4989.612299;4989.882446;4989.342152;4989.612299;62
01/08/2023;00:08;4989.612299;4989.612299;4989.072005;4989.342152;109
01/08/2023;00:09;4989.342152;4989.612299;4988.801859;4988.801859;97
01/08/2023;00:10;4988.801859;4989.072005;4988.531712;4988.801859;103
01/08/2023;00:11;4988.801859;4989.072005;4988.531712;4988.531712;120
01/08/2023;00:12;4988.531712;4989.072005;4988.531712;4988.801859;121
01/08/2023;00:13;4989.072005;4989.072005;4988.801859;4988.801859;48
01/08/2023;00:14;4988.801859;4989.072005;4988.531712;4988.801859;68
01/08/2023;00:15;4988.801859;4988.801859;4988.531712;4988.531712;57
01/08/2023;00:16;4988.531712;4988.801859;4988.531712;4988.801859;28
01/08/2023;00:17;4988.801859;4988.801859;4988.531712;4988.531712;100
01/08/2023;00:18;4988.261565;4988.531712;4987.991418;4987.991418;99
01/08/2023;00:19;4988.261565;4988.531712;4987.991418;4988.261565;138
01/08/2023;00:20;4988.261565;4988.261565;4987.991418;4987.991418;73
01/08/2023;00:21;4988.261565;4988.531712;4988.261565;4988.531712;173
01/08/2023;00:22;4988.531712;4988.531712;4988.261565;4988.261565;67
01/08/2023;00:23;4988.261565;4988.531712;4988.261565;4988.531712;33
01/08/2023;00:24;4988.531712;4988.531712;4987.991418;4987.991418;194
01/08/2023;00:25;4987.991418;4988.261565;4987.991418;4988.261565;119
01/08/2023;00:26;4988.531712;4988.801859;4988.531712;4988.801859;114
01/08/2023;00:27;4988.801859;4988.801859;4988.261565;4988.531712;101
01/08/2023;00:28;4988.531712;4988.531712;4988.261565;4988.531712;53
01/08/2023;00:29;4988.531712;4988.801859;4988.531712;4988.801859;50
01/08/2023;00:30;4988.531712;4988.801859;4988.531712;4988.801859;33
01/08/2023;00:31;4988.531712;4988.531712;4988.531712;4988.531712;19
01/08/2023;00:32;4988.531712;4988.801859;4988.531712;4988.531712;19
01/08/2023;00:33;4988.261565;4988.531712;4987.991418;4988.261565;40
01/08/2023;00:34;4988.261565;4988.531712;4988.261565;4988.261565;119
01/08/2023;00:35;4988.261565;4988.531712;4988.261565;4988.261565;36
01/08/2023;00:36;4988.531712;4988.531712;4988.261565;4988.261565;56
01/08/2023;00:37;4988.261565;4988.261565;4987.991418;4987.991418;46
01/08/2023;00:38;4988.261565;4988.261565;4987.991418;4987.991418;45
01/08/2023;00:39;4987.991418;4988.261565;4987.991418;4988.261565;85
01/08/2023;00:40;4987.991418;4988.261565;4987.721271;4987.721271;176
01/08/2023;00:41;4987.721271;4987.991418;4987.451124;4987.451124;34
01/08/2023;00:42;4987.451124;4987.451124;4987.451124;4987.451124;37
01/08/2023;00:43;4987.451124;4987.451124;4986.910831;4987.180978;188
01/08/2023;00:44;4987.180978;4987.451124;4986.910831;4987.180978;78
01/08/2023;00:45;4987.180978;4987.451124;4986.910831;4987.180978;63
01/08/2023;00:46;4987.180978;4987.721271;4987.180978;4987.451124;51
01/08/2023;00:47;4987.451124;4987.451124;4987.180978;4987.180978;66
01/08/2023;00:48;4987.180978;4987.180978;4987.180978;4987.180978;11
01/08/2023;00:49;4987.180978;4987.451124;4987.180978;4987.451124;3
01/08/2023;00:50;4987.451124;4987.451124;4987.180978;4987.180978;41
01/08/2023;00:51;4987.451124;4987.451124;4987.451124;4987.451124;62
01/08/2023;00:52;4987.180978;4987.721271;4987.180978;4987.721271;15
01/08/2023;00:53;4987.451124;4987.721271;4987.451124;4987.721271;50
01/08/2023;00:54;4987.451124;4987.451124;4987.180978;4987.180978;111
01/08/2023;00:55;4987.180978;4987.451124;4987.180978;4987.451124;67
01/08/2023;00:56;4987.451124;4987.991418;4987.451124;4987.721271;60
01/08/2023;00:57;4987.451124;4987.721271;4987.451124;4987.721271;47
01/08/2023;00:58;4987.721271;4987.721271;4987.451124;4987.721271;39
01/08/2023;00:59;4987.721271;4988.261565;4987.721271;4987.991418;144
01/08/2023;01:00;4987.991418;4987.991418;4987.180978;4987.451124;229
01/08/2023;01:01;4987.451124;4987.991418;4987.451124;4987.451124;105
01/08/2023;01:02;4987.451124;4987.451124;4986.910831;4986.910831;95
01/08/2023;01:03;4986.910831;4987.180978;4986.910831;4987.180978;39
01/08/2023;01:04;4986.910831;4987.180978;4986.910831;4986.910831;17
01/08/2023;01:05;4987.180978;4987.451124;4986.10039;4986.370537;748
01/08/2023;01:06;4986.370537;4986.640684;4986.370537;4986.370537;55
01/08/2023;01:07;4986.370537;4986.370537;4985.830243;4985.830243;152
01/08/2023;01:08;4986.10039;4986.640684;4986.10039;4986.370537;202
01/08/2023;01:09;4986.370537;4986.640684;4986.370537;4986.640684;74
01/08/2023;01:10;4986.640684;4987.451124;4986.640684;4987.451124;79
01/08/2023;01:11;4987.451124;4987.721271;4987.451124;4987.451124;22
01/08/2023;01:12;4987.451124;4987.451124;4987.180978;4987.180978;71
01/08/2023;01:13;4986.910831;4987.180978;4986.640684;4986.640684;85
01/08/2023;01:14;4986.640684;4986.910831;4986.370537;4986.910831;116
01/08/2023;01:15;4986.910831;4987.180978;4986.640684;4987.180978;72
01/08/2023;01:16;4987.180978;4987.180978;4986.640684;4986.910831;66
01/08/2023;01:17;4986.640684;4986.910831;4986.10039;4986.370537;197
01/08/2023;01:18;4986.370537;4986.910831;4986.10039;4986.910831;117
01/08/2023;01:19;4986.640684;4986.910831;4986.370537;4986.370537;85
01/08/2023;01:20;4986.370537;4986.640684;4985.830243;4986.10039;118
01/08/2023;01:21;4985.830243;4986.370537;4985.830243;4986.370537;80
01/08/2023;01:22;4986.370537;4986.910831;4986.370537;4986.640684;138
01/08/2023;01:23;4986.640684;4986.910831;4986.370537;4986.640684;66
01/08/2023;01:24;4986.640684;4986.910831;4986.370537;4986.910831;34
01/08/2023;01:25;4986.640684;4986.640684;4986.370537;4986.370537;40
01/08/2023;01:26;4986.370537;4986.640684;4986.370537;4986.640684;39
01/08/2023;01:27;4986.910831;4986.910831;4986.640684;4986.910831;10
01/08/2023;01:28;4986.910831;4987.180978;4986.910831;4987.180978;128
01/08/2023;01:29;4987.180978;4987.180978;4986.10039;4986.10039;185
01/08/2023;01:30;4986.10039;4986.370537;4985.830243;4985.830243;83
01/08/2023;01:31;4985.830243;4986.10039;4985.830243;4986.10039;47
01/08/2023;01:32;4986.10039;4986.640684;4985.830243;4986.640684;178
01/08/2023;01:33;4986.640684;4986.640684;4986.370537;4986.640684;23
01/08/2023;01:34;4986.640684;4986.910831;4986.640684;4986.640684;123
01/08/2023;01:35;4986.910831;4986.910831;4986.370537;4986.370537;207
01/08/2023;01:36;4986.370537;4986.370537;4985.830243;4985.830243;144
01/08/2023;01:37;4986.10039;4986.10039;4985.830243;4985.830243;194
01/08/2023;01:38;4985.830243;4986.370537;4985.830243;4985.830243;102
01/08/2023;01:39;4986.10039;4986.10039;4985.830243;4985.830243;151
