Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/05/2024;00:00;5287.418361;5287.418361;5287.418361;5287.418361;35
01/05/2024;00:01;5287.418361;5287.418361;5286.896379;5287.15737;78
01/05/2024;00:02;5286.896379;5287.15737;5286.635388;5286.896379;30
01/05/2024;00:03;5286.896379;5286.896379;5286.635388;5286.635388;32
01/05/2024;00:04;5286.635388;5286.896379;5286.635388;5286.635388;30
01/05/2024;00:05;5286.896379;5287.15737;5286.635388;5286.635388;55
01/05/2024;00:06;5286.635388;5286.896379;5286.635388;5286.896379;48
01/05/2024;00:07;5287.15737;5287.15737;5286.896379;5287.15737;39
01/05/2024;00:08;5287.15737;5287.15737;5286.635388;5286.896379;48
01/05/2024;00:09;5286.635388;5286.635388;5286.374397;5286.635388;16
01/05/2024;00:10;5286.635388;5286.635388;5286.113406;5286.374397;72
01/05/2024;00:11;5286.374397;5286.374397;5286.374397;5286.374397;17
01/05/2024;00:12;5286.374397;5286.635388;5286.374397;5286.635388;21
01/05/2024;00:13;5286.374397;5286.374397;5286.374397;5286.374397;1
01/05/2024;00:14;5286.374397;5286.374397;5286.374397;5286.374397;3
01/05/2024;00:15;5286.635388;5286.635388;5285.852415;5286.113406;111
01/05/2024;00:16;5286.113406;5286.374397;5285.591423;5285.591423;146
01/05/2024;00:17;5285.852415;5286.113406;5285.852415;5286.113406;49
01/05/2024;00:18;5286.374397;5286.635388;5286.374397;5286.635388;92
01/05/2024;00:19;5286.635388;5286.635388;5286.113406;5286.113406;69
01/05/2024;00:20;5286.113406;5286.374397;5286.113406;5286.113406;57
01/05/2024;00:21;5286.113406;5286.113406;5286.113406;5286.113406;13
01/05/2024;00:22;5286.113406;5286.113406;5285.591423;5285.591423;33
01/05/2024;00:23;5285.591423;5285.852415;5285.591423;5285.591423;28
01/05/2024;00:24;5285.591423;5285.591423;5284.80845;5285.069441;121
01/05/2024;00:25;5285.330432;5285.591423;5285.069441;5285.330432;139
01/05/2024;00:26;5285.330432;5285.330432;5284.80845;5284.80845;48
01/05/2024;00:27;5284.80845;5285.069441;5284.80845;5285.069441;14
01/05/2024;00:28;5284.80845;5284.80845;5284.547459;5284.547459;69
01/05/2024;00:29;5284.80845;5284.80845;5284.286468;5284.286468;45
01/05/2024;00:30;5284.547459;5285.069441;5284.547459;5284.80845;106
01/05/2024;00:31;5284.80845;5284.80845;5283.764486;5284.025477;125
01/05/2024;00:32;5284.025477;5284.547459;5283.764486;5284.547459;49
01/05/2024;00:33;5284.547459;5284.547459;5284.547459;5284.547459;13
01/05/2024;00:34;5284.547459;5284.80845;5284.547459;5284.80845;15
01/05/2024;00:35;5284.80845;5285.069441;5284.80845;5285.069441;31
01/05/2024;00:36;5285.330432;5285.591423;5285.330432;5285.330432;57
01/05/2024;00:37;5285.330432;5285.330432;5285.330432;5285.330432;47
01/05/2024;00:38;5285.069441;5285.069441;5285.069441;5285.069441;42
01/05/2024;00:39;5285.330432;5285.330432;5285.069441;5285.069441;16
01/05/2024;00:40;5285.069441;5285.069441;5284.80845;5284.80845;50
01/05/2024;00:41;5284.80845;5284.80845;5282.981513;5283.503495;332
01/05/2024;00:42;5283.242504;5283.764486;5283.242504;5283.242504;58
01/05/2024;00:43;5283.503495;5283.764486;5283.503495;5283.503495;68
01/05/2024;00:44;5283.503495;5283.764486;5283.503495;5283.503495;87
01/05/2024;00:45;5283.503495;5283.764486;5283.503495;5283.764486;57
01/05/2024;00:46;5283.503495;5284.286468;5283.503495;5284.286468;57
01/05/2024;00:47;5284.286468;5284.286468;5284.025477;5284.025477;37
01/05/2024;00:48;5284.286468;5284.286468;5284.286468;5284.286468;29
01/05/2024;00:49;5284.547459;5284.547459;5284.286468;5284.547459;26
01/05/2024;00:50;5284.286468;5284.547459;5284.286468;5284.286468;19
01/05/2024;00:51;5284.547459;5284.547459;5284.547459;5284.547459;23
01/05/2024;00:52;5284.547459;5284.80845;5284.547459;5284.80845;30
01/05/2024;00:53;5284.80845;5285.069441;5284.80845;5284.80845;19
01/05/2024;00:54;5284.80845;5284.80845;5284.80845;5284.80845;25
01/05/2024;00:55;5284.80845;5284.80845;5284.80845;5284.80845;48
01/05/2024;00:56;5284.547459;5284.547459;5284.547459;5284.547459;52
01/05/2024;00:57;5284.286468;5284.286468;5284.025477;5284.286468;36
01/05/2024;00:58;5284.025477;5284.025477;5283.503495;5283.503495;59
01/05/2024;00:59;5283.503495;5283.764486;5283.503495;5283.503495;13
01/05/2024;01:00;5283.503495;5283.764486;5282.981513;5283.764486;381
01/05/2024;01:01;5283.764486;5285.591423;5283.764486;5285.591423;153
01/05/2024;01:02;5285.591423;5285.852415;5285.330432;5285.852415;100
01/05/2024;01:03;5285.591423;5285.591423;5284.025477;5284.025477;241
01/05/2024;01:04;5284.025477;5284.025477;5283.242504;5283.242504;73
