Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/07/2010;00:00;1637.354184;1637.354184;1637.09035;1637.09035;7
01/07/2010;00:01;1637.09035;1637.09035;1636.958433;1636.958433;3
01/07/2010;00:02;1636.958433;1636.958433;1636.298847;1636.958433;38
01/07/2010;00:03;1636.958433;1637.09035;1636.958433;1637.09035;14
01/07/2010;00:04;1637.222267;1637.354184;1637.222267;1637.354184;9
01/07/2010;00:05;1637.354184;1637.354184;1636.958433;1636.958433;12
01/07/2010;00:06;1637.09035;1637.222267;1637.09035;1637.222267;6
01/07/2010;00:07;1637.09035;1637.354184;1637.09035;1637.09035;22
01/07/2010;00:08;1637.09035;1637.09035;1636.826515;1636.826515;6
01/07/2010;00:09;1636.958433;1636.958433;1636.826515;1636.826515;4
01/07/2010;00:10;1636.694598;1636.826515;1635.903096;1636.430764;46
01/07/2010;00:11;1636.562681;1636.958433;1636.562681;1636.958433;9
01/07/2010;00:12;1636.958433;1637.09035;1636.958433;1637.09035;13
01/07/2010;00:13;1637.222267;1637.222267;1637.222267;1637.222267;3
01/07/2010;00:14;1637.222267;1637.354184;1637.222267;1637.222267;5
01/07/2010;00:15;1637.222267;1637.354184;1637.09035;1637.354184;17
01/07/2010;00:16;1637.222267;1637.222267;1637.09035;1637.222267;9
01/07/2010;00:17;1637.354184;1637.881852;1637.354184;1637.618018;104
01/07/2010;00:18;1637.618018;1637.749935;1637.486101;1637.749935;3
01/07/2010;00:19;1637.618018;1637.881852;1637.618018;1637.749935;11
01/07/2010;00:20;1637.749935;1637.881852;1637.749935;1637.749935;9
01/07/2010;00:21;1637.618018;1637.618018;1637.486101;1637.618018;22
01/07/2010;00:22;1637.486101;1637.618018;1637.486101;1637.486101;25
01/07/2010;00:24;1637.618018;1638.145686;1637.618018;1638.145686;28
01/07/2010;00:25;1637.749935;1637.749935;1637.749935;1637.749935;3
01/07/2010;00:26;1637.618018;1637.618018;1637.618018;1637.618018;2
01/07/2010;00:27;1637.486101;1637.881852;1637.354184;1637.354184;14
01/07/2010;00:28;1637.354184;1637.749935;1637.354184;1637.749935;5
01/07/2010;00:29;1637.749935;1637.881852;1637.749935;1637.881852;15
01/07/2010;00:30;1637.749935;1637.749935;1637.749935;1637.749935;17
01/07/2010;00:31;1637.881852;1637.881852;1637.881852;1637.881852;3
01/07/2010;00:32;1637.749935;1637.749935;1637.749935;1637.749935;16
01/07/2010;00:33;1637.749935;1637.749935;1637.749935;1637.749935;6
01/07/2010;00:34;1637.749935;1637.881852;1637.749935;1637.749935;8
01/07/2010;00:35;1637.881852;1637.881852;1637.881852;1637.881852;4
