Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/04/2014;00:00;1659.68815;1659.68815;1659.558941;1659.68815;11
01/04/2014;00:01;1659.558941;1659.68815;1659.558941;1659.68815;5
01/04/2014;00:02;1659.558941;1659.817359;1659.300523;1659.300523;45
01/04/2014;00:03;1659.558941;1659.558941;1659.429732;1659.429732;6
01/04/2014;00:04;1659.300523;1659.429732;1659.300523;1659.429732;21
01/04/2014;00:05;1659.558941;1660.075777;1659.558941;1659.946568;267
01/04/2014;00:06;1659.817359;1659.946568;1659.817359;1659.817359;9
01/04/2014;00:07;1659.946568;1659.946568;1659.946568;1659.946568;3
01/04/2014;00:08;1659.946568;1659.946568;1659.946568;1659.946568;3
01/04/2014;00:09;1660.075777;1660.204986;1659.946568;1659.946568;19
01/04/2014;00:10;1660.075777;1660.075777;1660.075777;1660.075777;1
01/04/2014;00:11;1660.075777;1660.075777;1659.946568;1659.946568;3
01/04/2014;00:12;1659.946568;1660.075777;1659.946568;1659.946568;3
01/04/2014;00:13;1659.946568;1659.946568;1659.68815;1659.68815;14
01/04/2014;00:14;1659.817359;1659.946568;1659.68815;1659.68815;9
01/04/2014;00:15;1659.817359;1659.946568;1659.817359;1659.946568;3
01/04/2014;00:16;1659.946568;1660.075777;1659.946568;1660.075777;12
01/04/2014;00:17;1659.946568;1659.946568;1659.946568;1659.946568;2
01/04/2014;00:18;1659.946568;1659.946568;1659.946568;1659.946568;2
01/04/2014;00:19;1660.075777;1660.204986;1660.075777;1660.204986;31
01/04/2014;00:20;1660.204986;1660.334194;1660.075777;1660.204986;20
01/04/2014;00:21;1660.334194;1660.334194;1660.075777;1660.334194;15
01/04/2014;00:22;1660.463403;1660.463403;1660.334194;1660.334194;17
01/04/2014;00:23;1660.334194;1660.334194;1660.204986;1660.334194;7
01/04/2014;00:24;1660.204986;1660.334194;1660.204986;1660.334194;5
01/04/2014;00:25;1660.204986;1660.334194;1660.204986;1660.334194;9
01/04/2014;00:26;1660.334194;1660.334194;1660.075777;1660.075777;16
01/04/2014;00:27;1660.075777;1660.334194;1659.946568;1660.334194;96
01/04/2014;00:28;1660.463403;1660.592612;1660.334194;1660.463403;32
01/04/2014;00:29;1660.592612;1660.592612;1660.463403;1660.463403;8
01/04/2014;00:30;1660.463403;1660.592612;1660.334194;1660.334194;35
01/04/2014;00:31;1660.334194;1660.721821;1660.204986;1660.592612;76
01/04/2014;00:32;1660.592612;1660.721821;1660.592612;1660.592612;28
01/04/2014;00:33;1660.721821;1660.85103;1660.592612;1660.721821;17
01/04/2014;00:34;1660.980239;1661.238657;1660.85103;1660.85103;152
01/04/2014;00:35;1661.109448;1661.109448;1660.463403;1660.592612;127
01/04/2014;00:36;1660.463403;1660.463403;1660.204986;1660.334194;32
01/04/2014;00:37;1660.592612;1660.592612;1660.463403;1660.463403;21
01/04/2014;00:38;1660.334194;1660.334194;1660.334194;1660.334194;2
01/04/2014;00:39;1660.463403;1660.463403;1660.204986;1660.204986;46
01/04/2014;00:40;1660.204986;1660.204986;1659.946568;1659.946568;55
01/04/2014;00:41;1660.075777;1660.075777;1659.946568;1660.075777;38
01/04/2014;00:42;1660.204986;1660.204986;1659.68815;1659.817359;74
01/04/2014;00:43;1659.946568;1660.204986;1659.946568;1660.204986;28
01/04/2014;00:44;1660.075777;1660.334194;1660.075777;1660.334194;16
01/04/2014;00:45;1660.334194;1660.463403;1660.334194;1660.463403;4
01/04/2014;00:46;1660.463403;1660.592612;1660.334194;1660.334194;17
01/04/2014;00:47;1660.463403;1660.592612;1660.463403;1660.592612;25
01/04/2014;00:48;1660.463403;1660.463403;1660.334194;1660.334194;27
01/04/2014;00:49;1660.334194;1660.334194;1660.204986;1660.204986;28
01/04/2014;00:50;1660.334194;1660.334194;1660.204986;1660.334194;9
01/04/2014;00:51;1660.204986;1661.367866;1660.204986;1660.721821;165
01/04/2014;00:52;1660.721821;1661.238657;1660.592612;1661.238657;86
01/04/2014;00:53;1661.109448;1661.109448;1660.85103;1661.109448;47
01/04/2014;00:54;1660.980239;1661.626283;1660.85103;1661.626283;98
01/04/2014;00:55;1661.626283;1662.01391;1661.367866;1662.01391;151
01/04/2014;00:56;1662.01391;1662.143119;1661.755492;1662.143119;165
01/04/2014;00:57;1662.143119;1663.305999;1662.143119;1662.272328;588
01/04/2014;00:58;1662.401537;1662.530746;1660.980239;1661.626283;291
01/04/2014;00:59;1661.884701;1662.272328;1661.755492;1662.272328;96
01/04/2014;01:00;1662.143119;1662.659954;1662.01391;1662.401537;72
01/04/2014;01:01;1662.530746;1662.659954;1662.143119;1662.272328;105
01/04/2014;01:02;1662.143119;1662.272328;1661.497074;1661.884701;253
01/04/2014;01:03;1662.01391;1662.01391;1660.721821;1661.497074;326
01/04/2014;01:04;1661.367866;1661.626283;1661.238657;1661.497074;40
01/04/2014;01:05;1661.367866;1661.626283;1661.109448;1661.497074;74
01/04/2014;01:06;1661.497074;1661.626283;1661.367866;1661.497074;15
01/04/2014;01:07;1661.497074;1661.626283;1661.367866;1661.367866;35
01/04/2014;01:08;1661.497074;1661.497074;1661.367866;1661.497074;13
01/04/2014;01:09;1661.497074;1661.626283;1661.367866;1661.367866;23
01/04/2014;01:10;1661.367866;1661.367866;1660.85103;1661.109448;100
01/04/2014;01:11;1660.980239;1661.367866;1660.980239;1661.367866;47
01/04/2014;01:12;1661.238657;1661.497074;1661.238657;1661.497074;27
01/04/2014;01:13;1661.497074;1661.626283;1661.367866;1661.626283;35
01/04/2014;01:14;1661.626283;1661.626283;1661.109448;1661.497074;30
01/04/2014;01:15;1661.238657;1661.497074;1661.238657;1661.497074;31
01/04/2014;01:16;1661.497074;1661.626283;1661.367866;1661.367866;25
01/04/2014;01:17;1661.367866;1661.367866;1661.238657;1661.238657;18
01/04/2014;01:18;1661.109448;1661.367866;1661.109448;1661.367866;25
01/04/2014;01:19;1661.367866;1661.367866;1661.238657;1661.238657;46
01/04/2014;01:20;1661.238657;1661.755492;1661.238657;1661.626283;190
