Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
02/08/2015;17:00;1408.509582;1409.409917;1408.509582;1408.638201;144
02/08/2015;17:01;1408.638201;1408.638201;1408.509582;1408.509582;115
02/08/2015;17:02;1408.509582;1409.152679;1408.509582;1408.638201;115
02/08/2015;17:03;1408.766821;1408.89544;1408.766821;1408.89544;21
02/08/2015;17:04;1408.89544;1409.024059;1408.766821;1408.766821;8
02/08/2015;17:05;1409.024059;1409.538536;1408.89544;1409.409917;61
02/08/2015;17:06;1409.281298;1409.538536;1409.281298;1409.409917;36
02/08/2015;17:07;1409.538536;1409.538536;1409.281298;1409.281298;20
02/08/2015;17:08;1409.152679;1409.152679;1409.152679;1409.152679;11
02/08/2015;17:09;1409.152679;1409.152679;1408.89544;1409.024059;25
02/08/2015;17:10;1408.89544;1408.89544;1408.509582;1408.638201;34
02/08/2015;17:11;1408.638201;1408.638201;1408.509582;1408.509582;51
02/08/2015;17:12;1408.509582;1408.89544;1408.509582;1408.766821;39
02/08/2015;17:13;1408.638201;1408.638201;1408.509582;1408.509582;7
02/08/2015;17:14;1408.638201;1408.638201;1408.509582;1408.509582;37
02/08/2015;17:15;1408.509582;1408.509582;1407.352009;1407.352009;83
02/08/2015;17:16;1407.352009;1407.609247;1407.352009;1407.352009;31
02/08/2015;17:17;1407.352009;1407.866486;1407.352009;1407.866486;37
02/08/2015;17:18;1407.737867;1407.866486;1407.609247;1407.866486;45
02/08/2015;17:19;1407.866486;1407.866486;1407.737867;1407.737867;7
02/08/2015;17:20;1407.737867;1407.737867;1407.609247;1407.609247;4
02/08/2015;17:21;1407.866486;1407.995105;1407.866486;1407.995105;33
02/08/2015;17:22;1407.866486;1407.866486;1407.866486;1407.866486;3
02/08/2015;17:23;1407.737867;1407.737867;1407.737867;1407.737867;2
02/08/2015;17:24;1407.866486;1407.995105;1407.609247;1407.866486;17
02/08/2015;17:25;1407.866486;1407.866486;1407.737867;1407.737867;7
02/08/2015;17:26;1407.737867;1408.123724;1407.737867;1407.866486;38
02/08/2015;17:27;1408.123724;1408.123724;1407.995105;1407.995105;3
02/08/2015;17:28;1407.995105;1407.995105;1407.995105;1407.995105;4
02/08/2015;17:29;1407.609247;1407.737867;1407.609247;1407.737867;2
02/08/2015;17:31;1407.737867;1407.737867;1407.480628;1407.737867;11
02/08/2015;17:32;1407.609247;1407.737867;1407.352009;1407.480628;21
02/08/2015;17:33;1407.352009;1407.352009;1406.580293;1406.708913;51
02/08/2015;17:34;1406.708913;1406.966151;1406.708913;1406.708913;22
02/08/2015;17:35;1406.708913;1407.22339;1406.708913;1407.09477;24
02/08/2015;17:36;1407.22339;1407.609247;1407.22339;1407.609247;26
02/08/2015;17:37;1407.480628;1407.609247;1407.480628;1407.609247;5
02/08/2015;17:38;1407.609247;1407.737867;1407.609247;1407.737867;13
02/08/2015;17:39;1407.737867;1407.737867;1407.609247;1407.737867;3
02/08/2015;17:40;1407.737867;1407.737867;1407.352009;1407.352009;13
02/08/2015;17:41;1407.352009;1407.352009;1407.22339;1407.22339;6
02/08/2015;17:42;1407.22339;1407.22339;1406.708913;1406.966151;23
02/08/2015;17:43;1406.837532;1406.837532;1406.708913;1406.837532;10
02/08/2015;17:44;1406.837532;1406.837532;1406.451674;1406.451674;24
02/08/2015;17:45;1406.580293;1406.837532;1406.580293;1406.837532;20
02/08/2015;17:47;1407.09477;1407.09477;1406.966151;1406.966151;16
02/08/2015;17:48;1406.966151;1406.966151;1406.966151;1406.966151;4
02/08/2015;17:49;1407.09477;1407.09477;1406.966151;1406.966151;2
02/08/2015;17:50;1407.09477;1407.09477;1406.966151;1406.966151;3
02/08/2015;17:51;1407.09477;1407.09477;1407.09477;1407.09477;1
02/08/2015;17:52;1407.09477;1407.09477;1407.09477;1407.09477;1
