Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/11/2015;17:00;1467.931683;1468.574779;1467.803064;1468.574779;155
01/11/2015;17:01;1468.44616;1468.44616;1467.931683;1467.931683;28
01/11/2015;17:02;1467.931683;1468.060302;1467.674445;1467.674445;35
01/11/2015;17:03;1467.674445;1467.931683;1467.545825;1467.931683;21
01/11/2015;17:04;1467.674445;1467.931683;1467.674445;1467.931683;11
01/11/2015;17:05;1467.803064;1467.803064;1467.674445;1467.803064;13
01/11/2015;17:06;1467.674445;1467.803064;1467.545825;1467.674445;50
01/11/2015;17:07;1467.545825;1467.674445;1467.159968;1467.288587;85
01/11/2015;17:08;1467.288587;1467.288587;1467.031348;1467.159968;54
01/11/2015;17:09;1467.417206;1467.674445;1467.159968;1467.417206;69
01/11/2015;17:10;1467.288587;1467.674445;1467.159968;1467.417206;63
01/11/2015;17:11;1467.417206;1467.545825;1467.031348;1467.159968;87
01/11/2015;17:12;1467.159968;1467.288587;1466.77411;1466.77411;58
01/11/2015;17:13;1466.77411;1467.031348;1466.64549;1467.031348;36
01/11/2015;17:14;1466.902729;1467.031348;1466.77411;1466.902729;20
01/11/2015;17:15;1466.902729;1466.902729;1465.359298;1465.616536;199
01/11/2015;17:16;1465.487917;1465.616536;1462.529674;1464.330344;383
01/11/2015;17:17;1464.201724;1464.97344;1464.201724;1464.97344;56
01/11/2015;17:18;1464.97344;1465.745156;1464.844821;1464.97344;125
01/11/2015;17:19;1464.844821;1464.844821;1464.330344;1464.330344;30
01/11/2015;17:20;1464.458963;1464.716201;1464.201724;1464.716201;117
01/11/2015;17:21;1464.587582;1465.102059;1464.458963;1464.97344;61
01/11/2015;17:22;1464.844821;1464.844821;1460.600385;1461.114862;800
01/11/2015;17:23;1460.857624;1461.886578;1458.285238;1460.085908;1046
01/11/2015;17:24;1460.085908;1464.073105;1460.085908;1463.430009;429
01/11/2015;17:25;1463.30139;1465.359298;1462.786912;1464.201724;334
01/11/2015;17:26;1464.330344;1464.587582;1464.201724;1464.201724;78
01/11/2015;17:27;1464.073105;1464.716201;1464.073105;1464.587582;38
01/11/2015;17:28;1464.716201;1464.97344;1464.716201;1464.97344;15
