Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
30/04/2017;23:59;1599.360423;1599.360423;1599.233961;1599.360423;12
01/05/2017;00:00;1599.360423;1599.360423;1599.107499;1599.107499;57
01/05/2017;00:01;1599.107499;1599.107499;1598.981038;1598.981038;29
01/05/2017;00:02;1598.981038;1598.981038;1598.854576;1598.854576;7
01/05/2017;00:03;1598.854576;1598.854576;1598.854576;1598.854576;7
01/05/2017;00:04;1598.854576;1598.854576;1598.854576;1598.854576;1
01/05/2017;00:05;1598.981038;1598.981038;1598.981038;1598.981038;2
01/05/2017;00:06;1598.854576;1598.981038;1598.854576;1598.981038;6
01/05/2017;00:07;1598.981038;1598.981038;1598.981038;1598.981038;2
01/05/2017;00:08;1598.854576;1598.854576;1598.728114;1598.728114;14
01/05/2017;00:09;1598.728114;1598.981038;1598.728114;1598.981038;22
01/05/2017;00:10;1598.981038;1598.981038;1598.854576;1598.854576;10
01/05/2017;00:11;1598.981038;1598.981038;1598.854576;1598.854576;2
01/05/2017;00:12;1598.854576;1598.854576;1598.854576;1598.854576;4
01/05/2017;00:13;1598.981038;1598.981038;1598.981038;1598.981038;1
01/05/2017;00:14;1598.854576;1598.854576;1598.854576;1598.854576;10
01/05/2017;00:15;1598.854576;1598.981038;1598.854576;1598.854576;10
01/05/2017;00:16;1598.854576;1599.107499;1598.854576;1599.107499;25
01/05/2017;00:17;1599.107499;1599.107499;1599.107499;1599.107499;2
01/05/2017;00:18;1599.107499;1599.107499;1598.981038;1598.981038;9
01/05/2017;00:19;1598.981038;1599.107499;1598.981038;1599.107499;17
01/05/2017;00:20;1599.107499;1599.107499;1598.981038;1599.107499;7
01/05/2017;00:21;1599.107499;1599.233961;1599.107499;1599.233961;18
01/05/2017;00:22;1599.107499;1599.107499;1599.107499;1599.107499;1
01/05/2017;00:23;1599.107499;1599.107499;1599.107499;1599.107499;2
01/05/2017;00:24;1599.233961;1599.233961;1599.107499;1599.107499;6
01/05/2017;00:25;1599.107499;1599.107499;1599.107499;1599.107499;2
01/05/2017;00:26;1599.107499;1599.107499;1599.107499;1599.107499;1
01/05/2017;00:28;1599.233961;1599.360423;1599.233961;1599.360423;12
01/05/2017;00:29;1599.233961;1599.233961;1599.107499;1599.107499;13
01/05/2017;00:30;1599.233961;1599.233961;1599.107499;1599.233961;5
01/05/2017;00:31;1599.233961;1599.233961;1599.233961;1599.233961;2
01/05/2017;00:32;1599.233961;1599.233961;1599.107499;1599.107499;7
01/05/2017;00:33;1599.107499;1599.107499;1599.107499;1599.107499;32
01/05/2017;00:34;1598.981038;1598.981038;1598.981038;1598.981038;2
01/05/2017;00:35;1598.981038;1598.981038;1598.728114;1598.854576;43
01/05/2017;00:36;1598.854576;1598.854576;1598.728114;1598.854576;11
01/05/2017;00:37;1598.854576;1598.854576;1598.601653;1598.601653;33
01/05/2017;00:38;1598.601653;1598.601653;1598.348729;1598.348729;90
01/05/2017;00:39;1598.348729;1598.475191;1598.095806;1598.475191;90
01/05/2017;00:40;1598.475191;1598.475191;1598.348729;1598.475191;24
01/05/2017;00:41;1598.475191;1598.601653;1598.475191;1598.475191;18
01/05/2017;00:42;1598.475191;1598.601653;1598.348729;1598.348729;11
01/05/2017;00:43;1598.348729;1598.475191;1598.348729;1598.475191;12
01/05/2017;00:44;1598.475191;1598.601653;1598.475191;1598.601653;36
01/05/2017;00:45;1598.475191;1598.475191;1598.348729;1598.348729;26
01/05/2017;00:46;1598.475191;1598.475191;1598.348729;1598.475191;29
01/05/2017;00:47;1598.348729;1598.348729;1598.222268;1598.222268;60
01/05/2017;00:48;1598.348729;1598.348729;1597.969345;1598.095806;92
01/05/2017;00:49;1598.095806;1598.095806;1597.842883;1598.095806;55
01/05/2017;00:50;1598.095806;1598.095806;1597.969345;1598.095806;38
01/05/2017;00:51;1598.095806;1598.222268;1597.969345;1598.222268;42
01/05/2017;00:52;1598.222268;1598.348729;1598.095806;1598.348729;73
01/05/2017;00:53;1598.222268;1598.348729;1598.222268;1598.348729;21
01/05/2017;00:54;1598.348729;1598.348729;1598.222268;1598.348729;16
01/05/2017;00:55;1598.222268;1598.222268;1598.222268;1598.222268;5
01/05/2017;00:56;1598.095806;1598.222268;1598.095806;1598.095806;27
01/05/2017;00:57;1598.095806;1598.095806;1597.969345;1598.095806;8
01/05/2017;00:58;1597.969345;1598.348729;1597.969345;1598.095806;33
01/05/2017;00:59;1598.095806;1598.348729;1598.095806;1598.095806;36
01/05/2017;01:00;1598.222268;1598.222268;1597.969345;1598.222268;78
01/05/2017;01:01;1598.222268;1598.222268;1597.842883;1598.095806;112
01/05/2017;01:02;1598.095806;1598.222268;1597.969345;1598.222268;70
01/05/2017;01:03;1598.095806;1598.222268;1598.095806;1598.095806;6
01/05/2017;01:04;1598.222268;1598.222268;1597.969345;1598.095806;45
01/05/2017;01:05;1598.095806;1598.095806;1597.969345;1598.095806;36
01/05/2017;01:06;1598.222268;1598.475191;1598.222268;1598.348729;85
01/05/2017;01:07;1598.348729;1598.601653;1598.348729;1598.348729;65
01/05/2017;01:08;1598.348729;1598.601653;1598.348729;1598.601653;36
01/05/2017;01:09;1598.601653;1598.601653;1598.475191;1598.475191;19
01/05/2017;01:10;1598.475191;1598.475191;1598.222268;1598.222268;33
01/05/2017;01:11;1598.222268;1598.475191;1598.222268;1598.475191;31
01/05/2017;01:12;1598.348729;1598.601653;1598.348729;1598.475191;74
01/05/2017;01:13;1598.348729;1598.475191;1598.348729;1598.348729;13
01/05/2017;01:14;1598.475191;1598.601653;1598.475191;1598.475191;33
01/05/2017;01:15;1598.348729;1598.601653;1598.222268;1598.601653;117
01/05/2017;01:16;1598.601653;1598.601653;1598.601653;1598.601653;14
01/05/2017;01:17;1598.728114;1598.728114;1598.728114;1598.728114;49
01/05/2017;01:18;1598.728114;1598.728114;1598.728114;1598.728114;37
01/05/2017;01:19;1598.601653;1598.601653;1598.601653;1598.601653;5
01/05/2017;01:20;1598.601653;1598.601653;1598.475191;1598.601653;18
01/05/2017;01:21;1598.601653;1598.728114;1598.601653;1598.601653;4
01/05/2017;01:22;1598.728114;1598.854576;1598.601653;1598.601653;49
01/05/2017;01:23;1598.601653;1598.728114;1598.601653;1598.601653;21
01/05/2017;01:24;1598.728114;1598.854576;1598.728114;1598.854576;23
01/05/2017;01:25;1598.728114;1598.728114;1598.601653;1598.728114;40
01/05/2017;01:26;1598.728114;1598.728114;1597.716421;1597.969345;408
01/05/2017;01:27;1598.095806;1598.095806;1597.58996;1597.842883;127
01/05/2017;01:28;1597.716421;1597.842883;1597.58996;1597.716421;71
01/05/2017;01:29;1597.716421;1597.716421;1597.58996;1597.716421;41
01/05/2017;01:30;1597.716421;1597.842883;1597.463498;1597.58996;100
01/05/2017;01:31;1597.463498;1597.58996;1597.337036;1597.463498;99
01/05/2017;01:32;1597.463498;1597.58996;1597.337036;1597.337036;110
01/05/2017;01:33;1597.463498;1597.463498;1597.337036;1597.463498;63
01/05/2017;01:34;1597.463498;1597.716421;1597.463498;1597.716421;36
01/05/2017;01:35;1597.716421;1597.716421;1597.716421;1597.716421;36
01/05/2017;01:36;1597.716421;1597.716421;1597.58996;1597.716421;18
01/05/2017;01:37;1597.716421;1597.969345;1597.716421;1597.842883;69
01/05/2017;01:38;1597.842883;1597.842883;1597.716421;1597.716421;16
01/05/2017;01:39;1597.842883;1597.842883;1597.716421;1597.716421;6
01/05/2017;01:40;1597.716421;1597.842883;1597.716421;1597.842883;5
01/05/2017;01:41;1597.716421;1597.842883;1597.716421;1597.842883;2
01/05/2017;01:42;1597.842883;1597.842883;1597.716421;1597.842883;30
01/05/2017;01:43;1597.842883;1598.095806;1597.716421;1597.716421;74
01/05/2017;01:44;1597.58996;1597.716421;1597.58996;1597.716421;14
01/05/2017;01:45;1597.842883;1597.842883;1597.716421;1597.716421;2
01/05/2017;01:46;1597.842883;1597.969345;1597.842883;1597.969345;56
01/05/2017;01:47;1597.842883;1597.969345;1597.842883;1597.842883;6
01/05/2017;01:48;1597.969345;1597.969345;1597.842883;1597.842883;4
01/05/2017;01:49;1597.842883;1597.842883;1597.716421;1597.716421;35
01/05/2017;01:50;1597.716421;1598.095806;1597.716421;1597.969345;100
01/05/2017;01:51;1597.969345;1597.969345;1597.842883;1597.842883;18
01/05/2017;01:52;1597.842883;1597.842883;1597.842883;1597.842883;18
01/05/2017;01:53;1597.842883;1597.842883;1597.716421;1597.842883;6
01/05/2017;01:54;1597.842883;1597.842883;1597.716421;1597.716421;4
01/05/2017;01:55;1597.716421;1597.842883;1597.716421;1597.716421;29
01/05/2017;01:56;1597.716421;1597.842883;1597.716421;1597.842883;39
01/05/2017;01:57;1597.842883;1597.842883;1597.716421;1597.716421;2
01/05/2017;01:58;1597.842883;1597.842883;1597.842883;1597.842883;7
