Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/06/2022;00:00;2091.661763;2091.889663;2090.750165;2090.978065;116
01/06/2022;00:01;2090.978065;2091.433864;2090.978065;2091.433864;15
01/06/2022;00:02;2091.433864;2091.433864;2091.205964;2091.319914;16
01/06/2022;00:03;2091.319914;2091.547814;2090.522266;2090.522266;73
01/06/2022;00:04;2090.750165;2090.864115;2089.724617;2090.066467;124
01/06/2022;00:05;2090.180417;2090.750165;2090.180417;2090.522266;26
01/06/2022;00:06;2090.522266;2090.522266;2090.522266;2090.522266;8
01/06/2022;00:07;2090.750165;2090.750165;2090.750165;2090.750165;12
01/06/2022;00:08;2090.750165;2090.750165;2089.838567;2090.066467;35
01/06/2022;00:09;2090.066467;2090.180417;2089.496718;2089.952517;66
01/06/2022;00:10;2090.066467;2090.294366;2089.040919;2089.838567;103
01/06/2022;00:11;2089.838567;2089.952517;2089.724617;2089.952517;16
01/06/2022;00:12;2089.838567;2090.066467;2089.382768;2089.610668;147
01/06/2022;00:13;2089.496718;2089.610668;2089.496718;2089.610668;12
01/06/2022;00:14;2089.610668;2089.610668;2088.813019;2089.154869;155
01/06/2022;00:15;2088.926969;2089.268818;2088.813019;2089.154869;58
01/06/2022;00:16;2089.154869;2089.154869;2088.35722;2089.040919;105
01/06/2022;00:17;2089.154869;2089.154869;2088.35722;2088.69907;108
01/06/2022;00:18;2088.69907;2089.040919;2088.243271;2088.35722;69
01/06/2022;00:19;2088.47117;2088.926969;2088.47117;2088.58512;48
01/06/2022;00:20;2088.69907;2088.69907;2088.47117;2088.58512;22
01/06/2022;00:21;2088.58512;2088.69907;2088.243271;2088.243271;153
01/06/2022;00:22;2088.35722;2088.35722;2088.129321;2088.35722;96
01/06/2022;00:23;2088.129321;2088.243271;2087.901421;2088.015371;123
01/06/2022;00:24;2087.901421;2088.813019;2087.787472;2088.58512;106
01/06/2022;00:25;2088.58512;2089.154869;2088.47117;2089.040919;51
01/06/2022;00:26;2089.154869;2089.610668;2088.813019;2089.496718;208
01/06/2022;00:27;2089.496718;2089.838567;2089.154869;2089.838567;46
01/06/2022;00:28;2089.838567;2089.952517;2089.040919;2089.154869;84
01/06/2022;00:29;2089.268818;2089.610668;2088.813019;2089.382768;119
01/06/2022;00:30;2089.268818;2089.496718;2087.901421;2088.35722;195
01/06/2022;00:31;2088.35722;2088.47117;2088.015371;2088.129321;79
01/06/2022;00:32;2088.243271;2088.243271;2087.787472;2087.901421;78
01/06/2022;00:33;2087.901421;2088.813019;2087.331673;2088.015371;392
01/06/2022;00:34;2088.129321;2089.496718;2087.673522;2088.813019;312
01/06/2022;00:35;2088.813019;2088.813019;2088.69907;2088.69907;14
01/06/2022;00:36;2088.69907;2089.382768;2088.69907;2089.040919;30
01/06/2022;00:37;2089.268818;2089.382768;2088.813019;2088.926969;59
01/06/2022;00:38;2089.040919;2089.610668;2089.040919;2089.610668;28
01/06/2022;00:39;2089.496718;2089.838567;2089.382768;2089.838567;23
01/06/2022;00:40;2089.724617;2090.294366;2089.610668;2090.180417;69
01/06/2022;00:41;2090.180417;2090.408316;2090.180417;2090.408316;14
01/06/2022;00:42;2090.180417;2090.522266;2090.066467;2090.066467;84
01/06/2022;00:43;2089.952517;2090.408316;2089.952517;2090.180417;100
01/06/2022;00:44;2090.294366;2090.294366;2089.952517;2090.066467;48
01/06/2022;00:45;2090.294366;2090.636216;2090.294366;2090.408316;59
01/06/2022;00:46;2090.294366;2090.522266;2090.180417;2090.408316;46
01/06/2022;00:47;2090.294366;2090.294366;2089.268818;2089.268818;79
01/06/2022;00:48;2089.268818;2089.838567;2089.268818;2089.838567;24
01/06/2022;00:49;2089.952517;2089.952517;2089.724617;2089.838567;15
01/06/2022;00:50;2089.952517;2090.408316;2089.838567;2089.838567;88
01/06/2022;00:51;2089.952517;2090.294366;2089.952517;2090.294366;11
01/06/2022;00:52;2090.180417;2090.180417;2089.838567;2090.066467;12
01/06/2022;00:53;2090.180417;2090.294366;2089.610668;2089.838567;54
01/06/2022;00:54;2089.838567;2089.952517;2089.838567;2089.952517;16
01/06/2022;00:55;2090.180417;2090.180417;2090.066467;2090.066467;18
01/06/2022;00:56;2089.952517;2090.294366;2089.952517;2090.294366;12
01/06/2022;00:57;2090.180417;2090.408316;2089.838567;2090.408316;39
01/06/2022;00:58;2090.408316;2090.522266;2090.066467;2090.294366;93
01/06/2022;00:59;2090.294366;2090.408316;2090.294366;2090.408316;22
01/06/2022;01:00;2090.180417;2090.864115;2090.180417;2090.408316;159
01/06/2022;01:01;2090.522266;2090.636216;2090.180417;2090.294366;40
01/06/2022;01:02;2090.066467;2091.433864;2090.066467;2091.092015;222
01/06/2022;01:03;2091.092015;2091.319914;2090.750165;2090.864115;75
01/06/2022;01:04;2090.978065;2091.319914;2090.636216;2091.092015;101
01/06/2022;01:05;2091.205964;2091.205964;2090.864115;2090.864115;48
01/06/2022;01:06;2090.978065;2091.319914;2090.978065;2091.205964;81
01/06/2022;01:07;2091.092015;2091.205964;2090.864115;2090.978065;32
