Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
02/10/2022;17:00;1884.168671;1884.507043;1881.687275;1884.281462;244
02/10/2022;17:01;1884.281462;1884.619834;1882.815182;1884.05588;143
02/10/2022;17:02;1884.05588;1885.296578;1884.05588;1884.958206;94
02/10/2022;17:03;1884.732624;1886.875648;1884.732624;1886.875648;114
02/10/2022;17:04;1886.875648;1886.988438;1885.409369;1885.973322;73
02/10/2022;17:05;1885.973322;1885.973322;1885.296578;1885.522159;43
02/10/2022;17:06;1885.63495;1885.973322;1885.070996;1885.973322;39
02/10/2022;17:07;1886.086113;1886.086113;1885.747741;1886.086113;25
02/10/2022;17:08;1886.198903;1887.101229;1886.198903;1886.762857;59
02/10/2022;17:09;1886.762857;1886.875648;1886.424485;1886.875648;53
02/10/2022;17:10;1886.762857;1886.875648;1886.650066;1886.762857;25
02/10/2022;17:11;1886.875648;1887.21402;1885.973322;1886.988438;146
02/10/2022;17:12;1886.988438;1887.101229;1886.875648;1886.988438;35
02/10/2022;17:13;1887.101229;1887.552392;1887.101229;1887.101229;53
02/10/2022;17:14;1886.988438;1887.21402;1886.537276;1886.537276;50
02/10/2022;17:15;1886.537276;1886.650066;1886.198903;1886.198903;42
02/10/2022;17:16;1886.198903;1886.198903;1885.860531;1886.086113;47
02/10/2022;17:17;1886.086113;1886.086113;1885.860531;1885.860531;26
02/10/2022;17:18;1885.973322;1886.988438;1885.973322;1886.875648;36
02/10/2022;17:19;1886.762857;1886.762857;1886.198903;1886.311694;31
02/10/2022;17:20;1886.086113;1886.424485;1886.086113;1886.424485;15
02/10/2022;17:21;1886.650066;1886.650066;1886.537276;1886.537276;13
02/10/2022;17:22;1886.537276;1886.988438;1886.537276;1886.875648;28
02/10/2022;17:23;1886.988438;1887.21402;1886.537276;1886.650066;30
02/10/2022;17:24;1886.650066;1886.875648;1886.537276;1886.537276;20
02/10/2022;17:25;1886.311694;1886.311694;1886.086113;1886.086113;13
02/10/2022;17:26;1886.198903;1886.311694;1885.860531;1886.311694;38
02/10/2022;17:27;1886.424485;1886.424485;1885.973322;1885.973322;16
02/10/2022;17:28;1885.860531;1885.860531;1885.63495;1885.860531;51
02/10/2022;17:29;1885.747741;1885.747741;1885.409369;1885.409369;86
02/10/2022;17:30;1885.63495;1885.63495;1885.409369;1885.522159;32
02/10/2022;17:31;1885.63495;1885.63495;1885.409369;1885.409369;15
02/10/2022;17:32;1885.522159;1885.860531;1885.522159;1885.860531;28
02/10/2022;17:33;1885.860531;1885.860531;1885.296578;1885.296578;23
02/10/2022;17:34;1885.409369;1885.747741;1885.296578;1885.747741;27
02/10/2022;17:35;1885.747741;1885.860531;1885.63495;1885.860531;16
02/10/2022;17:36;1885.747741;1885.747741;1885.747741;1885.747741;5
02/10/2022;17:37;1885.63495;1885.747741;1885.409369;1885.409369;8
02/10/2022;17:38;1885.409369;1885.522159;1885.409369;1885.522159;8
02/10/2022;17:39;1885.63495;1885.63495;1885.409369;1885.63495;18
02/10/2022;17:40;1885.63495;1885.747741;1885.070996;1885.183787;38
02/10/2022;17:41;1885.070996;1885.409369;1885.070996;1885.296578;13
02/10/2022;17:42;1885.183787;1885.183787;1885.070996;1885.070996;15
02/10/2022;17:43;1885.070996;1885.183787;1885.070996;1885.183787;5
02/10/2022;17:44;1885.070996;1885.409369;1885.070996;1885.409369;22
02/10/2022;17:45;1885.522159;1886.311694;1885.522159;1886.198903;84
02/10/2022;17:46;1886.086113;1886.198903;1885.860531;1885.973322;21
02/10/2022;17:47;1885.973322;1885.973322;1885.973322;1885.973322;2
02/10/2022;17:48;1885.860531;1885.973322;1885.860531;1885.973322;18
02/10/2022;17:49;1885.860531;1886.086113;1885.860531;1886.086113;5
02/10/2022;17:50;1886.086113;1886.424485;1885.973322;1886.086113;26
02/10/2022;17:51;1885.973322;1886.198903;1885.973322;1886.086113;13
02/10/2022;17:52;1886.086113;1886.311694;1885.973322;1886.086113;20
