Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/02/2024;00:00;2224.871139;2224.871139;2224.655321;2224.76323;26
01/02/2024;00:01;2224.76323;2225.086958;2224.76323;2224.871139;68
01/02/2024;00:02;2225.086958;2225.194867;2225.086958;2225.086958;47
01/02/2024;00:03;2225.194867;2225.194867;2224.655321;2224.76323;73
01/02/2024;00:04;2224.76323;2224.76323;2224.655321;2224.655321;48
01/02/2024;00:05;2224.547412;2224.655321;2224.439503;2224.655321;68
01/02/2024;00:06;2224.547412;2224.76323;2224.331593;2224.547412;80
01/02/2024;00:07;2224.439503;2224.871139;2224.331593;2224.871139;59
01/02/2024;00:08;2224.871139;2224.979048;2224.76323;2224.871139;21
01/02/2024;00:09;2224.871139;2224.979048;2224.76323;2224.871139;14
01/02/2024;00:10;2224.871139;2225.194867;2224.655321;2224.655321;66
01/02/2024;00:11;2224.655321;2224.76323;2224.655321;2224.655321;25
01/02/2024;00:12;2224.547412;2224.655321;2224.439503;2224.655321;46
01/02/2024;00:13;2224.655321;2224.655321;2224.223684;2224.331593;23
01/02/2024;00:14;2224.223684;2224.439503;2224.007866;2224.115775;108
01/02/2024;00:15;2224.007866;2224.439503;2224.007866;2224.223684;93
01/02/2024;00:16;2224.223684;2224.223684;2223.252502;2223.360411;245
01/02/2024;00:17;2223.144593;2223.144593;2222.712956;2223.036684;136
01/02/2024;00:18;2223.036684;2223.576229;2222.928774;2223.252502;146
01/02/2024;00:19;2223.144593;2223.144593;2222.605047;2222.712956;53
01/02/2024;00:20;2222.712956;2222.712956;2222.497138;2222.712956;79
01/02/2024;00:21;2222.605047;2223.252502;2222.605047;2223.144593;108
01/02/2024;00:22;2223.036684;2223.252502;2222.928774;2223.036684;45
01/02/2024;00:23;2222.928774;2223.036684;2222.605047;2223.036684;64
01/02/2024;00:24;2223.144593;2223.144593;2222.820865;2223.036684;43
01/02/2024;00:25;2223.036684;2223.576229;2223.036684;2223.576229;87
01/02/2024;00:26;2223.576229;2223.576229;2223.252502;2223.360411;38
01/02/2024;00:27;2223.46832;2223.46832;2223.144593;2223.144593;34
01/02/2024;00:28;2223.144593;2223.252502;2223.036684;2223.252502;19
01/02/2024;00:29;2223.252502;2223.576229;2223.252502;2223.46832;24
01/02/2024;00:30;2223.46832;2223.46832;2223.036684;2223.036684;91
01/02/2024;00:31;2223.036684;2223.252502;2223.036684;2223.252502;27
01/02/2024;00:32;2223.252502;2223.360411;2222.820865;2223.360411;81
01/02/2024;00:33;2223.252502;2223.576229;2223.252502;2223.576229;63
01/02/2024;00:34;2223.576229;2223.899957;2223.576229;2223.792048;72
01/02/2024;00:35;2223.792048;2224.115775;2223.792048;2223.792048;43
01/02/2024;00:36;2223.899957;2224.331593;2223.899957;2224.223684;42
01/02/2024;00:37;2224.115775;2224.115775;2223.684138;2223.792048;64
01/02/2024;00:38;2223.792048;2223.792048;2223.576229;2223.792048;28
01/02/2024;00:39;2223.899957;2223.899957;2223.46832;2223.684138;95
01/02/2024;00:40;2223.684138;2224.007866;2223.684138;2223.792048;34
01/02/2024;00:41;2223.899957;2223.899957;2223.576229;2223.792048;30
01/02/2024;00:42;2223.899957;2224.007866;2223.792048;2223.899957;22
01/02/2024;00:43;2223.792048;2223.792048;2223.684138;2223.684138;12
01/02/2024;00:44;2223.684138;2223.684138;2223.144593;2223.144593;62
01/02/2024;00:45;2223.036684;2223.576229;2223.036684;2223.576229;45
01/02/2024;00:46;2223.684138;2223.684138;2223.576229;2223.684138;20
01/02/2024;00:47;2223.576229;2223.684138;2223.576229;2223.576229;6
01/02/2024;00:48;2223.576229;2223.576229;2223.144593;2223.144593;20
01/02/2024;00:49;2223.144593;2223.684138;2223.144593;2223.684138;23
01/02/2024;00:50;2223.576229;2223.576229;2223.360411;2223.576229;10
01/02/2024;00:51;2223.684138;2223.684138;2223.576229;2223.576229;17
01/02/2024;00:52;2223.576229;2223.899957;2223.576229;2223.792048;28
01/02/2024;00:53;2223.684138;2223.899957;2223.684138;2223.792048;27
01/02/2024;00:54;2223.792048;2223.899957;2223.576229;2223.899957;25
01/02/2024;00:55;2224.007866;2224.007866;2223.792048;2224.007866;22
01/02/2024;00:56;2224.115775;2224.115775;2223.684138;2223.684138;23
01/02/2024;00:57;2223.576229;2223.684138;2223.360411;2223.46832;34
01/02/2024;00:58;2223.46832;2223.576229;2223.252502;2223.360411;74
01/02/2024;00:59;2223.360411;2223.792048;2223.360411;2223.684138;48
01/02/2024;01:00;2223.576229;2223.576229;2222.712956;2222.928774;109
01/02/2024;01:01;2223.036684;2223.252502;2222.928774;2223.144593;76
01/02/2024;01:02;2223.036684;2223.144593;2222.928774;2222.928774;11
01/02/2024;01:03;2222.928774;2223.360411;2222.928774;2223.252502;42
01/02/2024;01:04;2223.360411;2223.792048;2223.360411;2223.576229;54
01/02/2024;01:05;2223.576229;2223.576229;2223.252502;2223.252502;35
01/02/2024;01:06;2223.252502;2223.360411;2222.820865;2222.928774;62
01/02/2024;01:07;2222.928774;2223.036684;2222.497138;2222.605047;49
01/02/2024;01:08;2222.497138;2222.605047;2222.17341;2222.389229;46
01/02/2024;01:09;2222.281319;2222.497138;2221.849683;2222.281319;90
01/02/2024;01:10;2222.281319;2222.928774;2222.065501;2222.497138;97
01/02/2024;01:11;2222.497138;2222.820865;2222.389229;2222.820865;106
01/02/2024;01:12;2222.820865;2222.928774;2222.497138;2222.605047;49
01/02/2024;01:13;2222.605047;2222.820865;2222.497138;2222.712956;45
01/02/2024;01:14;2222.712956;2222.928774;2222.497138;2222.605047;62
01/02/2024;01:15;2222.605047;2222.820865;2222.497138;2222.605047;42
01/02/2024;01:16;2222.605047;2222.820865;2222.497138;2222.712956;70
01/02/2024;01:17;2222.712956;2223.684138;2222.712956;2223.360411;249
01/02/2024;01:18;2223.360411;2224.007866;2223.360411;2224.007866;127
01/02/2024;01:19;2224.007866;2224.223684;2223.684138;2223.792048;111
01/02/2024;01:20;2223.792048;2223.792048;2223.144593;2223.252502;43
01/02/2024;01:21;2223.252502;2223.252502;2222.820865;2222.928774;82
01/02/2024;01:22;2222.820865;2222.820865;2222.389229;2222.389229;105
01/02/2024;01:23;2222.281319;2222.497138;2222.17341;2222.497138;117
01/02/2024;01:24;2222.389229;2222.928774;2222.281319;2222.712956;64
01/02/2024;01:25;2222.712956;2223.252502;2222.712956;2223.252502;57
01/02/2024;01:26;2223.144593;2223.684138;2223.036684;2223.360411;112
01/02/2024;01:27;2223.360411;2223.576229;2223.036684;2223.252502;83
01/02/2024;01:28;2223.036684;2223.252502;2222.497138;2222.497138;111
01/02/2024;01:29;2222.497138;2222.820865;2222.389229;2222.712956;91
01/02/2024;01:30;2222.712956;2223.036684;2222.605047;2222.820865;27
01/02/2024;01:31;2222.820865;2223.792048;2222.820865;2223.792048;93
01/02/2024;01:32;2223.792048;2224.223684;2223.684138;2224.115775;90
01/02/2024;01:33;2224.007866;2224.331593;2223.899957;2224.223684;69
01/02/2024;01:34;2224.115775;2224.115775;2223.684138;2223.792048;66
01/02/2024;01:35;2223.684138;2223.792048;2223.360411;2223.360411;36
01/02/2024;01:36;2223.252502;2223.252502;2222.712956;2222.820865;82
01/02/2024;01:37;2222.820865;2223.144593;2222.712956;2222.712956;39
01/02/2024;01:38;2222.712956;2222.928774;2222.17341;2222.281319;100
01/02/2024;01:39;2222.389229;2222.389229;2222.065501;2222.17341;54
01/02/2024;01:40;2222.17341;2222.281319;2221.741774;2221.957592;90
01/02/2024;01:41;2221.849683;2222.17341;2221.849683;2222.17341;84
01/02/2024;01:42;2222.17341;2222.281319;2221.849683;2221.849683;62
01/02/2024;01:43;2221.741774;2221.957592;2221.525955;2221.741774;146
01/02/2024;01:44;2221.741774;2222.497138;2221.741774;2222.389229;37
01/02/2024;01:45;2222.281319;2222.389229;2221.957592;2221.957592;28
01/02/2024;01:46;2221.849683;2222.065501;2221.741774;2221.957592;64
01/02/2024;01:47;2221.957592;2222.281319;2221.849683;2221.849683;77
01/02/2024;01:48;2221.957592;2221.957592;2220.986409;2221.202228;135
01/02/2024;01:49;2221.310137;2221.849683;2221.310137;2221.849683;91
01/02/2024;01:50;2221.849683;2221.957592;2221.525955;2221.525955;52
01/02/2024;01:51;2221.525955;2221.633864;2221.094319;2221.094319;121
01/02/2024;01:52;2221.202228;2221.525955;2221.202228;2221.525955;133
01/02/2024;01:53;2221.418046;2221.525955;2221.310137;2221.525955;50
01/02/2024;01:54;2221.418046;2221.741774;2221.310137;2221.525955;118
01/02/2024;01:55;2221.525955;2222.281319;2221.525955;2222.281319;97
01/02/2024;01:56;2222.17341;2222.389229;2221.849683;2222.281319;116
01/02/2024;01:57;2222.281319;2223.036684;2222.281319;2222.389229;105
01/02/2024;01:58;2222.389229;2222.497138;2222.281319;2222.497138;38
01/02/2024;01:59;2222.497138;2223.036684;2222.389229;2222.928774;50
01/02/2024;02:00;2222.820865;2222.928774;2221.741774;2222.065501;187
01/02/2024;02:01;2222.17341;2222.281319;2221.633864;2221.633864;130
01/02/2024;02:02;2221.741774;2221.741774;2220.446864;2221.094319;379
01/02/2024;02:03;2221.094319;2221.094319;2220.338954;2220.662682;248
01/02/2024;02:04;2220.662682;2220.770591;2219.907318;2220.123136;164
01/02/2024;02:05;2220.123136;2220.123136;2219.151954;2219.691499;364
01/02/2024;02:06;2219.691499;2220.231045;2219.58359;2220.231045;134
01/02/2024;02:07;2220.231045;2220.8785;2220.123136;2220.8785;214
01/02/2024;02:08;2220.8785;2220.8785;2220.015227;2220.123136;50
01/02/2024;02:09;2220.231045;2220.986409;2220.123136;2220.231045;157
01/02/2024;02:10;2220.338954;2220.338954;2219.475681;2219.691499;166
01/02/2024;02:11;2219.691499;2220.015227;2219.367772;2219.691499;175
01/02/2024;02:12;2219.691499;2220.015227;2219.367772;2219.907318;106
01/02/2024;02:13;2219.907318;2220.554773;2219.907318;2220.338954;176
01/02/2024;02:14;2220.338954;2220.770591;2219.907318;2220.015227;176
01/02/2024;02:15;2219.907318;2220.015227;2218.828226;2219.259863;221
01/02/2024;02:16;2219.151954;2219.475681;2218.828226;2219.151954;141
01/02/2024;02:17;2219.044044;2219.367772;2219.044044;2219.151954;99
01/02/2024;02:18;2219.151954;2219.691499;2218.720317;2219.475681;165
01/02/2024;02:19;2219.475681;2220.015227;2219.367772;2219.907318;59
01/02/2024;02:20;2219.907318;2220.123136;2219.58359;2219.58359;59
01/02/2024;02:21;2219.58359;2220.8785;2219.58359;2220.770591;119
01/02/2024;02:22;2220.770591;2220.986409;2220.123136;2220.446864;125
01/02/2024;02:23;2220.338954;2220.662682;2219.691499;2219.799409;119
01/02/2024;02:24;2219.799409;2220.8785;2219.58359;2220.8785;109
01/02/2024;02:25;2220.8785;2221.633864;2220.662682;2221.202228;221
01/02/2024;02:26;2221.310137;2222.065501;2221.310137;2221.849683;118
01/02/2024;02:27;2221.849683;2221.849683;2220.770591;2220.8785;313
01/02/2024;02:28;2220.770591;2221.202228;2220.554773;2220.770591;92
01/02/2024;02:29;2220.770591;2220.986409;2220.554773;2220.8785;65
01/02/2024;02:30;2220.770591;2221.525955;2220.662682;2221.418046;170
01/02/2024;02:31;2221.418046;2221.525955;2220.986409;2221.418046;100
01/02/2024;02:32;2221.310137;2221.849683;2221.202228;2221.310137;120
01/02/2024;02:33;2221.310137;2221.849683;2221.310137;2221.849683;60
01/02/2024;02:34;2221.849683;2221.849683;2221.525955;2221.849683;75
01/02/2024;02:35;2221.741774;2222.065501;2221.525955;2221.633864;112
01/02/2024;02:36;2221.633864;2221.741774;2221.202228;2221.741774;149
01/02/2024;02:37;2221.633864;2222.281319;2221.525955;2221.741774;314
01/02/2024;02:38;2221.525955;2222.065501;2221.418046;2222.065501;142
01/02/2024;02:39;2222.065501;2222.389229;2221.957592;2222.17341;220
01/02/2024;02:40;2222.281319;2222.281319;2221.849683;2221.957592;84
01/02/2024;02:41;2222.065501;2222.820865;2221.741774;2222.605047;100
01/02/2024;02:42;2222.497138;2222.712956;2222.389229;2222.497138;98
01/02/2024;02:43;2222.497138;2222.712956;2222.17341;2222.17341;65
01/02/2024;02:44;2222.17341;2222.281319;2221.849683;2222.281319;84
01/02/2024;02:45;2222.281319;2222.389229;2221.741774;2222.17341;89
01/02/2024;02:46;2222.065501;2222.17341;2221.633864;2221.633864;61
01/02/2024;02:47;2221.741774;2221.741774;2221.094319;2221.202228;77
01/02/2024;02:48;2221.310137;2221.525955;2221.094319;2221.310137;72
01/02/2024;02:49;2221.310137;2221.310137;2220.770591;2220.770591;57
01/02/2024;02:50;2220.8785;2220.8785;2220.123136;2220.123136;109
01/02/2024;02:51;2220.123136;2220.770591;2220.015227;2220.554773;92
01/02/2024;02:52;2220.662682;2220.662682;2220.446864;2220.554773;45
01/02/2024;02:53;2220.554773;2221.202228;2220.554773;2220.986409;44
01/02/2024;02:54;2220.986409;2221.202228;2220.770591;2220.986409;86
01/02/2024;02:55;2220.986409;2221.310137;2220.8785;2221.310137;68
01/02/2024;02:56;2221.418046;2221.849683;2221.418046;2221.633864;72
01/02/2024;02:57;2221.525955;2221.741774;2221.525955;2221.633864;57
01/02/2024;02:58;2221.633864;2221.849683;2221.633864;2221.741774;34
01/02/2024;02:59;2221.741774;2222.065501;2221.741774;2221.957592;30
01/02/2024;03:00;2221.849683;2222.065501;2221.418046;2221.525955;84
01/02/2024;03:01;2221.525955;2221.849683;2221.310137;2221.741774;50
01/02/2024;03:02;2221.741774;2221.849683;2221.418046;2221.633864;41
01/02/2024;03:03;2221.525955;2221.525955;2221.094319;2221.202228;76
01/02/2024;03:04;2221.094319;2221.202228;2220.554773;2220.554773;100
01/02/2024;03:05;2220.554773;2221.094319;2220.338954;2221.094319;80
01/02/2024;03:06;2220.986409;2221.202228;2220.8785;2221.202228;20
01/02/2024;03:07;2221.418046;2221.633864;2221.202228;2221.525955;81
01/02/2024;03:08;2221.633864;2221.741774;2221.418046;2221.418046;40
01/02/2024;03:09;2221.418046;2221.849683;2221.418046;2221.633864;31
01/02/2024;03:10;2221.741774;2222.065501;2221.741774;2221.957592;50
01/02/2024;03:11;2221.849683;2221.957592;2221.633864;2221.633864;90
