Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/02/2009;17:00;128.100762;128.546071;128.0117;128.0117;83
01/02/2009;17:01;128.0117;128.0117;127.358579;127.507015;27
01/02/2009;17:02;127.536703;127.625765;127.536703;127.625765;13
01/02/2009;17:03;127.744514;127.744514;127.685139;127.685139;2
01/02/2009;17:04;127.685139;127.952325;127.685139;127.952325;21
01/02/2009;17:05;127.982012;127.982012;127.952325;127.982012;6
01/02/2009;17:07;128.130449;128.130449;127.982012;127.982012;5
01/02/2009;17:09;127.803889;128.308573;127.803889;128.308573;2
01/02/2009;17:10;128.397635;128.397635;128.397635;128.397635;1
01/02/2009;17:12;127.982012;127.982012;127.952325;127.952325;5
01/02/2009;17:13;127.952325;127.952325;127.952325;127.952325;3
01/02/2009;17:14;127.952325;127.952325;127.803889;127.803889;2
01/02/2009;17:16;127.952325;127.952325;127.952325;127.952325;2
01/02/2009;17:18;127.952325;127.952325;127.952325;127.952325;1
01/02/2009;17:26;127.952325;127.952325;127.952325;127.952325;1
01/02/2009;17:31;127.952325;127.952325;127.952325;127.952325;1
01/02/2009;17:41;128.189824;128.219511;128.189824;128.219511;4
01/02/2009;17:42;128.249198;128.249198;128.189824;128.189824;5
01/02/2009;17:46;127.952325;127.952325;127.952325;127.952325;4
01/02/2009;17:53;128.0117;128.0117;128.0117;128.0117;1
01/02/2009;18:05;128.071074;128.100762;128.071074;128.100762;8
01/02/2009;18:08;128.100762;128.100762;128.100762;128.100762;3
01/02/2009;18:09;128.249198;128.249198;128.249198;128.249198;1
01/02/2009;18:10;128.249198;128.249198;128.249198;128.249198;1
01/02/2009;18:11;128.278886;128.278886;128.278886;128.278886;1
01/02/2009;18:12;128.278886;128.278886;128.278886;128.278886;1
01/02/2009;18:15;128.100762;128.100762;128.100762;128.100762;2
01/02/2009;18:16;127.833576;127.833576;127.833576;127.833576;1
01/02/2009;18:17;127.744514;127.744514;127.685139;127.685139;5
01/02/2009;18:25;128.100762;128.100762;128.100762;128.100762;1
01/02/2009;18:26;128.130449;128.130449;128.130449;128.130449;1
