Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/12/2009;00:00;118.042128;118.042128;117.992841;117.992841;5
01/12/2009;00:06;117.894267;117.894267;117.894267;117.894267;1
01/12/2009;00:18;118.017484;118.017484;118.017484;118.017484;1
01/12/2009;00:21;117.968197;117.968197;117.968197;117.968197;1
01/12/2009;00:22;118.017484;118.017484;118.017484;118.017484;1
01/12/2009;00:26;118.091415;118.189988;118.091415;118.189988;3
01/12/2009;00:28;118.189988;118.189988;118.189988;118.189988;1
01/12/2009;00:29;118.116058;118.116058;118.116058;118.116058;1
01/12/2009;00:37;118.116058;118.116058;118.116058;118.116058;1
01/12/2009;00:43;118.091415;118.091415;118.091415;118.091415;1
01/12/2009;00:45;118.042128;118.042128;118.042128;118.042128;1
01/12/2009;00:50;117.894267;117.894267;117.894267;117.894267;1
01/12/2009;01:02;118.116058;118.116058;118.116058;118.116058;1
01/12/2009;01:03;118.165345;118.165345;118.165345;118.165345;1
01/12/2009;01:08;118.165345;118.189988;118.165345;118.189988;2
01/12/2009;01:10;118.214632;118.288562;118.214632;118.263919;8
01/12/2009;01:12;118.288562;118.337849;118.288562;118.337849;2
01/12/2009;01:13;118.313206;118.313206;118.313206;118.313206;1
01/12/2009;01:15;118.263919;118.263919;118.263919;118.263919;1
01/12/2009;01:17;118.313206;118.313206;118.313206;118.313206;4
01/12/2009;01:18;118.387136;118.387136;118.387136;118.387136;1
01/12/2009;01:21;118.288562;118.288562;117.302824;117.820337;185
01/12/2009;01:22;117.795693;117.795693;117.721763;117.746406;6
01/12/2009;01:24;117.623189;117.623189;117.623189;117.623189;1
01/12/2009;01:27;117.820337;117.820337;117.820337;117.820337;1
01/12/2009;01:32;117.992841;117.992841;117.992841;117.992841;1
01/12/2009;01:36;117.943554;117.992841;117.943554;117.992841;2
01/12/2009;01:38;117.968197;117.968197;117.968197;117.968197;1
01/12/2009;01:42;117.91891;117.91891;117.91891;117.91891;2
01/12/2009;01:43;117.943554;117.943554;117.943554;117.943554;1
01/12/2009;01:45;117.84498;117.84498;117.721763;117.721763;2
01/12/2009;01:46;117.746406;117.746406;117.721763;117.721763;16
01/12/2009;01:47;117.672476;117.672476;117.672476;117.672476;1
01/12/2009;01:49;117.746406;117.746406;117.746406;117.746406;1
01/12/2009;01:55;117.91891;117.968197;117.91891;117.968197;6
01/12/2009;01:58;117.721763;117.721763;117.672476;117.697119;17
01/12/2009;01:59;117.672476;117.672476;117.672476;117.672476;2
01/12/2009;02:00;117.721763;117.84498;117.721763;117.84498;16
01/12/2009;02:01;117.943554;118.066771;117.943554;118.066771;25
01/12/2009;02:02;117.992841;118.042128;117.992841;118.042128;4
01/12/2009;02:03;118.042128;118.066771;118.017484;118.066771;13
01/12/2009;02:04;118.066771;118.116058;118.066771;118.091415;9
01/12/2009;02:05;118.042128;118.091415;118.042128;118.091415;12
01/12/2009;02:06;118.091415;118.091415;118.091415;118.091415;1
01/12/2009;02:07;118.042128;118.042128;118.042128;118.042128;8
01/12/2009;02:08;118.091415;118.091415;118.042128;118.091415;8
01/12/2009;02:09;118.091415;118.165345;118.091415;118.091415;13
01/12/2009;02:10;118.116058;118.239275;118.116058;118.165345;14
01/12/2009;02:11;118.189988;118.189988;118.189988;118.189988;1
01/12/2009;02:12;118.239275;118.239275;118.189988;118.214632;3
01/12/2009;02:13;118.165345;118.165345;118.165345;118.165345;1
01/12/2009;02:14;118.165345;118.165345;118.165345;118.165345;1
01/12/2009;02:15;118.189988;118.189988;118.165345;118.165345;2
01/12/2009;02:17;118.214632;118.214632;118.214632;118.214632;6
01/12/2009;02:19;118.239275;118.239275;118.214632;118.214632;3
01/12/2009;02:20;118.189988;118.239275;118.165345;118.239275;9
01/12/2009;02:21;118.214632;118.214632;118.214632;118.214632;5
01/12/2009;02:23;118.091415;118.165345;118.091415;118.116058;7
01/12/2009;02:24;118.066771;118.066771;118.066771;118.066771;3
01/12/2009;02:25;118.042128;118.042128;118.042128;118.042128;4
01/12/2009;02:27;118.042128;118.116058;118.042128;118.116058;6
01/12/2009;02:28;118.140701;118.140701;118.042128;118.091415;14
01/12/2009;02:29;118.042128;118.066771;118.042128;118.066771;17
01/12/2009;02:30;118.066771;118.066771;118.017484;118.042128;13
01/12/2009;02:31;118.091415;118.165345;118.066771;118.165345;12
01/12/2009;02:33;118.165345;118.239275;118.165345;118.239275;11
01/12/2009;02:34;118.263919;118.263919;118.263919;118.263919;2
01/12/2009;02:35;118.239275;118.263919;118.239275;118.263919;3
01/12/2009;02:36;118.362493;118.362493;118.263919;118.263919;4
01/12/2009;02:37;118.263919;118.263919;118.189988;118.189988;5
01/12/2009;02:39;118.165345;118.165345;118.165345;118.165345;1
01/12/2009;02:40;118.263919;118.362493;118.263919;118.362493;5
01/12/2009;02:41;118.337849;118.337849;118.337849;118.337849;1
01/12/2009;02:42;118.313206;118.313206;118.288562;118.288562;2
01/12/2009;02:43;118.214632;118.214632;118.214632;118.214632;2
01/12/2009;02:44;118.165345;118.288562;118.165345;118.239275;18
01/12/2009;02:45;118.239275;118.239275;118.239275;118.239275;5
01/12/2009;02:46;118.288562;118.288562;118.214632;118.214632;5
01/12/2009;02:48;118.362493;118.362493;118.214632;118.214632;7
01/12/2009;02:51;118.288562;118.288562;118.288562;118.288562;5
01/12/2009;02:52;118.337849;118.337849;118.337849;118.337849;2
01/12/2009;02:53;118.411779;118.510353;118.411779;118.510353;9
01/12/2009;02:54;118.534997;118.584284;118.534997;118.534997;33
01/12/2009;02:55;118.55964;118.584284;118.510353;118.534997;7
01/12/2009;02:56;118.608927;118.608927;118.48571;118.48571;7
01/12/2009;02:59;118.682857;118.756788;118.658214;118.707501;19
01/12/2009;03:00;118.707501;118.929292;118.707501;118.929292;27
01/12/2009;03:01;118.904648;118.904648;118.904648;118.904648;4
01/12/2009;03:04;118.855362;118.880005;118.781431;118.781431;8
01/12/2009;03:05;118.781431;118.830718;118.781431;118.806075;4
01/12/2009;03:06;118.929292;118.929292;118.929292;118.929292;21
01/12/2009;03:07;118.904648;118.904648;118.904648;118.904648;1
01/12/2009;03:08;118.929292;118.929292;118.929292;118.929292;5
01/12/2009;03:09;118.953935;119.027866;118.929292;119.027866;19
01/12/2009;03:11;119.003222;119.052509;118.978579;119.052509;4
01/12/2009;03:13;118.978579;118.978579;118.978579;118.978579;5
01/12/2009;03:14;118.978579;119.077153;118.953935;119.077153;6
01/12/2009;03:15;119.077153;119.077153;119.077153;119.077153;2
01/12/2009;03:16;119.077153;119.077153;119.077153;119.077153;1
01/12/2009;03:17;119.027866;119.027866;118.953935;118.953935;6
01/12/2009;03:18;118.978579;119.027866;118.978579;119.027866;6
01/12/2009;03:19;119.077153;119.077153;119.077153;119.077153;1
01/12/2009;03:21;119.101796;119.101796;119.101796;119.101796;3
01/12/2009;03:22;119.175726;119.20037;119.175726;119.175726;23
01/12/2009;03:24;119.12644;119.12644;119.12644;119.12644;4
01/12/2009;03:25;119.175726;119.175726;119.003222;119.003222;16
01/12/2009;03:27;119.101796;119.101796;119.101796;119.101796;5
01/12/2009;03:28;119.027866;119.101796;118.707501;118.756788;49
01/12/2009;03:29;118.756788;118.756788;118.756788;118.756788;1
01/12/2009;03:34;118.904648;119.027866;118.904648;119.003222;7
01/12/2009;03:35;119.052509;119.052509;118.978579;119.052509;32
01/12/2009;03:36;119.052509;119.151083;118.929292;119.077153;19
01/12/2009;03:37;119.077153;119.151083;119.077153;119.151083;4
01/12/2009;03:38;119.151083;119.225013;119.151083;119.225013;11
01/12/2009;03:39;119.225013;119.2743;119.225013;119.2743;28
01/12/2009;03:40;119.249657;119.2743;119.249657;119.249657;20
01/12/2009;03:41;119.20037;119.20037;119.151083;119.20037;24
01/12/2009;03:42;119.20037;119.225013;119.20037;119.225013;16
01/12/2009;03:43;119.20037;119.225013;119.20037;119.225013;2
01/12/2009;03:45;119.20037;119.225013;119.20037;119.20037;5
01/12/2009;03:46;119.225013;119.2743;119.20037;119.2743;7
01/12/2009;03:47;119.2743;119.2743;119.249657;119.2743;87
01/12/2009;03:48;119.323587;119.372874;119.323587;119.323587;7
01/12/2009;03:49;119.323587;119.372874;119.323587;119.372874;3
01/12/2009;03:50;119.348231;119.422161;119.348231;119.422161;21
01/12/2009;03:51;119.397517;119.397517;119.323587;119.323587;5
01/12/2009;03:52;119.323587;119.323587;119.298944;119.323587;5
01/12/2009;03:53;119.298944;119.298944;119.298944;119.298944;1
01/12/2009;03:54;119.298944;119.298944;119.298944;119.298944;1
01/12/2009;03:55;119.323587;119.323587;119.298944;119.298944;3
