Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
31/05/2015;23:54;33.607087;33.607087;33.607087;33.607087;1
01/06/2015;00:00;33.594255;33.594255;33.594255;33.594255;2
01/06/2015;00:01;33.607087;33.607087;33.607087;33.607087;1
01/06/2015;00:02;33.607087;33.607087;33.607087;33.607087;30
01/06/2015;00:03;33.619919;33.619919;33.619919;33.619919;4
01/06/2015;00:06;33.619919;33.619919;33.619919;33.619919;2
01/06/2015;00:08;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;00:10;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;00:11;33.619919;33.619919;33.619919;33.619919;7
01/06/2015;00:12;33.619919;33.619919;33.619919;33.619919;15
01/06/2015;00:13;33.619919;33.619919;33.607087;33.619919;3
01/06/2015;00:14;33.619919;33.619919;33.619919;33.619919;4
01/06/2015;00:15;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;00:16;33.619919;33.619919;33.619919;33.619919;18
01/06/2015;00:18;33.619919;33.619919;33.619919;33.619919;4
01/06/2015;00:23;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;00:24;33.619919;33.619919;33.619919;33.619919;3
01/06/2015;00:25;33.607087;33.607087;33.607087;33.607087;2
01/06/2015;00:27;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;00:28;33.619919;33.619919;33.619919;33.619919;2
01/06/2015;00:32;33.619919;33.619919;33.619919;33.619919;2
01/06/2015;00:39;33.619919;33.619919;33.619919;33.619919;8
01/06/2015;00:40;33.619919;33.619919;33.619919;33.619919;3
01/06/2015;00:41;33.619919;33.619919;33.619919;33.619919;2
01/06/2015;00:52;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;00:53;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;00:54;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;00:57;33.607087;33.607087;33.607087;33.607087;1
01/06/2015;01:00;33.619919;33.619919;33.619919;33.619919;3
01/06/2015;01:01;33.619919;33.619919;33.619919;33.619919;5
01/06/2015;01:02;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;01:03;33.619919;33.619919;33.607087;33.607087;6
01/06/2015;01:04;33.619919;33.619919;33.607087;33.607087;6
01/06/2015;01:05;33.607087;33.607087;33.607087;33.607087;1
01/06/2015;01:07;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;01:08;33.619919;33.619919;33.619919;33.619919;2
01/06/2015;01:09;33.619919;33.619919;33.619919;33.619919;1
01/06/2015;01:10;33.619919;33.619919;33.607087;33.607087;2
01/06/2015;01:11;33.619919;33.696911;33.619919;33.671247;85
01/06/2015;01:12;33.671247;33.671247;33.658415;33.658415;9
01/06/2015;01:13;33.658415;33.658415;33.645583;33.645583;17
01/06/2015;01:14;33.658415;33.658415;33.632751;33.632751;19
01/06/2015;01:15;33.645583;33.645583;33.632751;33.645583;6
01/06/2015;01:16;33.658415;33.671247;33.658415;33.671247;3
01/06/2015;01:17;33.671247;33.684079;33.671247;33.671247;8
01/06/2015;01:18;33.684079;33.696911;33.684079;33.684079;4
01/06/2015;01:19;33.696911;33.696911;33.696911;33.696911;2
01/06/2015;01:20;33.696911;33.696911;33.696911;33.696911;7
01/06/2015;01:21;33.696911;33.696911;33.684079;33.684079;6
01/06/2015;01:25;33.684079;33.722575;33.684079;33.722575;30
01/06/2015;01:26;33.735407;33.735407;33.722575;33.735407;84
01/06/2015;01:27;33.722575;33.722575;33.709743;33.722575;24
01/06/2015;01:30;33.722575;33.722575;33.709743;33.709743;7
01/06/2015;01:31;33.722575;33.722575;33.722575;33.722575;4
01/06/2015;01:32;33.735407;33.735407;33.735407;33.735407;2
01/06/2015;01:33;33.748239;33.748239;33.735407;33.735407;4
01/06/2015;01:34;33.735407;33.735407;33.735407;33.735407;2
01/06/2015;01:35;33.748239;33.761071;33.748239;33.748239;12
01/06/2015;01:36;33.761071;33.761071;33.761071;33.761071;1
01/06/2015;01:37;33.748239;33.748239;33.748239;33.748239;11
01/06/2015;01:38;33.748239;33.761071;33.735407;33.761071;15
01/06/2015;01:39;33.761071;33.786735;33.748239;33.773903;38
01/06/2015;01:40;33.786735;33.786735;33.786735;33.786735;1
01/06/2015;01:41;33.786735;33.786735;33.773903;33.773903;19
01/06/2015;01:42;33.773903;33.773903;33.773903;33.773903;3
01/06/2015;01:43;33.773903;33.773903;33.773903;33.773903;1
01/06/2015;01:44;33.786735;33.786735;33.786735;33.786735;1
01/06/2015;01:45;33.786735;33.786735;33.773903;33.773903;2
01/06/2015;01:46;33.773903;33.773903;33.773903;33.773903;7
