Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
30/04/2017;23:59;21.111499;21.111499;21.111499;21.111499;1
01/05/2017;00:03;21.117942;21.117942;21.111499;21.111499;4
01/05/2017;00:05;21.117942;21.117942;21.117942;21.117942;3
01/05/2017;00:06;21.117942;21.117942;21.117942;21.117942;4
01/05/2017;00:07;21.124384;21.124384;21.111499;21.111499;5
01/05/2017;00:08;21.124384;21.124384;21.098615;21.098615;11
01/05/2017;00:10;21.105057;21.105057;21.105057;21.105057;4
01/05/2017;00:11;21.098615;21.098615;21.08573;21.098615;8
01/05/2017;00:12;21.111499;21.111499;21.111499;21.111499;2
01/05/2017;00:13;21.117942;21.117942;21.111499;21.111499;5
01/05/2017;00:14;21.105057;21.105057;21.105057;21.105057;2
01/05/2017;00:15;21.105057;21.105057;21.105057;21.105057;1
01/05/2017;00:18;21.105057;21.105057;21.105057;21.105057;2
01/05/2017;00:23;21.111499;21.111499;21.111499;21.111499;1
01/05/2017;00:27;21.105057;21.105057;21.098615;21.098615;5
01/05/2017;00:28;21.105057;21.150153;21.105057;21.130826;177
01/05/2017;00:29;21.137269;21.137269;21.130826;21.130826;38
01/05/2017;00:30;21.130826;21.137269;21.130826;21.137269;6
01/05/2017;00:31;21.137269;21.137269;21.137269;21.137269;2
01/05/2017;00:32;21.143711;21.143711;21.143711;21.143711;19
01/05/2017;00:33;21.143711;21.150153;21.143711;21.150153;20
01/05/2017;00:34;21.150153;21.156596;21.150153;21.156596;10
01/05/2017;00:37;21.150153;21.150153;21.143711;21.150153;15
01/05/2017;00:38;21.137269;21.143711;21.137269;21.143711;5
01/05/2017;00:39;21.143711;21.143711;21.143711;21.143711;6
01/05/2017;00:41;21.156596;21.156596;21.143711;21.143711;10
01/05/2017;00:42;21.143711;21.143711;21.143711;21.143711;1
01/05/2017;00:43;21.137269;21.137269;21.137269;21.137269;1
01/05/2017;00:44;21.137269;21.143711;21.137269;21.143711;3
01/05/2017;00:45;21.130826;21.130826;21.130826;21.130826;1
01/05/2017;00:46;21.137269;21.137269;21.137269;21.137269;1
01/05/2017;00:48;21.137269;21.137269;21.137269;21.137269;1
01/05/2017;00:49;21.130826;21.130826;21.130826;21.130826;2
01/05/2017;00:50;21.137269;21.137269;21.137269;21.137269;1
01/05/2017;00:51;21.137269;21.143711;21.137269;21.143711;5
01/05/2017;00:55;21.143711;21.143711;21.143711;21.143711;4
