Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/09/2017;00:00;18.833026;18.833026;18.833026;18.833026;2
01/09/2017;00:01;18.826841;18.826841;18.826841;18.826841;3
01/09/2017;00:02;18.833026;18.833026;18.833026;18.833026;22
01/09/2017;00:03;18.833026;18.833026;18.833026;18.833026;7
01/09/2017;00:04;18.826841;18.826841;18.826841;18.826841;4
01/09/2017;00:05;18.833026;18.833026;18.826841;18.826841;3
01/09/2017;00:06;18.826841;18.833026;18.826841;18.826841;4
01/09/2017;00:07;18.820656;18.826841;18.814471;18.826841;14
01/09/2017;00:08;18.833026;18.833026;18.833026;18.833026;1
01/09/2017;00:09;18.826841;18.833026;18.826841;18.833026;3
01/09/2017;00:10;18.826841;18.826841;18.826841;18.826841;1
01/09/2017;00:11;18.826841;18.826841;18.826841;18.826841;2
01/09/2017;00:12;18.833026;18.833026;18.833026;18.833026;5
01/09/2017;00:13;18.833026;18.839211;18.833026;18.839211;19
01/09/2017;00:14;18.839211;18.839211;18.839211;18.839211;2
01/09/2017;00:15;18.839211;18.839211;18.839211;18.839211;7
01/09/2017;00:18;18.833026;18.833026;18.833026;18.833026;2
01/09/2017;00:19;18.833026;18.833026;18.833026;18.833026;1
01/09/2017;00:20;18.839211;18.839211;18.839211;18.839211;7
01/09/2017;00:21;18.839211;18.839211;18.839211;18.839211;1
01/09/2017;00:22;18.839211;18.845395;18.839211;18.845395;6
01/09/2017;00:23;18.845395;18.845395;18.845395;18.845395;2
01/09/2017;00:24;18.839211;18.839211;18.839211;18.839211;2
01/09/2017;00:26;18.845395;18.845395;18.845395;18.845395;1
01/09/2017;00:27;18.839211;18.839211;18.839211;18.839211;2
01/09/2017;00:28;18.839211;18.839211;18.839211;18.839211;3
01/09/2017;00:29;18.845395;18.845395;18.833026;18.833026;14
01/09/2017;00:30;18.839211;18.839211;18.820656;18.820656;32
01/09/2017;00:31;18.826841;18.826841;18.826841;18.826841;3
01/09/2017;00:33;18.833026;18.833026;18.826841;18.826841;18
01/09/2017;00:34;18.826841;18.833026;18.826841;18.833026;14
01/09/2017;00:35;18.833026;18.833026;18.833026;18.833026;8
01/09/2017;00:37;18.833026;18.833026;18.833026;18.833026;1
01/09/2017;00:38;18.833026;18.833026;18.833026;18.833026;7
01/09/2017;00:39;18.839211;18.839211;18.839211;18.839211;2
01/09/2017;00:41;18.839211;18.845395;18.839211;18.845395;8
