Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
31/03/2019;23:59;16.848752;16.848752;16.848752;16.848752;1
01/04/2019;00:01;16.855038;16.855038;16.848752;16.848752;2
01/04/2019;00:03;16.842465;16.848752;16.842465;16.848752;4
01/04/2019;00:04;16.855038;16.855038;16.848752;16.848752;6
01/04/2019;00:06;16.848752;16.848752;16.848752;16.848752;2
01/04/2019;00:07;16.848752;16.848752;16.848752;16.848752;1
01/04/2019;00:08;16.848752;16.848752;16.842465;16.842465;3
01/04/2019;00:09;16.848752;16.848752;16.848752;16.848752;2
01/04/2019;00:10;16.848752;16.848752;16.848752;16.848752;1
01/04/2019;00:12;16.842465;16.842465;16.823604;16.836178;64
01/04/2019;00:13;16.836178;16.836178;16.836178;16.836178;6
01/04/2019;00:14;16.836178;16.836178;16.836178;16.836178;5
01/04/2019;00:18;16.836178;16.836178;16.829891;16.829891;5
01/04/2019;00:19;16.829891;16.829891;16.829891;16.829891;3
01/04/2019;00:20;16.829891;16.829891;16.829891;16.829891;1
01/04/2019;00:23;16.829891;16.829891;16.829891;16.829891;7
01/04/2019;00:24;16.836178;16.836178;16.836178;16.836178;7
01/04/2019;00:25;16.829891;16.829891;16.829891;16.829891;3
01/04/2019;00:26;16.829891;16.829891;16.829891;16.829891;1
01/04/2019;00:28;16.829891;16.829891;16.823604;16.829891;13
01/04/2019;00:29;16.829891;16.836178;16.817317;16.823604;27
01/04/2019;00:31;16.829891;16.829891;16.829891;16.829891;2
01/04/2019;00:32;16.829891;16.836178;16.829891;16.836178;6
01/04/2019;00:33;16.836178;16.836178;16.829891;16.829891;2
01/04/2019;00:34;16.836178;16.836178;16.829891;16.836178;6
01/04/2019;00:35;16.829891;16.829891;16.829891;16.829891;2
01/04/2019;00:36;16.829891;16.829891;16.829891;16.829891;2
01/04/2019;00:37;16.829891;16.829891;16.829891;16.829891;1
01/04/2019;00:38;16.836178;16.842465;16.829891;16.836178;11
01/04/2019;00:39;16.829891;16.829891;16.829891;16.829891;2
01/04/2019;00:43;16.829891;16.836178;16.829891;16.836178;4
01/04/2019;00:44;16.829891;16.829891;16.823604;16.829891;9
01/04/2019;00:46;16.829891;16.829891;16.829891;16.829891;1
01/04/2019;00:48;16.829891;16.836178;16.829891;16.829891;3
01/04/2019;00:49;16.829891;16.829891;16.829891;16.829891;1
01/04/2019;00:51;16.829891;16.829891;16.829891;16.829891;1
01/04/2019;00:52;16.829891;16.829891;16.829891;16.829891;1
01/04/2019;00:53;16.823604;16.836178;16.823604;16.829891;9
01/04/2019;00:54;16.836178;16.836178;16.829891;16.829891;4
01/04/2019;00:56;16.823604;16.823604;16.823604;16.823604;1
01/04/2019;00:57;16.823604;16.823604;16.817317;16.817317;16
01/04/2019;00:58;16.817317;16.823604;16.817317;16.817317;7
01/04/2019;00:59;16.823604;16.823604;16.817317;16.817317;11
01/04/2019;01:00;16.823604;16.823604;16.817317;16.823604;12
01/04/2019;01:01;16.823604;16.829891;16.823604;16.829891;4
01/04/2019;01:02;16.829891;16.829891;16.823604;16.823604;2
01/04/2019;01:03;16.823604;16.823604;16.817317;16.817317;13
01/04/2019;01:04;16.817317;16.823604;16.811031;16.817317;18
01/04/2019;01:05;16.817317;16.836178;16.817317;16.829891;20
01/04/2019;01:06;16.829891;16.829891;16.829891;16.829891;1
01/04/2019;01:07;16.836178;16.836178;16.836178;16.836178;1
01/04/2019;01:08;16.836178;16.842465;16.836178;16.842465;4
01/04/2019;01:09;16.836178;16.836178;16.836178;16.836178;1
01/04/2019;01:10;16.836178;16.842465;16.836178;16.842465;2
01/04/2019;01:11;16.842465;16.842465;16.836178;16.836178;2
01/04/2019;01:13;16.836178;16.842465;16.836178;16.842465;8
01/04/2019;01:14;16.836178;16.836178;16.829891;16.836178;12
01/04/2019;01:15;16.836178;16.836178;16.836178;16.836178;2
01/04/2019;01:16;16.842465;16.842465;16.836178;16.836178;2
01/04/2019;01:17;16.836178;16.842465;16.836178;16.842465;13
01/04/2019;01:18;16.842465;16.842465;16.842465;16.842465;8
01/04/2019;01:19;16.842465;16.848752;16.842465;16.842465;4
01/04/2019;01:20;16.842465;16.842465;16.842465;16.842465;3
01/04/2019;01:21;16.842465;16.848752;16.842465;16.848752;3
01/04/2019;01:22;16.848752;16.855038;16.848752;16.855038;12
01/04/2019;01:23;16.855038;16.855038;16.848752;16.855038;12
01/04/2019;01:24;16.848752;16.855038;16.848752;16.855038;2
01/04/2019;01:25;16.855038;16.855038;16.848752;16.848752;4
01/04/2019;01:26;16.855038;16.855038;16.855038;16.855038;13
01/04/2019;01:27;16.855038;16.855038;16.855038;16.855038;1
01/04/2019;01:28;16.848752;16.848752;16.848752;16.848752;2
01/04/2019;01:29;16.848752;16.848752;16.848752;16.848752;2
01/04/2019;01:30;16.855038;16.855038;16.855038;16.855038;12
01/04/2019;01:31;16.855038;16.855038;16.848752;16.848752;2
01/04/2019;01:32;16.848752;16.848752;16.848752;16.848752;1
01/04/2019;01:33;16.848752;16.855038;16.848752;16.855038;3
01/04/2019;01:34;16.848752;16.848752;16.848752;16.848752;1
01/04/2019;01:35;16.855038;16.855038;16.848752;16.848752;3
01/04/2019;01:38;16.848752;16.855038;16.848752;16.855038;2
01/04/2019;01:39;16.848752;16.848752;16.848752;16.848752;1
01/04/2019;01:40;16.855038;16.855038;16.855038;16.855038;1
01/04/2019;01:41;16.855038;16.855038;16.855038;16.855038;5
01/04/2019;01:42;16.848752;16.848752;16.848752;16.848752;1
01/04/2019;01:43;16.848752;16.848752;16.848752;16.848752;2
