Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/11/2019;00:02;15.318029;15.318029;15.318029;15.318029;12
01/11/2019;00:03;15.312211;15.312211;15.312211;15.312211;3
01/11/2019;00:04;15.312211;15.312211;15.306393;15.306393;13
01/11/2019;00:05;15.312211;15.312211;15.306393;15.306393;6
01/11/2019;00:06;15.312211;15.312211;15.306393;15.312211;5
01/11/2019;00:07;15.312211;15.318029;15.312211;15.318029;15
01/11/2019;00:08;15.318029;15.323846;15.318029;15.318029;8
01/11/2019;00:09;15.318029;15.318029;15.300576;15.300576;50
01/11/2019;00:10;15.312211;15.312211;15.312211;15.312211;1
01/11/2019;00:11;15.312211;15.312211;15.306393;15.306393;5
01/11/2019;00:12;15.312211;15.312211;15.312211;15.312211;10
01/11/2019;00:13;15.318029;15.318029;15.312211;15.318029;9
01/11/2019;00:14;15.318029;15.318029;15.312211;15.312211;10
01/11/2019;00:15;15.318029;15.318029;15.318029;15.318029;2
01/11/2019;00:16;15.323846;15.323846;15.323846;15.323846;1
01/11/2019;00:17;15.323846;15.323846;15.323846;15.323846;1
01/11/2019;00:18;15.318029;15.318029;15.312211;15.312211;14
01/11/2019;00:19;15.306393;15.312211;15.306393;15.312211;7
01/11/2019;00:20;15.306393;15.306393;15.306393;15.306393;14
01/11/2019;00:21;15.306393;15.306393;15.300576;15.300576;9
01/11/2019;00:22;15.300576;15.306393;15.300576;15.300576;5
01/11/2019;00:23;15.300576;15.300576;15.294758;15.300576;23
01/11/2019;00:24;15.300576;15.300576;15.300576;15.300576;7
01/11/2019;00:25;15.306393;15.306393;15.306393;15.306393;1
01/11/2019;00:26;15.300576;15.306393;15.300576;15.306393;5
01/11/2019;00:27;15.312211;15.312211;15.312211;15.312211;2
01/11/2019;00:28;15.312211;15.312211;15.312211;15.312211;1
01/11/2019;00:29;15.306393;15.306393;15.306393;15.306393;8
01/11/2019;00:30;15.306393;15.306393;15.300576;15.300576;26
