Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/07/2021;00:00;10.579864;10.579864;10.577011;10.577011;4
01/07/2021;00:02;10.577011;10.577011;10.577011;10.577011;1
01/07/2021;00:03;10.582716;10.582716;10.582716;10.582716;5
01/07/2021;00:05;10.585569;10.588421;10.585569;10.588421;4
01/07/2021;00:06;10.588421;10.588421;10.582716;10.582716;8
01/07/2021;00:07;10.582716;10.582716;10.571306;10.571306;15
01/07/2021;00:08;10.571306;10.574159;10.568454;10.568454;10
01/07/2021;00:09;10.571306;10.571306;10.559896;10.559896;24
01/07/2021;00:10;10.557044;10.557044;10.554192;10.554192;14
01/07/2021;00:11;10.554192;10.554192;10.554192;10.554192;1
01/07/2021;00:12;10.557044;10.559896;10.557044;10.559896;5
01/07/2021;00:13;10.559896;10.568454;10.559896;10.562749;18
01/07/2021;00:14;10.568454;10.568454;10.568454;10.568454;1
01/07/2021;00:15;10.562749;10.562749;10.562749;10.562749;4
01/07/2021;00:16;10.562749;10.562749;10.559896;10.559896;8
01/07/2021;00:17;10.557044;10.557044;10.548487;10.557044;44
01/07/2021;00:18;10.554192;10.554192;10.551339;10.554192;4
01/07/2021;00:19;10.551339;10.557044;10.548487;10.548487;10
01/07/2021;00:20;10.548487;10.554192;10.548487;10.554192;8
01/07/2021;00:21;10.557044;10.557044;10.554192;10.554192;6
01/07/2021;00:22;10.554192;10.557044;10.542782;10.548487;34
01/07/2021;00:23;10.545634;10.548487;10.545634;10.548487;14
01/07/2021;00:24;10.551339;10.551339;10.537077;10.539929;33
01/07/2021;00:25;10.539929;10.545634;10.539929;10.545634;7
01/07/2021;00:26;10.542782;10.542782;10.537077;10.542782;14
01/07/2021;00:27;10.537077;10.537077;10.534224;10.537077;21
01/07/2021;00:28;10.534224;10.542782;10.534224;10.542782;16
01/07/2021;00:29;10.542782;10.548487;10.542782;10.548487;11
01/07/2021;00:30;10.548487;10.548487;10.545634;10.545634;4
01/07/2021;00:31;10.542782;10.542782;10.539929;10.539929;4
01/07/2021;00:32;10.539929;10.539929;10.534224;10.534224;7
01/07/2021;00:33;10.534224;10.534224;10.522814;10.528519;53
01/07/2021;00:34;10.534224;10.539929;10.531372;10.539929;10
01/07/2021;00:35;10.542782;10.542782;10.531372;10.531372;6
01/07/2021;00:36;10.539929;10.542782;10.531372;10.539929;13
01/07/2021;00:37;10.542782;10.548487;10.539929;10.539929;26
01/07/2021;00:38;10.542782;10.542782;10.539929;10.542782;4
01/07/2021;00:39;10.545634;10.545634;10.542782;10.545634;9
01/07/2021;00:40;10.542782;10.548487;10.542782;10.542782;3
01/07/2021;00:41;10.542782;10.542782;10.542782;10.542782;1
01/07/2021;00:42;10.542782;10.545634;10.539929;10.539929;11
01/07/2021;00:43;10.545634;10.545634;10.539929;10.539929;7
01/07/2021;00:44;10.537077;10.542782;10.537077;10.537077;5
01/07/2021;00:45;10.537077;10.537077;10.537077;10.537077;1
01/07/2021;00:46;10.537077;10.542782;10.531372;10.542782;19
01/07/2021;00:47;10.542782;10.551339;10.542782;10.551339;8
01/07/2021;00:48;10.545634;10.545634;10.545634;10.545634;4
01/07/2021;00:49;10.551339;10.551339;10.542782;10.542782;6
01/07/2021;00:50;10.548487;10.548487;10.548487;10.548487;3
01/07/2021;00:51;10.551339;10.554192;10.548487;10.554192;15
01/07/2021;00:52;10.557044;10.557044;10.551339;10.551339;6
01/07/2021;00:53;10.551339;10.551339;10.548487;10.548487;3
01/07/2021;00:54;10.554192;10.554192;10.548487;10.548487;2
01/07/2021;00:55;10.548487;10.554192;10.548487;10.548487;6
01/07/2021;00:56;10.545634;10.545634;10.542782;10.542782;9
01/07/2021;00:57;10.542782;10.548487;10.539929;10.548487;21
01/07/2021;00:58;10.554192;10.557044;10.554192;10.557044;11
01/07/2021;00:59;10.557044;10.557044;10.554192;10.554192;14
01/07/2021;01:00;10.554192;10.562749;10.554192;10.559896;12
01/07/2021;01:01;10.557044;10.557044;10.551339;10.551339;7
01/07/2021;01:02;10.551339;10.554192;10.548487;10.554192;16
01/07/2021;01:03;10.548487;10.551339;10.548487;10.551339;9
01/07/2021;01:04;10.554192;10.554192;10.551339;10.551339;3
01/07/2021;01:05;10.548487;10.554192;10.545634;10.548487;26
01/07/2021;01:06;10.551339;10.557044;10.551339;10.557044;16
01/07/2021;01:07;10.557044;10.559896;10.554192;10.554192;8
01/07/2021;01:08;10.557044;10.557044;10.554192;10.554192;6
01/07/2021;01:09;10.559896;10.594126;10.559896;10.582716;108
01/07/2021;01:10;10.585569;10.614094;10.579864;10.605536;139
01/07/2021;01:11;10.605536;10.605536;10.596979;10.602684;31
01/07/2021;01:12;10.599831;10.605536;10.599831;10.605536;22
01/07/2021;01:13;10.602684;10.605536;10.602684;10.605536;15
01/07/2021;01:14;10.608389;10.608389;10.602684;10.605536;9
01/07/2021;01:15;10.602684;10.614094;10.602684;10.608389;37
01/07/2021;01:16;10.611241;10.611241;10.602684;10.602684;19
01/07/2021;01:17;10.599831;10.599831;10.596979;10.599831;19
01/07/2021;01:18;10.599831;10.599831;10.588421;10.596979;25
01/07/2021;01:19;10.599831;10.599831;10.596979;10.596979;5
01/07/2021;01:20;10.594126;10.594126;10.588421;10.588421;7
01/07/2021;01:21;10.591274;10.596979;10.591274;10.596979;10
01/07/2021;01:22;10.596979;10.596979;10.594126;10.594126;6
01/07/2021;01:23;10.591274;10.591274;10.585569;10.585569;12
01/07/2021;01:24;10.588421;10.588421;10.579864;10.588421;25
01/07/2021;01:25;10.582716;10.585569;10.582716;10.582716;4
01/07/2021;01:26;10.582716;10.588421;10.579864;10.588421;14
01/07/2021;01:27;10.591274;10.591274;10.591274;10.591274;4
01/07/2021;01:28;10.594126;10.594126;10.585569;10.585569;6
01/07/2021;01:29;10.585569;10.591274;10.585569;10.588421;8
01/07/2021;01:30;10.591274;10.594126;10.585569;10.594126;9
01/07/2021;01:31;10.594126;10.602684;10.591274;10.599831;33
01/07/2021;01:32;10.602684;10.602684;10.594126;10.594126;11
01/07/2021;01:33;10.591274;10.594126;10.585569;10.594126;18
01/07/2021;01:34;10.594126;10.594126;10.591274;10.591274;27
01/07/2021;01:35;10.591274;10.594126;10.591274;10.591274;17
01/07/2021;01:36;10.591274;10.594126;10.585569;10.585569;14
01/07/2021;01:37;10.585569;10.585569;10.574159;10.585569;38
01/07/2021;01:38;10.582716;10.582716;10.579864;10.579864;6
01/07/2021;01:39;10.579864;10.582716;10.579864;10.582716;6
01/07/2021;01:40;10.582716;10.582716;10.574159;10.579864;17
01/07/2021;01:41;10.579864;10.579864;10.579864;10.579864;7
01/07/2021;01:42;10.577011;10.588421;10.568454;10.585569;41
01/07/2021;01:43;10.585569;10.588421;10.582716;10.588421;22
01/07/2021;01:44;10.585569;10.602684;10.585569;10.602684;21
01/07/2021;01:45;10.599831;10.599831;10.588421;10.591274;19
01/07/2021;01:46;10.591274;10.591274;10.591274;10.591274;1
01/07/2021;01:47;10.585569;10.585569;10.577011;10.579864;20
01/07/2021;01:48;10.582716;10.585569;10.582716;10.585569;4
01/07/2021;01:49;10.585569;10.588421;10.585569;10.588421;5
01/07/2021;01:50;10.582716;10.588421;10.582716;10.585569;8
01/07/2021;01:51;10.579864;10.585569;10.579864;10.582716;8
01/07/2021;01:52;10.582716;10.588421;10.579864;10.588421;17
01/07/2021;01:53;10.591274;10.596979;10.591274;10.596979;17
01/07/2021;01:54;10.596979;10.596979;10.591274;10.591274;19
01/07/2021;01:55;10.588421;10.588421;10.577011;10.577011;12
01/07/2021;01:56;10.577011;10.588421;10.577011;10.582716;15
01/07/2021;01:57;10.579864;10.585569;10.571306;10.571306;20
01/07/2021;01:58;10.571306;10.582716;10.571306;10.582716;11
01/07/2021;01:59;10.585569;10.585569;10.577011;10.577011;7
01/07/2021;02:00;10.577011;10.585569;10.577011;10.585569;16
01/07/2021;02:01;10.585569;10.596979;10.585569;10.596979;25
01/07/2021;02:02;10.591274;10.596979;10.591274;10.591274;19
01/07/2021;02:03;10.591274;10.594126;10.588421;10.594126;14
