Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/08/2024;00:00;2.918543;2.922806;2.918543;2.921385;26
01/08/2024;00:01;2.921385;2.922806;2.921385;2.922806;5
01/08/2024;00:02;2.922806;2.922806;2.922806;2.922806;2
01/08/2024;00:03;2.922806;2.922806;2.922806;2.922806;1
01/08/2024;00:07;2.921385;2.921385;2.921385;2.921385;2
01/08/2024;00:08;2.922806;2.922806;2.922806;2.922806;1
01/08/2024;00:09;2.922806;2.922806;2.922806;2.922806;9
01/08/2024;00:10;2.924227;2.924227;2.924227;2.924227;3
01/08/2024;00:11;2.924227;2.924227;2.922806;2.922806;2
01/08/2024;00:14;2.924227;2.924227;2.924227;2.924227;1
01/08/2024;00:17;2.922806;2.922806;2.922806;2.922806;1
01/08/2024;00:18;2.922806;2.922806;2.922806;2.922806;1
01/08/2024;00:19;2.924227;2.924227;2.924227;2.924227;1
01/08/2024;00:20;2.924227;2.929911;2.924227;2.927069;63
01/08/2024;00:21;2.927069;2.927069;2.925648;2.927069;14
01/08/2024;00:22;2.924227;2.924227;2.924227;2.924227;12
01/08/2024;00:23;2.922806;2.924227;2.922806;2.922806;7
01/08/2024;00:24;2.924227;2.924227;2.924227;2.924227;6
01/08/2024;00:27;2.924227;2.924227;2.924227;2.924227;1
01/08/2024;00:29;2.924227;2.924227;2.924227;2.924227;2
01/08/2024;00:33;2.922806;2.922806;2.922806;2.922806;8
01/08/2024;00:34;2.922806;2.922806;2.922806;2.922806;10
01/08/2024;00:35;2.922806;2.922806;2.922806;2.922806;1
01/08/2024;00:36;2.922806;2.922806;2.921385;2.922806;41
01/08/2024;00:37;2.921385;2.922806;2.921385;2.922806;21
01/08/2024;00:38;2.922806;2.922806;2.922806;2.922806;5
01/08/2024;00:39;2.924227;2.924227;2.924227;2.924227;3
01/08/2024;00:40;2.924227;2.924227;2.924227;2.924227;2
01/08/2024;00:41;2.925648;2.925648;2.922806;2.922806;17
01/08/2024;00:43;2.921385;2.921385;2.919964;2.919964;38
01/08/2024;00:44;2.921385;2.921385;2.921385;2.921385;16
01/08/2024;00:45;2.921385;2.921385;2.921385;2.921385;6
01/08/2024;00:46;2.921385;2.921385;2.921385;2.921385;9
01/08/2024;00:49;2.919964;2.919964;2.919964;2.919964;5
01/08/2024;00:50;2.919964;2.919964;2.919964;2.919964;1
01/08/2024;00:51;2.921385;2.921385;2.921385;2.921385;7
01/08/2024;00:53;2.919964;2.919964;2.919964;2.919964;9
01/08/2024;00:54;2.921385;2.922806;2.921385;2.921385;15
01/08/2024;00:55;2.921385;2.921385;2.921385;2.921385;12
01/08/2024;00:57;2.922806;2.922806;2.922806;2.922806;5
01/08/2024;00:58;2.922806;2.922806;2.922806;2.922806;3
01/08/2024;00:59;2.924227;2.924227;2.924227;2.924227;3
01/08/2024;01:00;2.924227;2.924227;2.911439;2.922806;235
01/08/2024;01:02;2.919964;2.919964;2.918543;2.918543;18
01/08/2024;01:03;2.918543;2.918543;2.917123;2.917123;21
01/08/2024;01:04;2.917123;2.917123;2.917123;2.917123;1
01/08/2024;01:05;2.918543;2.918543;2.918543;2.918543;1
01/08/2024;01:07;2.917123;2.918543;2.917123;2.918543;24
01/08/2024;01:08;2.918543;2.918543;2.918543;2.918543;7
01/08/2024;01:09;2.919964;2.919964;2.919964;2.919964;1
01/08/2024;01:10;2.919964;2.919964;2.919964;2.919964;9
01/08/2024;01:11;2.921385;2.921385;2.921385;2.921385;10
01/08/2024;01:12;2.921385;2.921385;2.921385;2.921385;13
01/08/2024;01:13;2.921385;2.921385;2.921385;2.921385;1
01/08/2024;01:14;2.921385;2.921385;2.921385;2.921385;1
01/08/2024;01:15;2.922806;2.924227;2.922806;2.924227;26
01/08/2024;01:16;2.924227;2.924227;2.924227;2.924227;1
01/08/2024;01:18;2.924227;2.925648;2.924227;2.925648;7
01/08/2024;01:19;2.925648;2.925648;2.924227;2.925648;12
01/08/2024;01:20;2.925648;2.925648;2.924227;2.925648;8
01/08/2024;01:21;2.925648;2.925648;2.925648;2.925648;3
01/08/2024;01:23;2.925648;2.925648;2.925648;2.925648;6
01/08/2024;01:24;2.927069;2.927069;2.925648;2.925648;4
01/08/2024;01:25;2.925648;2.925648;2.925648;2.925648;2
01/08/2024;01:26;2.927069;2.927069;2.925648;2.925648;22
01/08/2024;01:27;2.927069;2.92849;2.925648;2.92849;19
01/08/2024;01:28;2.92849;2.929911;2.92849;2.929911;32
01/08/2024;01:29;2.929911;2.929911;2.929911;2.929911;13
01/08/2024;01:30;2.929911;2.932753;2.929911;2.931332;53
01/08/2024;01:31;2.932753;2.934173;2.932753;2.934173;14
01/08/2024;01:32;2.934173;2.934173;2.931332;2.931332;15
01/08/2024;01:33;2.932753;2.934173;2.931332;2.931332;21
01/08/2024;01:34;2.929911;2.931332;2.929911;2.929911;11
01/08/2024;01:35;2.931332;2.935594;2.931332;2.934173;43
01/08/2024;01:36;2.934173;2.934173;2.929911;2.932753;39
01/08/2024;01:37;2.932753;2.935594;2.931332;2.931332;62
01/08/2024;01:39;2.931332;2.931332;2.931332;2.931332;14
01/08/2024;01:40;2.931332;2.931332;2.931332;2.931332;6
01/08/2024;01:41;2.932753;2.932753;2.932753;2.932753;2
01/08/2024;01:42;2.932753;2.932753;2.931332;2.932753;4
01/08/2024;01:43;2.932753;2.932753;2.931332;2.931332;5
01/08/2024;01:44;2.931332;2.932753;2.931332;2.932753;10
01/08/2024;01:45;2.934173;2.934173;2.934173;2.934173;1
01/08/2024;01:46;2.932753;2.932753;2.932753;2.932753;3
01/08/2024;01:47;2.931332;2.932753;2.931332;2.932753;12
01/08/2024;01:48;2.931332;2.931332;2.931332;2.931332;3
01/08/2024;01:49;2.931332;2.931332;2.929911;2.929911;11
01/08/2024;01:50;2.929911;2.931332;2.929911;2.931332;12
01/08/2024;01:52;2.932753;2.932753;2.931332;2.932753;30
01/08/2024;01:53;2.934173;2.934173;2.934173;2.934173;1
01/08/2024;01:54;2.934173;2.934173;2.932753;2.932753;9
01/08/2024;01:55;2.931332;2.931332;2.931332;2.931332;3
01/08/2024;01:56;2.932753;2.932753;2.932753;2.932753;2
01/08/2024;01:57;2.931332;2.935594;2.931332;2.931332;35
01/08/2024;01:58;2.932753;2.932753;2.927069;2.927069;77
01/08/2024;01:59;2.927069;2.927069;2.924227;2.925648;50
01/08/2024;02:00;2.927069;2.927069;2.910018;2.911439;231
01/08/2024;02:01;2.91286;2.915702;2.911439;2.914281;88
01/08/2024;02:02;2.915702;2.915702;2.914281;2.915702;22
01/08/2024;02:03;2.917123;2.917123;2.917123;2.917123;17
01/08/2024;02:04;2.917123;2.917123;2.915702;2.915702;14
01/08/2024;02:05;2.915702;2.915702;2.911439;2.911439;21
01/08/2024;02:06;2.91286;2.91286;2.911439;2.911439;19
01/08/2024;02:07;2.914281;2.917123;2.914281;2.917123;43
01/08/2024;02:08;2.917123;2.918543;2.917123;2.918543;21
01/08/2024;02:09;2.918543;2.918543;2.917123;2.917123;13
01/08/2024;02:10;2.917123;2.918543;2.917123;2.918543;4
01/08/2024;02:11;2.918543;2.919964;2.918543;2.918543;29
01/08/2024;02:13;2.918543;2.918543;2.917123;2.917123;10
01/08/2024;02:14;2.917123;2.917123;2.917123;2.917123;4
01/08/2024;02:15;2.915702;2.915702;2.915702;2.915702;2
01/08/2024;02:16;2.917123;2.918543;2.917123;2.918543;33
01/08/2024;02:17;2.918543;2.918543;2.917123;2.917123;4
01/08/2024;02:19;2.918543;2.919964;2.918543;2.919964;18
01/08/2024;02:21;2.917123;2.917123;2.917123;2.917123;1
01/08/2024;02:23;2.918543;2.918543;2.918543;2.918543;9
01/08/2024;02:24;2.919964;2.919964;2.919964;2.919964;2
01/08/2024;02:25;2.917123;2.918543;2.917123;2.917123;7
01/08/2024;02:26;2.918543;2.918543;2.911439;2.911439;23
01/08/2024;02:27;2.911439;2.915702;2.910018;2.915702;66
01/08/2024;02:28;2.915702;2.915702;2.915702;2.915702;4
01/08/2024;02:30;2.915702;2.917123;2.915702;2.917123;14
01/08/2024;02:31;2.917123;2.917123;2.917123;2.917123;5
01/08/2024;02:32;2.915702;2.917123;2.915702;2.917123;5
01/08/2024;02:33;2.915702;2.917123;2.915702;2.917123;3
01/08/2024;02:34;2.915702;2.915702;2.914281;2.915702;10
01/08/2024;02:35;2.915702;2.915702;2.914281;2.914281;5
01/08/2024;02:36;2.914281;2.914281;2.914281;2.914281;5
01/08/2024;02:37;2.914281;2.914281;2.91286;2.91286;2
01/08/2024;02:39;2.915702;2.915702;2.914281;2.915702;12
01/08/2024;02:40;2.915702;2.915702;2.915702;2.915702;1
01/08/2024;02:41;2.917123;2.922806;2.917123;2.922806;81
01/08/2024;02:42;2.922806;2.922806;2.921385;2.921385;22
01/08/2024;02:43;2.922806;2.924227;2.922806;2.924227;14
01/08/2024;02:44;2.924227;2.925648;2.924227;2.925648;5
01/08/2024;02:46;2.925648;2.925648;2.925648;2.925648;5
01/08/2024;02:47;2.927069;2.927069;2.924227;2.924227;19
01/08/2024;02:50;2.922806;2.922806;2.919964;2.921385;24
01/08/2024;02:51;2.921385;2.921385;2.921385;2.921385;3
01/08/2024;02:52;2.921385;2.922806;2.921385;2.922806;12
01/08/2024;02:53;2.922806;2.925648;2.922806;2.925648;16
01/08/2024;02:54;2.925648;2.927069;2.925648;2.927069;31
