Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/05/2011;17:00;58.92954;58.935667;58.37811;58.74573;167
01/05/2011;17:01;58.696714;58.764111;58.549666;58.764111;65
01/05/2011;17:02;58.727349;58.92954;58.690587;58.92954;50
01/05/2011;17:03;58.905032;58.960175;58.880524;58.917286;96
01/05/2011;17:04;58.880524;59.039826;58.880524;58.984683;47
01/05/2011;17:05;58.99081;59.05208;58.954048;58.99081;63
01/05/2011;17:06;59.009191;59.009191;58.941794;58.996937;48
01/05/2011;17:07;58.984683;59.033699;58.898905;58.917286;55
01/05/2011;17:08;58.917286;58.923413;58.831508;58.874397;41
01/05/2011;17:09;58.86827;58.86827;58.635444;58.659952;99
01/05/2011;17:10;58.68446;58.715095;58.666079;58.666079;20
01/05/2011;17:11;58.672206;58.757984;58.672206;58.733476;35
01/05/2011;17:12;58.715095;58.819254;58.715095;58.794746;23
01/05/2011;17:13;58.807;58.837635;58.696714;58.794746;55
01/05/2011;17:14;58.788619;58.837635;58.74573;58.807;17
01/05/2011;17:15;58.807;58.966302;58.807;58.966302;34
01/05/2011;17:16;58.966302;58.978556;58.892778;58.911159;51
01/05/2011;17:17;58.911159;58.972429;58.911159;58.954048;25
01/05/2011;17:18;58.954048;58.972429;58.886651;58.905032;22
01/05/2011;17:19;58.917286;58.92954;58.898905;58.917286;21
01/05/2011;17:20;58.92954;58.966302;58.917286;58.917286;30
01/05/2011;17:21;58.917286;58.917286;58.757984;58.757984;40
01/05/2011;17:22;58.757984;58.843762;58.757984;58.843762;15
01/05/2011;17:23;58.843762;58.892778;58.721222;58.757984;27
01/05/2011;17:24;58.757984;58.764111;58.733476;58.764111;11
01/05/2011;17:25;58.74573;58.74573;58.09014;58.231062;230
01/05/2011;17:26;58.175919;58.212681;57.992108;58.206554;188
01/05/2011;17:27;58.231062;58.231062;57.655123;57.655123;263
01/05/2011;17:28;57.532583;57.636742;57.410043;57.532583;409
01/05/2011;17:29;57.532583;57.550964;56.778961;56.993406;478
01/05/2011;17:30;56.993406;57.195598;56.742199;56.76058;479
01/05/2011;17:31;56.803469;56.803469;55.768005;55.810894;561
01/05/2011;17:32;55.79864;56.062102;54.873463;54.873463;836
01/05/2011;17:33;54.493588;54.493588;53.85638;53.85638;226
01/05/2011;17:34;53.372346;53.79511;53.372346;53.782856;594
01/05/2011;17:35;53.782856;53.91765;52.122437;52.165326;740
01/05/2011;17:36;52.165326;52.165326;51.711928;51.711928;749
01/05/2011;17:37;51.724182;52.925075;51.711928;52.925075;399
01/05/2011;17:38;52.845424;53.121139;52.42266;52.918948;320
01/05/2011;17:39;52.937329;53.121139;52.263358;52.42266;230
01/05/2011;17:40;52.477803;52.943456;52.416533;52.937329;176
01/05/2011;17:41;52.912821;53.421362;52.839297;53.304949;247
01/05/2011;17:42;53.366219;53.899269;53.304949;53.788983;226
01/05/2011;17:43;53.733839;53.887015;52.128564;52.324628;228
01/05/2011;17:44;52.244977;53.096631;52.079548;52.790281;244
01/05/2011;17:45;52.808662;53.574537;52.630978;53.409108;163
01/05/2011;17:46;53.341711;53.79511;53.108885;53.721585;137
01/05/2011;17:47;53.715458;53.715458;53.32333;53.648061;153
01/05/2011;17:48;53.660315;53.758347;53.176282;53.176282;126
01/05/2011;17:49;53.170155;53.390727;53.084377;53.304949;88
01/05/2011;17:50;53.255933;53.409108;53.206917;53.206917;93
01/05/2011;17:51;53.206917;53.237552;52.398152;52.434914;197
01/05/2011;17:52;52.398152;52.514565;52.079548;52.079548;316
01/05/2011;17:53;52.097929;52.551327;52.079548;52.5452;229
01/05/2011;17:54;52.508438;52.796408;52.171453;52.655486;134
01/05/2011;17:55;52.673867;52.814789;52.575835;52.7719;106
01/05/2011;17:56;52.7719;53.219171;52.735138;53.219171;163
01/05/2011;17:57;53.237552;53.617426;52.814789;52.827043;292
01/05/2011;17:58;52.802535;53.206917;52.784154;53.01698;93
01/05/2011;17:59;53.13952;53.415235;53.13952;53.402981;198
01/05/2011;18:00;53.347838;53.421362;52.912821;52.912821;89
01/05/2011;18:01;52.912821;53.047615;52.477803;52.71063;144
01/05/2011;18:02;52.765773;52.814789;52.520692;52.814789;128
01/05/2011;18:03;52.814789;52.961837;52.735138;52.735138;75
01/05/2011;18:04;52.722884;52.722884;52.202088;52.226596;245
01/05/2011;18:05;52.257231;52.643232;52.171453;52.36139;143
01/05/2011;18:06;52.379771;52.692249;52.349136;52.594216;106
01/05/2011;18:07;52.459422;52.722884;52.447168;52.692249;121
01/05/2011;18:08;52.673867;52.778027;52.532946;52.716757;150
01/05/2011;18:09;52.704503;52.918948;52.637105;52.759646;100
01/05/2011;18:10;52.759646;52.912821;52.729011;52.89444;67
01/05/2011;18:11;52.876059;53.07825;52.827043;53.07825;151
01/05/2011;18:12;53.084377;53.219171;52.869932;53.13952;136
01/05/2011;18:13;53.170155;53.170155;52.753519;52.949583;120
01/05/2011;18:14;53.010853;53.023107;52.630978;52.71063;95
01/05/2011;18:15;52.808662;52.937329;52.630978;52.937329;102
01/05/2011;18:16;52.937329;53.182409;52.937329;53.157901;156
01/05/2011;18:17;53.164028;53.439743;53.157901;53.427489;238
01/05/2011;18:18;53.439743;53.451997;53.20079;53.335584;152
01/05/2011;18:19;53.304949;53.409108;53.121139;53.402981;103
01/05/2011;18:20;53.390727;53.50714;53.32333;53.32333;81
01/05/2011;18:21;53.360092;53.50714;53.243679;53.317203;73
01/05/2011;18:22;53.311076;53.390727;53.029234;53.243679;117
01/05/2011;18:23;53.096631;53.402981;53.096631;53.341711;106
01/05/2011;18:24;53.317203;53.586791;53.304949;53.464251;166
01/05/2011;18:25;53.488759;53.739966;53.451997;53.635807;187
01/05/2011;18:26;53.62968;53.715458;53.62968;53.654188;89
01/05/2011;18:27;53.672569;53.709331;53.341711;53.513267;85
01/05/2011;18:28;53.562283;53.739966;53.488759;53.739966;38
01/05/2011;18:29;53.721585;53.75222;53.62968;53.75222;108
01/05/2011;18:30;53.764475;53.844126;53.697077;53.79511;153
01/05/2011;18:31;53.819618;53.85638;53.641934;53.764475;176
01/05/2011;18:32;53.770602;53.801237;53.709331;53.770602;65
01/05/2011;18:33;53.764475;53.831872;53.586791;53.62968;78
01/05/2011;18:34;53.62968;53.62968;53.427489;53.488759;68
01/05/2011;18:35;53.488759;53.844126;53.488759;53.819618;52
01/05/2011;18:36;53.801237;53.85638;53.758347;53.837999;41
01/05/2011;18:37;53.813491;53.874761;53.697077;53.874761;47
01/05/2011;18:38;53.868634;54.125968;53.813491;54.113714;188
01/05/2011;18:39;54.10146;54.150476;54.04019;54.132095;80
01/05/2011;18:40;54.113714;54.352667;54.10146;54.224;193
01/05/2011;18:41;54.199492;54.383302;54.150476;54.224;167
01/05/2011;18:42;54.199492;54.322032;54.046317;54.156603;136
