Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
02/10/2011;17:00;36.611069;36.715216;36.611069;36.678458;11
02/10/2011;17:01;36.666206;36.733596;36.6417;36.733596;19
02/10/2011;17:02;36.702964;36.739722;36.702964;36.739722;5
02/10/2011;17:03;36.739722;36.739722;36.739722;36.739722;1
02/10/2011;17:04;36.702964;36.70909;36.702964;36.70909;3
02/10/2011;17:05;36.70909;36.70909;36.660079;36.696837;5
02/10/2011;17:06;36.666206;36.666206;36.592689;36.604942;10
02/10/2011;17:07;36.604942;36.739722;36.57431;36.647827;13
02/10/2011;17:08;36.684585;36.684585;36.684585;36.684585;1
02/10/2011;17:09;36.696837;36.702964;36.696837;36.702964;2
02/10/2011;17:10;36.70909;36.70909;36.70909;36.70909;1
02/10/2011;17:11;36.721343;36.721343;36.721343;36.721343;2
02/10/2011;17:12;36.739722;36.758101;36.733596;36.758101;7
02/10/2011;17:13;36.758101;36.84387;36.758101;36.819364;26
02/10/2011;17:14;36.782606;36.856123;36.782606;36.84387;7
02/10/2011;17:15;36.807112;36.807112;36.733596;36.733596;14
02/10/2011;17:16;36.733596;36.758101;36.733596;36.758101;3
02/10/2011;17:17;36.764227;36.764227;36.696837;36.721343;13
02/10/2011;17:18;36.733596;36.758101;36.733596;36.758101;7
02/10/2011;17:19;36.77648;36.831617;36.733596;36.788733;19
02/10/2011;17:20;36.794859;36.856123;36.794859;36.831617;4
02/10/2011;17:21;36.788733;36.819364;36.721343;36.819364;11
02/10/2011;17:22;36.825491;36.825491;36.807112;36.807112;2
02/10/2011;17:23;36.807112;36.917386;36.782606;36.849996;30
02/10/2011;17:24;36.856123;36.899007;36.856123;36.874502;5
02/10/2011;17:25;36.862249;36.899007;36.831617;36.899007;12
02/10/2011;17:26;36.905133;36.923512;36.899007;36.91126;9
02/10/2011;17:28;36.91126;36.91126;36.91126;36.91126;4
02/10/2011;17:29;36.892881;36.892881;36.880628;36.880628;2
02/10/2011;17:30;36.880628;36.880628;36.880628;36.880628;5
02/10/2011;17:31;36.856123;36.856123;36.819364;36.819364;20
02/10/2011;17:32;36.819364;36.831617;36.819364;36.831617;5
02/10/2011;17:33;36.84387;36.84387;36.819364;36.819364;4
02/10/2011;17:34;36.788733;36.788733;36.782606;36.782606;12
02/10/2011;17:37;36.77648;36.77648;36.751975;36.751975;2
02/10/2011;17:38;36.751975;36.751975;36.702964;36.702964;5
02/10/2011;17:39;36.696837;36.696837;36.647827;36.672332;42
02/10/2011;17:40;36.672332;36.672332;36.611069;36.611069;8
02/10/2011;17:41;36.690711;36.690711;36.690711;36.690711;1
02/10/2011;17:42;36.666206;36.666206;36.666206;36.666206;3
02/10/2011;17:43;36.690711;36.696837;36.690711;36.696837;2
02/10/2011;17:44;36.70909;36.70909;36.70909;36.70909;1
02/10/2011;17:45;36.733596;36.733596;36.721343;36.721343;2
02/10/2011;17:49;36.745848;36.745848;36.733596;36.733596;3
02/10/2011;17:50;36.745848;36.745848;36.745848;36.745848;1
02/10/2011;17:51;36.745848;36.813238;36.745848;36.813238;8
02/10/2011;17:52;36.794859;36.794859;36.788733;36.788733;2
02/10/2011;17:54;36.77648;36.77648;36.77648;36.77648;1
02/10/2011;17:55;36.794859;36.807112;36.794859;36.807112;2
02/10/2011;17:56;36.849996;36.849996;36.849996;36.849996;1
02/10/2011;17:57;36.856123;36.948018;36.856123;36.948018;26
02/10/2011;17:58;36.948018;36.948018;36.941891;36.941891;2
02/10/2011;17:59;36.948018;36.990902;36.948018;36.990902;9
02/10/2011;18:00;36.97865;36.97865;36.954144;36.954144;3
02/10/2011;18:01;36.97865;37.033787;36.966397;37.033787;6
02/10/2011;18:03;37.02766;37.039913;37.02766;37.033787;10
