Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/04/2012;17:00;39.597035;39.719418;39.578678;39.682703;109
01/04/2012;17:01;39.701061;39.719418;39.658227;39.694942;25
01/04/2012;17:02;39.688823;39.743895;39.688823;39.743895;12
01/04/2012;17:03;39.713299;39.737776;39.713299;39.737776;2
01/04/2012;17:04;39.737776;39.737776;39.737776;39.737776;2
01/04/2012;17:05;39.743895;39.78061;39.743895;39.750014;25
01/04/2012;17:06;39.756133;39.756133;39.750014;39.756133;4
01/04/2012;17:08;39.774491;39.786729;39.768372;39.768372;4
01/04/2012;17:09;39.768372;39.768372;39.768372;39.768372;4
01/04/2012;17:10;39.786729;39.786729;39.786729;39.786729;1
01/04/2012;17:11;39.786729;39.792848;39.786729;39.792848;3
01/04/2012;17:12;39.786729;39.798967;39.786729;39.798967;4
01/04/2012;17:13;39.768372;39.768372;39.762252;39.762252;8
01/04/2012;17:15;39.774491;39.78061;39.774491;39.78061;3
01/04/2012;17:16;39.762252;39.774491;39.762252;39.774491;3
01/04/2012;17:17;39.774491;39.774491;39.774491;39.774491;4
01/04/2012;17:18;39.774491;39.774491;39.762252;39.762252;6
01/04/2012;17:19;39.750014;39.762252;39.750014;39.762252;9
01/04/2012;17:20;39.737776;39.756133;39.737776;39.756133;4
01/04/2012;17:21;39.756133;39.774491;39.756133;39.768372;12
01/04/2012;17:22;39.768372;39.786729;39.762252;39.786729;25
01/04/2012;17:23;39.774491;39.774491;39.774491;39.774491;2
01/04/2012;17:24;39.78061;39.786729;39.78061;39.786729;4
01/04/2012;17:25;39.78061;39.78061;39.774491;39.774491;2
01/04/2012;17:26;39.792848;39.792848;39.792848;39.792848;1
01/04/2012;17:27;39.78061;39.78061;39.774491;39.774491;8
01/04/2012;17:28;39.786729;39.786729;39.786729;39.786729;1
01/04/2012;17:31;39.786729;39.786729;39.786729;39.786729;4
01/04/2012;17:32;39.798967;39.798967;39.786729;39.786729;5
01/04/2012;17:33;39.786729;39.786729;39.786729;39.786729;1
01/04/2012;17:34;39.774491;39.774491;39.774491;39.774491;2
01/04/2012;17:38;39.798967;39.798967;39.798967;39.798967;1
01/04/2012;17:39;39.805087;39.805087;39.805087;39.805087;3
01/04/2012;17:40;39.805087;39.805087;39.798967;39.798967;2
01/04/2012;17:41;39.811206;39.811206;39.811206;39.811206;2
01/04/2012;17:42;39.817325;39.829563;39.817325;39.823444;5
01/04/2012;17:43;39.829563;39.829563;39.823444;39.829563;5
01/04/2012;17:44;39.811206;39.811206;39.811206;39.811206;1
01/04/2012;17:47;39.823444;39.823444;39.823444;39.823444;2
01/04/2012;17:49;39.823444;39.823444;39.823444;39.823444;6
01/04/2012;17:50;39.829563;39.835682;39.823444;39.835682;18
01/04/2012;17:51;39.835682;39.835682;39.835682;39.835682;1
01/04/2012;17:52;39.835682;39.835682;39.835682;39.835682;8
01/04/2012;17:53;39.835682;39.835682;39.835682;39.835682;1
01/04/2012;17:58;39.835682;39.841801;39.835682;39.841801;5
