Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/06/2017;00:01;20.085492;20.085492;20.085492;20.085492;22
01/06/2017;00:02;20.085492;20.085492;20.085492;20.085492;2
01/06/2017;00:03;20.085492;20.085492;20.079693;20.079693;12
01/06/2017;00:04;20.079693;20.085492;20.079693;20.085492;2
01/06/2017;00:05;20.085492;20.085492;20.079693;20.079693;2
01/06/2017;00:07;20.079693;20.079693;20.073895;20.073895;20
01/06/2017;00:08;20.073895;20.079693;20.073895;20.079693;3
01/06/2017;00:09;20.073895;20.073895;20.073895;20.073895;27
01/06/2017;00:10;20.068097;20.068097;20.044903;20.044903;248
01/06/2017;00:11;20.050702;20.0565;20.033307;20.044903;333
01/06/2017;00:12;20.050702;20.0565;20.039105;20.0565;53
01/06/2017;00:13;20.050702;20.0565;20.050702;20.0565;20
01/06/2017;00:14;20.050702;20.0565;20.044903;20.050702;19
01/06/2017;00:15;20.0565;20.0565;20.050702;20.0565;6
01/06/2017;00:16;20.0565;20.0565;20.050702;20.050702;3
01/06/2017;00:17;20.0565;20.0565;20.050702;20.0565;5
01/06/2017;00:18;20.0565;20.0565;20.0565;20.0565;4
01/06/2017;00:19;20.050702;20.0565;20.050702;20.0565;26
01/06/2017;00:20;20.050702;20.0565;20.050702;20.0565;2
01/06/2017;00:21;20.050702;20.0565;20.050702;20.050702;9
01/06/2017;00:22;20.050702;20.050702;20.050702;20.050702;8
01/06/2017;00:23;20.044903;20.050702;20.044903;20.044903;4
01/06/2017;00:24;20.044903;20.050702;20.044903;20.044903;8
01/06/2017;00:25;20.050702;20.050702;20.050702;20.050702;24
01/06/2017;00:26;20.0565;20.0565;20.0565;20.0565;20
01/06/2017;00:27;20.0565;20.0565;20.050702;20.050702;7
01/06/2017;00:28;20.0565;20.0565;20.050702;20.050702;9
01/06/2017;00:29;20.050702;20.050702;20.050702;20.050702;2
01/06/2017;00:30;20.050702;20.0565;20.050702;20.050702;40
01/06/2017;00:31;20.050702;20.050702;20.044903;20.050702;3
01/06/2017;00:32;20.050702;20.050702;20.044903;20.050702;6
01/06/2017;00:33;20.050702;20.050702;20.050702;20.050702;4
01/06/2017;00:34;20.044903;20.050702;20.044903;20.050702;5
01/06/2017;00:35;20.044903;20.050702;20.044903;20.044903;26
01/06/2017;00:36;20.044903;20.050702;20.044903;20.044903;12
01/06/2017;00:37;20.044903;20.044903;20.039105;20.044903;12
01/06/2017;00:38;20.044903;20.050702;20.044903;20.050702;15
01/06/2017;00:39;20.050702;20.0565;20.050702;20.0565;52
01/06/2017;00:40;20.0565;20.062298;20.0565;20.0565;64
01/06/2017;00:41;20.050702;20.050702;20.050702;20.050702;22
01/06/2017;00:42;20.050702;20.050702;20.039105;20.044903;62
01/06/2017;00:43;20.044903;20.044903;20.039105;20.044903;10
01/06/2017;00:44;20.050702;20.050702;20.044903;20.044903;2
01/06/2017;00:45;20.044903;20.044903;20.044903;20.044903;2
01/06/2017;00:46;20.044903;20.044903;20.039105;20.044903;31
01/06/2017;00:47;20.039105;20.044903;20.039105;20.039105;8
01/06/2017;00:48;20.039105;20.039105;20.033307;20.033307;122
01/06/2017;00:49;20.039105;20.039105;20.033307;20.039105;4
01/06/2017;00:50;20.033307;20.033307;20.027508;20.027508;69
01/06/2017;00:51;20.027508;20.027508;20.02171;20.027508;33
01/06/2017;00:52;20.02171;20.027508;20.02171;20.02171;12
01/06/2017;00:53;20.027508;20.039105;20.02171;20.033307;36
01/06/2017;00:54;20.033307;20.039105;20.033307;20.039105;5
01/06/2017;00:55;20.033307;20.039105;20.027508;20.033307;58
01/06/2017;00:56;20.033307;20.033307;20.02171;20.02171;28
01/06/2017;00:57;20.02171;20.02171;20.015912;20.02171;42
01/06/2017;00:58;20.015912;20.02171;20.015912;20.02171;33
01/06/2017;00:59;20.02171;20.027508;20.02171;20.02171;22
01/06/2017;01:00;20.02171;20.027508;20.015912;20.02171;39
01/06/2017;01:01;20.02171;20.02171;20.015912;20.02171;41
01/06/2017;01:02;20.02171;20.02171;19.998517;19.998517;172
01/06/2017;01:03;20.004315;20.010113;19.998517;20.004315;91
01/06/2017;01:04;20.004315;20.015912;20.004315;20.015912;44
01/06/2017;01:05;20.010113;20.015912;20.010113;20.015912;39
01/06/2017;01:06;20.015912;20.02171;20.015912;20.02171;47
01/06/2017;01:07;20.015912;20.02171;20.015912;20.015912;10
01/06/2017;01:08;20.015912;20.02171;20.015912;20.02171;23
01/06/2017;01:09;20.015912;20.015912;20.010113;20.010113;18
01/06/2017;01:10;20.010113;20.010113;19.998517;20.004315;182
01/06/2017;01:11;20.004315;20.004315;19.998517;19.998517;24
01/06/2017;01:12;20.004315;20.004315;19.992718;19.998517;132
01/06/2017;01:13;19.998517;20.004315;19.998517;20.004315;114
01/06/2017;01:14;20.010113;20.010113;20.004315;20.004315;14
01/06/2017;01:15;20.010113;20.010113;19.998517;19.998517;69
01/06/2017;01:16;20.004315;20.004315;19.992718;19.998517;47
01/06/2017;01:17;20.004315;20.004315;20.004315;20.004315;10
01/06/2017;01:18;20.004315;20.004315;19.992718;19.998517;40
01/06/2017;01:19;19.992718;20.010113;19.992718;20.010113;68
01/06/2017;01:20;20.010113;20.010113;20.004315;20.004315;14
01/06/2017;01:21;20.004315;20.004315;20.004315;20.004315;26
01/06/2017;01:22;20.004315;20.010113;20.004315;20.004315;6
01/06/2017;01:23;20.010113;20.010113;20.004315;20.010113;31
01/06/2017;01:24;20.010113;20.010113;20.004315;20.004315;7
01/06/2017;01:25;20.004315;20.010113;20.004315;20.004315;41
01/06/2017;01:26;20.004315;20.004315;19.998517;19.998517;30
01/06/2017;01:27;20.004315;20.004315;20.004315;20.004315;46
01/06/2017;01:28;19.998517;20.004315;19.998517;20.004315;25
01/06/2017;01:29;20.004315;20.004315;19.992718;19.998517;55
01/06/2017;01:30;19.998517;19.998517;19.992718;19.992718;32
01/06/2017;01:31;19.998517;20.004315;19.998517;20.004315;19
01/06/2017;01:32;20.004315;20.010113;20.004315;20.010113;72
01/06/2017;01:33;20.010113;20.010113;20.004315;20.004315;52
01/06/2017;01:34;20.010113;20.010113;20.004315;20.010113;31
01/06/2017;01:35;20.004315;20.004315;19.998517;20.004315;26
01/06/2017;01:36;20.004315;20.010113;20.004315;20.010113;16
01/06/2017;01:37;20.010113;20.010113;20.010113;20.010113;46
01/06/2017;01:38;20.010113;20.015912;20.004315;20.015912;30
01/06/2017;01:39;20.015912;20.015912;20.010113;20.015912;26
01/06/2017;01:40;20.015912;20.015912;20.015912;20.015912;14
01/06/2017;01:41;20.015912;20.015912;20.010113;20.010113;10
01/06/2017;01:42;20.010113;20.010113;20.004315;20.010113;11
01/06/2017;01:43;20.010113;20.010113;20.004315;20.004315;8
01/06/2017;01:44;20.010113;20.010113;20.004315;20.010113;26
01/06/2017;01:45;20.004315;20.010113;20.004315;20.010113;55
01/06/2017;01:46;20.015912;20.033307;20.015912;20.027508;129
01/06/2017;01:47;20.027508;20.033307;20.027508;20.033307;157
01/06/2017;01:48;20.033307;20.033307;20.027508;20.033307;12
01/06/2017;01:49;20.033307;20.033307;20.027508;20.027508;16
01/06/2017;01:50;20.033307;20.039105;20.033307;20.039105;71
01/06/2017;01:51;20.039105;20.044903;20.033307;20.033307;47
01/06/2017;01:52;20.033307;20.033307;20.027508;20.027508;10
01/06/2017;01:53;20.033307;20.033307;20.027508;20.027508;7
01/06/2017;01:54;20.033307;20.033307;20.027508;20.027508;16
01/06/2017;01:55;20.02171;20.027508;20.02171;20.027508;38
01/06/2017;01:56;20.027508;20.027508;20.027508;20.027508;5
01/06/2017;01:57;20.027508;20.033307;20.027508;20.033307;6
01/06/2017;01:58;20.027508;20.033307;20.02171;20.033307;38
01/06/2017;01:59;20.027508;20.033307;20.027508;20.027508;49
01/06/2017;02:00;20.02171;20.027508;20.02171;20.027508;17
01/06/2017;02:01;20.02171;20.033307;20.02171;20.033307;67
01/06/2017;02:02;20.039105;20.039105;20.033307;20.033307;17
01/06/2017;02:03;20.033307;20.039105;20.027508;20.039105;43
01/06/2017;02:04;20.033307;20.033307;20.033307;20.033307;30
01/06/2017;02:05;20.033307;20.033307;20.027508;20.027508;19
01/06/2017;02:06;20.027508;20.033307;20.027508;20.027508;18
01/06/2017;02:07;20.02171;20.02171;20.02171;20.02171;67
01/06/2017;02:08;20.027508;20.027508;20.015912;20.02171;46
01/06/2017;02:09;20.02171;20.02171;20.015912;20.02171;25
01/06/2017;02:10;20.015912;20.027508;20.015912;20.027508;13
01/06/2017;02:11;20.02171;20.027508;20.02171;20.027508;4
01/06/2017;02:12;20.02171;20.02171;20.02171;20.02171;21
01/06/2017;02:13;20.02171;20.027508;20.02171;20.027508;22
01/06/2017;02:14;20.033307;20.033307;20.027508;20.033307;8
01/06/2017;02:15;20.027508;20.027508;20.027508;20.027508;4
01/06/2017;02:16;20.027508;20.033307;20.027508;20.027508;4
01/06/2017;02:17;20.033307;20.033307;20.027508;20.027508;2
01/06/2017;02:18;20.033307;20.033307;20.033307;20.033307;44
01/06/2017;02:19;20.033307;20.033307;20.033307;20.033307;6
01/06/2017;02:20;20.033307;20.033307;20.033307;20.033307;6
01/06/2017;02:21;20.039105;20.044903;20.039105;20.039105;36
01/06/2017;02:22;20.039105;20.044903;20.039105;20.044903;4
01/06/2017;02:23;20.044903;20.044903;20.039105;20.039105;7
01/06/2017;02:24;20.039105;20.044903;20.039105;20.039105;40
01/06/2017;02:25;20.044903;20.050702;20.044903;20.044903;80
01/06/2017;02:26;20.050702;20.0565;20.050702;20.0565;46
01/06/2017;02:27;20.050702;20.0565;20.050702;20.050702;12
01/06/2017;02:28;20.050702;20.0565;20.050702;20.050702;44
01/06/2017;02:29;20.0565;20.0565;20.050702;20.0565;4
01/06/2017;02:30;20.0565;20.0565;20.050702;20.050702;34
01/06/2017;02:31;20.050702;20.050702;20.050702;20.050702;1
01/06/2017;02:32;20.050702;20.062298;20.050702;20.062298;32
01/06/2017;02:33;20.062298;20.062298;20.0565;20.062298;57
01/06/2017;02:34;20.0565;20.062298;20.0565;20.0565;14
01/06/2017;02:35;20.0565;20.062298;20.0565;20.0565;21
01/06/2017;02:36;20.0565;20.0565;20.050702;20.0565;30
01/06/2017;02:37;20.0565;20.0565;20.044903;20.044903;26
01/06/2017;02:38;20.044903;20.044903;20.044903;20.044903;10
01/06/2017;02:39;20.044903;20.050702;20.044903;20.050702;4
01/06/2017;02:41;20.044903;20.044903;20.044903;20.044903;2
01/06/2017;02:42;20.044903;20.044903;20.044903;20.044903;3
01/06/2017;02:43;20.044903;20.044903;20.044903;20.044903;1
01/06/2017;02:44;20.050702;20.050702;20.050702;20.050702;38
01/06/2017;02:45;20.044903;20.044903;20.044903;20.044903;1
01/06/2017;02:46;20.044903;20.044903;20.044903;20.044903;21
01/06/2017;02:47;20.039105;20.039105;20.033307;20.033307;25
01/06/2017;02:48;20.033307;20.033307;20.033307;20.033307;4
01/06/2017;02:49;20.033307;20.039105;20.033307;20.033307;4
01/06/2017;02:50;20.033307;20.039105;20.033307;20.039105;22
01/06/2017;02:51;20.033307;20.033307;20.033307;20.033307;1
01/06/2017;02:52;20.039105;20.039105;20.039105;20.039105;3
01/06/2017;02:54;20.039105;20.039105;20.039105;20.039105;5
01/06/2017;02:55;20.039105;20.039105;20.033307;20.033307;26
01/06/2017;02:56;20.033307;20.033307;20.033307;20.033307;62
01/06/2017;02:57;20.033307;20.033307;20.02171;20.027508;47
01/06/2017;02:59;20.027508;20.027508;20.027508;20.027508;19
01/06/2017;03:00;20.027508;20.033307;20.027508;20.033307;2
01/06/2017;03:01;20.033307;20.033307;20.027508;20.027508;19
01/06/2017;03:02;20.027508;20.039105;20.027508;20.039105;37
01/06/2017;03:03;20.039105;20.039105;20.033307;20.033307;37
01/06/2017;03:04;20.033307;20.033307;20.027508;20.027508;67
01/06/2017;03:05;20.02171;20.027508;20.02171;20.02171;4
01/06/2017;03:06;20.027508;20.027508;20.02171;20.027508;4
01/06/2017;03:08;20.027508;20.027508;20.027508;20.027508;1
01/06/2017;03:09;20.027508;20.027508;20.02171;20.02171;36
01/06/2017;03:10;20.02171;20.02171;20.015912;20.015912;54
01/06/2017;03:11;20.015912;20.02171;20.015912;20.015912;32
01/06/2017;03:12;20.015912;20.015912;20.004315;20.015912;55
01/06/2017;03:13;20.010113;20.015912;20.010113;20.015912;13
01/06/2017;03:14;20.015912;20.027508;20.015912;20.015912;30
01/06/2017;03:15;20.02171;20.02171;20.02171;20.02171;11
01/06/2017;03:16;20.02171;20.02171;20.015912;20.015912;16
01/06/2017;03:17;20.010113;20.015912;20.010113;20.015912;10
01/06/2017;03:18;20.015912;20.015912;20.010113;20.015912;7
01/06/2017;03:19;20.010113;20.015912;20.010113;20.015912;7
01/06/2017;03:20;20.015912;20.015912;20.010113;20.010113;41
01/06/2017;03:21;20.010113;20.010113;20.004315;20.004315;35
01/06/2017;03:22;20.010113;20.010113;20.010113;20.010113;9
01/06/2017;03:23;20.004315;20.010113;20.004315;20.010113;36
01/06/2017;03:24;20.010113;20.015912;20.010113;20.015912;25
01/06/2017;03:25;20.010113;20.015912;20.010113;20.015912;3
01/06/2017;03:26;20.015912;20.027508;20.015912;20.027508;13
01/06/2017;03:27;20.027508;20.027508;20.02171;20.02171;2
01/06/2017;03:28;20.02171;20.02171;20.015912;20.015912;19
01/06/2017;03:29;20.015912;20.02171;20.015912;20.02171;10
01/06/2017;03:30;20.02171;20.027508;20.02171;20.027508;49
01/06/2017;03:31;20.033307;20.033307;20.033307;20.033307;4
01/06/2017;03:32;20.027508;20.033307;20.027508;20.033307;7
01/06/2017;03:33;20.027508;20.027508;20.027508;20.027508;7
01/06/2017;03:35;20.027508;20.027508;20.027508;20.027508;9
01/06/2017;03:37;20.033307;20.033307;20.027508;20.027508;3
01/06/2017;03:38;20.027508;20.033307;20.027508;20.033307;18
01/06/2017;03:39;20.027508;20.027508;20.027508;20.027508;2
01/06/2017;03:40;20.027508;20.027508;20.027508;20.027508;1
01/06/2017;03:41;20.033307;20.039105;20.027508;20.039105;51
01/06/2017;03:42;20.039105;20.044903;20.039105;20.039105;56
01/06/2017;03:44;20.039105;20.039105;20.033307;20.039105;3
01/06/2017;03:45;20.039105;20.039105;20.039105;20.039105;13
01/06/2017;03:46;20.033307;20.039105;20.033307;20.039105;4
01/06/2017;03:47;20.039105;20.039105;20.039105;20.039105;3
01/06/2017;03:48;20.039105;20.039105;20.033307;20.039105;8
01/06/2017;03:49;20.039105;20.044903;20.039105;20.044903;10
01/06/2017;03:50;20.044903;20.044903;20.039105;20.039105;25
01/06/2017;03:51;20.044903;20.044903;20.044903;20.044903;1
01/06/2017;03:52;20.039105;20.039105;20.039105;20.039105;7
01/06/2017;03:54;20.044903;20.050702;20.044903;20.050702;17
01/06/2017;03:55;20.044903;20.044903;20.039105;20.039105;24
01/06/2017;03:56;20.033307;20.039105;20.033307;20.039105;11
01/06/2017;03:57;20.044903;20.044903;20.039105;20.044903;5
01/06/2017;03:58;20.039105;20.039105;20.039105;20.039105;6
01/06/2017;03:59;20.044903;20.044903;20.039105;20.039105;37
01/06/2017;04:00;20.039105;20.044903;20.039105;20.039105;14
01/06/2017;04:01;20.039105;20.039105;20.039105;20.039105;16
01/06/2017;04:02;20.039105;20.044903;20.039105;20.039105;24
01/06/2017;04:03;20.039105;20.039105;20.033307;20.033307;35
01/06/2017;04:04;20.033307;20.033307;20.033307;20.033307;7
01/06/2017;04:05;20.039105;20.039105;20.039105;20.039105;16
