Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/02/2022;00:00;24.659352;24.659352;24.659352;24.659352;31
01/02/2022;00:01;24.659352;24.67029;24.653883;24.67029;63
01/02/2022;00:02;24.67029;24.67029;24.659352;24.664821;34
01/02/2022;00:03;24.664821;24.675759;24.664821;24.675759;11
01/02/2022;00:04;24.67029;24.67029;24.67029;24.67029;1
01/02/2022;00:05;24.67029;24.67029;24.67029;24.67029;9
01/02/2022;00:06;24.664821;24.664821;24.664821;24.664821;4
01/02/2022;00:07;24.659352;24.659352;24.653883;24.659352;12
01/02/2022;00:08;24.659352;24.659352;24.659352;24.659352;8
01/02/2022;00:09;24.659352;24.659352;24.648414;24.653883;18
01/02/2022;00:10;24.648414;24.653883;24.648414;24.653883;3
01/02/2022;00:11;24.653883;24.653883;24.648414;24.648414;8
01/02/2022;00:12;24.648414;24.648414;24.632007;24.632007;24
01/02/2022;00:13;24.637476;24.637476;24.632007;24.632007;4
01/02/2022;00:14;24.626539;24.642945;24.626539;24.642945;28
01/02/2022;00:15;24.642945;24.648414;24.642945;24.642945;5
01/02/2022;00:16;24.642945;24.642945;24.642945;24.642945;4
01/02/2022;00:17;24.642945;24.642945;24.637476;24.642945;5
01/02/2022;00:18;24.632007;24.642945;24.632007;24.642945;6
01/02/2022;00:19;24.642945;24.648414;24.642945;24.648414;10
01/02/2022;00:20;24.648414;24.648414;24.642945;24.642945;10
01/02/2022;00:21;24.642945;24.642945;24.642945;24.642945;1
01/02/2022;00:22;24.642945;24.642945;24.632007;24.632007;26
01/02/2022;00:23;24.642945;24.642945;24.632007;24.632007;13
01/02/2022;00:24;24.632007;24.632007;24.632007;24.632007;4
01/02/2022;00:25;24.632007;24.642945;24.632007;24.642945;25
01/02/2022;00:26;24.637476;24.637476;24.632007;24.632007;2
01/02/2022;00:28;24.637476;24.637476;24.637476;24.637476;4
01/02/2022;00:30;24.642945;24.642945;24.637476;24.642945;4
01/02/2022;00:31;24.626539;24.626539;24.626539;24.626539;6
01/02/2022;00:32;24.626539;24.626539;24.626539;24.626539;2
01/02/2022;00:33;24.637476;24.642945;24.637476;24.642945;8
01/02/2022;00:34;24.648414;24.653883;24.648414;24.653883;2
01/02/2022;00:35;24.648414;24.648414;24.648414;24.648414;4
01/02/2022;00:36;24.653883;24.653883;24.653883;24.653883;2
01/02/2022;00:37;24.659352;24.659352;24.653883;24.653883;3
01/02/2022;00:38;24.648414;24.648414;24.648414;24.648414;6
01/02/2022;00:39;24.653883;24.659352;24.653883;24.659352;2
01/02/2022;00:40;24.659352;24.659352;24.648414;24.653883;58
01/02/2022;00:41;24.659352;24.659352;24.659352;24.659352;6
01/02/2022;00:42;24.659352;24.659352;24.659352;24.659352;7
01/02/2022;00:43;24.653883;24.659352;24.653883;24.653883;53
01/02/2022;00:44;24.648414;24.648414;24.637476;24.637476;13
01/02/2022;00:45;24.642945;24.648414;24.642945;24.648414;7
01/02/2022;00:47;24.653883;24.653883;24.648414;24.648414;11
01/02/2022;00:49;24.648414;24.648414;24.648414;24.648414;6
01/02/2022;00:50;24.648414;24.648414;24.648414;24.648414;1
01/02/2022;00:51;24.642945;24.642945;24.642945;24.642945;5
01/02/2022;00:53;24.642945;24.642945;24.642945;24.642945;4
01/02/2022;00:54;24.648414;24.648414;24.637476;24.637476;4
01/02/2022;00:55;24.637476;24.637476;24.637476;24.637476;4
01/02/2022;00:56;24.637476;24.637476;24.626539;24.626539;8
01/02/2022;00:57;24.626539;24.626539;24.626539;24.626539;2
01/02/2022;00:58;24.626539;24.626539;24.626539;24.626539;3
01/02/2022;00:59;24.626539;24.626539;24.62107;24.626539;9
01/02/2022;01:00;24.626539;24.632007;24.615601;24.632007;32
01/02/2022;01:01;24.632007;24.67029;24.632007;24.67029;61
01/02/2022;01:02;24.664821;24.681228;24.648414;24.675759;34
01/02/2022;01:03;24.675759;24.681228;24.67029;24.675759;17
01/02/2022;01:04;24.675759;24.692166;24.675759;24.681228;31
01/02/2022;01:05;24.686697;24.703103;24.686697;24.697634;17
01/02/2022;01:06;24.697634;24.697634;24.681228;24.697634;22
01/02/2022;01:07;24.697634;24.703103;24.692166;24.697634;11
01/02/2022;01:08;24.697634;24.708572;24.697634;24.703103;13
01/02/2022;01:09;24.708572;24.714041;24.703103;24.708572;26
01/02/2022;01:10;24.708572;24.714041;24.703103;24.703103;50
01/02/2022;01:11;24.708572;24.708572;24.703103;24.703103;25
01/02/2022;01:12;24.703103;24.703103;24.675759;24.675759;99
01/02/2022;01:13;24.675759;24.681228;24.67029;24.681228;17
01/02/2022;01:14;24.67029;24.67029;24.664821;24.664821;4
01/02/2022;01:15;24.659352;24.659352;24.642945;24.642945;19
01/02/2022;01:16;24.642945;24.642945;24.637476;24.637476;9
01/02/2022;01:17;24.637476;24.642945;24.637476;24.637476;10
01/02/2022;01:18;24.637476;24.648414;24.637476;24.648414;10
01/02/2022;01:19;24.648414;24.648414;24.642945;24.648414;4
01/02/2022;01:20;24.648414;24.653883;24.648414;24.653883;8
01/02/2022;01:21;24.659352;24.67029;24.659352;24.67029;14
01/02/2022;01:22;24.67029;24.681228;24.664821;24.675759;38
01/02/2022;01:23;24.681228;24.681228;24.67029;24.67029;25
01/02/2022;01:24;24.67029;24.67029;24.659352;24.659352;16
01/02/2022;01:25;24.659352;24.659352;24.653883;24.653883;8
01/02/2022;01:26;24.653883;24.653883;24.653883;24.653883;2
01/02/2022;01:27;24.648414;24.653883;24.642945;24.653883;13
01/02/2022;01:28;24.653883;24.664821;24.653883;24.664821;7
01/02/2022;01:29;24.67029;24.675759;24.664821;24.67029;38
01/02/2022;01:30;24.675759;24.675759;24.67029;24.67029;3
01/02/2022;01:31;24.675759;24.681228;24.675759;24.681228;17
01/02/2022;01:32;24.681228;24.686697;24.681228;24.686697;32
01/02/2022;01:33;24.686697;24.686697;24.686697;24.686697;10
01/02/2022;01:34;24.686697;24.697634;24.686697;24.697634;17
01/02/2022;01:35;24.697634;24.703103;24.697634;24.703103;13
01/02/2022;01:36;24.703103;24.708572;24.675759;24.675759;74
01/02/2022;01:37;24.67029;24.675759;24.67029;24.675759;3
01/02/2022;01:38;24.67029;24.67029;24.664821;24.664821;9
01/02/2022;01:39;24.664821;24.681228;24.664821;24.681228;8
01/02/2022;01:40;24.681228;24.686697;24.675759;24.675759;5
01/02/2022;01:41;24.675759;24.675759;24.675759;24.675759;3
01/02/2022;01:42;24.67029;24.67029;24.659352;24.659352;15
01/02/2022;01:43;24.653883;24.67029;24.653883;24.67029;11
01/02/2022;01:44;24.664821;24.664821;24.653883;24.653883;6
01/02/2022;01:45;24.648414;24.648414;24.642945;24.648414;5
01/02/2022;01:46;24.653883;24.675759;24.653883;24.67029;27
01/02/2022;01:47;24.664821;24.67029;24.664821;24.67029;3
01/02/2022;01:48;24.675759;24.675759;24.664821;24.67029;15
01/02/2022;01:49;24.681228;24.686697;24.681228;24.686697;8
01/02/2022;01:50;24.686697;24.703103;24.686697;24.703103;17
01/02/2022;01:51;24.692166;24.697634;24.686697;24.686697;12
01/02/2022;01:52;24.681228;24.692166;24.681228;24.692166;4
01/02/2022;01:53;24.697634;24.697634;24.692166;24.692166;3
01/02/2022;01:54;24.692166;24.703103;24.692166;24.703103;5
01/02/2022;01:55;24.708572;24.724979;24.708572;24.714041;29
01/02/2022;01:56;24.714041;24.714041;24.714041;24.714041;10
01/02/2022;01:57;24.71951;24.730448;24.71951;24.724979;10
01/02/2022;01:58;24.724979;24.724979;24.714041;24.724979;10
01/02/2022;01:59;24.71951;24.735917;24.71951;24.730448;33
01/02/2022;02:00;24.730448;24.730448;24.71951;24.724979;31
01/02/2022;02:01;24.714041;24.71951;24.708572;24.714041;19
01/02/2022;02:02;24.714041;24.71951;24.708572;24.71951;7
01/02/2022;02:03;24.714041;24.71951;24.708572;24.708572;10
01/02/2022;02:04;24.714041;24.71951;24.708572;24.714041;29
01/02/2022;02:05;24.714041;24.730448;24.714041;24.730448;23
01/02/2022;02:06;24.730448;24.730448;24.724979;24.724979;19
01/02/2022;02:07;24.724979;24.735917;24.724979;24.735917;11
01/02/2022;02:08;24.730448;24.730448;24.71951;24.724979;18
01/02/2022;02:09;24.71951;24.746855;24.71951;24.741386;86
01/02/2022;02:10;24.741386;24.741386;24.730448;24.735917;25
01/02/2022;02:11;24.730448;24.757793;24.730448;24.752324;46
01/02/2022;02:12;24.752324;24.763261;24.752324;24.752324;62
01/02/2022;02:13;24.752324;24.757793;24.741386;24.741386;37
01/02/2022;02:14;24.741386;24.741386;24.735917;24.735917;15
01/02/2022;02:15;24.735917;24.735917;24.724979;24.724979;8
01/02/2022;02:16;24.708572;24.71951;24.703103;24.708572;36
01/02/2022;02:17;24.703103;24.703103;24.703103;24.703103;27
01/02/2022;02:18;24.697634;24.708572;24.686697;24.708572;26
01/02/2022;02:19;24.708572;24.71951;24.708572;24.71951;5
01/02/2022;02:20;24.71951;24.730448;24.714041;24.730448;7
01/02/2022;02:21;24.724979;24.730448;24.714041;24.714041;9
01/02/2022;02:22;24.714041;24.724979;24.708572;24.714041;73
