Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/09/2023;00:00;26.386124;26.386124;26.386124;26.386124;2
01/09/2023;00:01;26.391434;26.391434;26.391434;26.391434;1
01/09/2023;00:03;26.391434;26.391434;26.391434;26.391434;3
01/09/2023;00:04;26.391434;26.391434;26.391434;26.391434;1
01/09/2023;00:05;26.386124;26.386124;26.386124;26.386124;5
01/09/2023;00:06;26.386124;26.386124;26.386124;26.386124;1
01/09/2023;00:08;26.380814;26.391434;26.380814;26.391434;12
01/09/2023;00:09;26.380814;26.380814;26.380814;26.380814;5
01/09/2023;00:11;26.375504;26.375504;26.370193;26.370193;5
01/09/2023;00:12;26.370193;26.370193;26.364883;26.370193;17
01/09/2023;00:13;26.370193;26.370193;26.370193;26.370193;6
01/09/2023;00:14;26.364883;26.370193;26.364883;26.370193;17
01/09/2023;00:15;26.370193;26.370193;26.364883;26.364883;7
01/09/2023;00:16;26.370193;26.370193;26.370193;26.370193;2
01/09/2023;00:17;26.370193;26.375504;26.370193;26.375504;5
01/09/2023;00:18;26.375504;26.375504;26.375504;26.375504;1
01/09/2023;00:19;26.375504;26.375504;26.375504;26.375504;4
01/09/2023;00:20;26.380814;26.380814;26.380814;26.380814;6
01/09/2023;00:21;26.375504;26.375504;26.370193;26.375504;15
01/09/2023;00:22;26.370193;26.370193;26.364883;26.364883;15
01/09/2023;00:23;26.370193;26.370193;26.370193;26.370193;19
01/09/2023;00:24;26.375504;26.375504;26.375504;26.375504;2
01/09/2023;00:25;26.375504;26.375504;26.370193;26.370193;9
01/09/2023;00:26;26.375504;26.375504;26.375504;26.375504;6
01/09/2023;00:27;26.375504;26.375504;26.370193;26.370193;4
01/09/2023;00:28;26.375504;26.375504;26.375504;26.375504;5
01/09/2023;00:29;26.375504;26.375504;26.375504;26.375504;4
01/09/2023;00:30;26.375504;26.386124;26.370193;26.380814;87
01/09/2023;00:31;26.386124;26.391434;26.386124;26.386124;18
01/09/2023;00:32;26.386124;26.402054;26.386124;26.402054;11
01/09/2023;00:33;26.396744;26.402054;26.396744;26.402054;14
01/09/2023;00:34;26.402054;26.407365;26.402054;26.402054;23
01/09/2023;00:35;26.402054;26.402054;26.402054;26.402054;11
01/09/2023;00:36;26.402054;26.402054;26.396744;26.396744;4
01/09/2023;00:37;26.396744;26.407365;26.396744;26.407365;13
01/09/2023;00:38;26.407365;26.407365;26.391434;26.391434;20
01/09/2023;00:39;26.396744;26.407365;26.396744;26.402054;24
01/09/2023;00:40;26.391434;26.396744;26.386124;26.386124;8
01/09/2023;00:41;26.386124;26.386124;26.386124;26.386124;5
01/09/2023;00:42;26.391434;26.396744;26.391434;26.396744;8
01/09/2023;00:43;26.396744;26.407365;26.396744;26.407365;11
01/09/2023;00:44;26.412675;26.412675;26.407365;26.412675;7
01/09/2023;00:45;26.417985;26.423295;26.407365;26.412675;40
01/09/2023;00:46;26.407365;26.407365;26.396744;26.402054;17
01/09/2023;00:47;26.402054;26.407365;26.391434;26.391434;14
01/09/2023;00:48;26.386124;26.386124;26.386124;26.386124;4
01/09/2023;00:49;26.380814;26.380814;26.375504;26.380814;6
01/09/2023;00:50;26.375504;26.375504;26.364883;26.364883;23
01/09/2023;00:51;26.359573;26.364883;26.359573;26.364883;43
01/09/2023;00:52;26.364883;26.370193;26.359573;26.359573;24
01/09/2023;00:53;26.354263;26.375504;26.354263;26.375504;25
01/09/2023;00:54;26.375504;26.380814;26.370193;26.370193;40
01/09/2023;00:55;26.370193;26.386124;26.370193;26.386124;37
01/09/2023;00:56;26.386124;26.386124;26.375504;26.380814;49
01/09/2023;00:57;26.380814;26.380814;26.375504;26.375504;22
01/09/2023;00:58;26.375504;26.380814;26.375504;26.380814;22
01/09/2023;00:59;26.380814;26.386124;26.375504;26.386124;16
01/09/2023;01:00;26.386124;26.391434;26.380814;26.380814;64
01/09/2023;01:01;26.380814;26.386124;26.380814;26.386124;30
01/09/2023;01:02;26.386124;26.396744;26.386124;26.391434;14
01/09/2023;01:03;26.396744;26.396744;26.396744;26.396744;3
01/09/2023;01:04;26.391434;26.391434;26.391434;26.391434;3
01/09/2023;01:05;26.391434;26.396744;26.391434;26.391434;7
01/09/2023;01:06;26.396744;26.396744;26.391434;26.391434;5
01/09/2023;01:07;26.391434;26.391434;26.391434;26.391434;6
01/09/2023;01:08;26.391434;26.391434;26.386124;26.386124;9
01/09/2023;01:09;26.386124;26.386124;26.386124;26.386124;2
01/09/2023;01:10;26.386124;26.386124;26.386124;26.386124;17
01/09/2023;01:11;26.380814;26.386124;26.380814;26.380814;28
01/09/2023;01:12;26.386124;26.391434;26.386124;26.391434;21
01/09/2023;01:13;26.396744;26.396744;26.396744;26.396744;24
01/09/2023;01:14;26.402054;26.407365;26.402054;26.407365;24
01/09/2023;01:15;26.407365;26.407365;26.402054;26.402054;13
01/09/2023;01:16;26.402054;26.412675;26.402054;26.407365;42
01/09/2023;01:17;26.407365;26.412675;26.407365;26.407365;9
01/09/2023;01:18;26.407365;26.417985;26.407365;26.417985;29
01/09/2023;01:19;26.412675;26.417985;26.412675;26.412675;29
01/09/2023;01:20;26.412675;26.428605;26.412675;26.428605;129
01/09/2023;01:21;26.423295;26.428605;26.423295;26.428605;149
01/09/2023;01:22;26.428605;26.428605;26.407365;26.407365;68
01/09/2023;01:23;26.402054;26.402054;26.386124;26.391434;70
01/09/2023;01:24;26.391434;26.391434;26.380814;26.380814;46
01/09/2023;01:25;26.386124;26.386124;26.380814;26.380814;37
01/09/2023;01:26;26.380814;26.386124;26.380814;26.380814;31
01/09/2023;01:27;26.386124;26.386124;26.380814;26.380814;16
01/09/2023;01:28;26.380814;26.386124;26.375504;26.380814;42
01/09/2023;01:29;26.380814;26.386124;26.370193;26.370193;19
01/09/2023;01:30;26.370193;26.375504;26.364883;26.370193;23
01/09/2023;01:31;26.370193;26.370193;26.359573;26.364883;13
01/09/2023;01:32;26.359573;26.364883;26.359573;26.359573;14
01/09/2023;01:33;26.359573;26.364883;26.359573;26.359573;9
01/09/2023;01:34;26.359573;26.370193;26.359573;26.370193;10
01/09/2023;01:35;26.370193;26.375504;26.370193;26.375504;18
01/09/2023;01:36;26.380814;26.386124;26.380814;26.380814;17
01/09/2023;01:37;26.380814;26.380814;26.380814;26.380814;7
01/09/2023;01:38;26.380814;26.386124;26.380814;26.380814;15
01/09/2023;01:39;26.386124;26.386124;26.386124;26.386124;14
01/09/2023;01:40;26.386124;26.386124;26.380814;26.380814;8
01/09/2023;01:41;26.386124;26.386124;26.386124;26.386124;12
01/09/2023;01:42;26.386124;26.386124;26.386124;26.386124;1
01/09/2023;01:43;26.391434;26.402054;26.391434;26.396744;18
01/09/2023;01:44;26.402054;26.412675;26.402054;26.402054;45
01/09/2023;01:45;26.402054;26.402054;26.396744;26.402054;6
01/09/2023;01:46;26.396744;26.402054;26.396744;26.402054;12
01/09/2023;01:47;26.402054;26.402054;26.386124;26.391434;24
01/09/2023;01:48;26.386124;26.386124;26.380814;26.380814;16
01/09/2023;01:49;26.380814;26.380814;26.380814;26.380814;18
01/09/2023;01:50;26.380814;26.380814;26.370193;26.375504;6
01/09/2023;01:51;26.375504;26.380814;26.375504;26.375504;22
01/09/2023;01:52;26.375504;26.375504;26.370193;26.370193;8
01/09/2023;01:53;26.370193;26.370193;26.364883;26.370193;22
01/09/2023;01:54;26.364883;26.370193;26.359573;26.364883;29
01/09/2023;01:55;26.370193;26.375504;26.370193;26.375504;19
01/09/2023;01:56;26.380814;26.380814;26.380814;26.380814;7
01/09/2023;01:57;26.386124;26.396744;26.386124;26.391434;31
01/09/2023;01:58;26.386124;26.396744;26.386124;26.396744;20
01/09/2023;01:59;26.402054;26.407365;26.402054;26.407365;34
01/09/2023;02:00;26.407365;26.412675;26.402054;26.407365;32
