Date (D);Time (T);Open (O);High (H);Low (L);Close (C);Volume (V)
01/08/2024;00:00;29.962812;29.978315;29.962812;29.978315;35
01/08/2024;00:01;29.973147;29.978315;29.973147;29.978315;5
01/08/2024;00:02;29.973147;29.973147;29.973147;29.973147;10
01/08/2024;00:03;29.978315;29.978315;29.96798;29.96798;14
01/08/2024;00:04;29.962812;29.973147;29.962812;29.973147;18
01/08/2024;00:05;29.973147;29.973147;29.96798;29.96798;6
01/08/2024;00:07;29.973147;29.988651;29.973147;29.988651;18
01/08/2024;00:08;29.988651;29.988651;29.988651;29.988651;4
01/08/2024;00:09;29.993818;29.993818;29.988651;29.993818;3
01/08/2024;00:11;29.993818;29.993818;29.988651;29.993818;20
01/08/2024;00:12;29.993818;30.009322;29.993818;30.009322;15
01/08/2024;00:13;30.009322;30.019657;30.009322;30.01449;11
01/08/2024;00:14;30.009322;30.01449;29.998986;29.998986;34
01/08/2024;00:15;29.998986;30.01449;29.998986;30.01449;18
01/08/2024;00:16;30.01449;30.019657;30.01449;30.019657;8
01/08/2024;00:17;30.024825;30.029993;30.024825;30.029993;3
01/08/2024;00:18;30.029993;30.035161;30.019657;30.019657;27
01/08/2024;00:19;30.019657;30.045496;30.019657;30.045496;17
01/08/2024;00:20;30.045496;30.045496;30.040328;30.040328;15
01/08/2024;00:21;30.040328;30.061;30.040328;30.061;46
01/08/2024;00:22;30.055832;30.061;30.055832;30.055832;16
01/08/2024;00:23;30.061;30.061;30.055832;30.055832;6
01/08/2024;00:24;30.066167;30.066167;30.061;30.066167;11
01/08/2024;00:25;30.066167;30.081671;30.061;30.071335;54
01/08/2024;00:26;30.061;30.071335;30.061;30.061;10
01/08/2024;00:27;30.061;30.061;30.045496;30.055832;34
01/08/2024;00:28;30.055832;30.071335;30.055832;30.066167;24
01/08/2024;00:29;30.066167;30.071335;30.066167;30.071335;15
01/08/2024;00:30;30.071335;30.092006;30.029993;30.029993;197
01/08/2024;00:31;30.029993;30.050664;30.024825;30.050664;57
01/08/2024;00:32;30.055832;30.071335;30.055832;30.055832;20
01/08/2024;00:33;30.045496;30.061;30.040328;30.055832;21
01/08/2024;00:34;30.061;30.061;30.050664;30.050664;26
01/08/2024;00:35;30.040328;30.040328;30.024825;30.024825;32
01/08/2024;00:36;30.01449;30.045496;30.009322;30.045496;49
01/08/2024;00:37;30.045496;30.055832;30.040328;30.055832;10
01/08/2024;00:38;30.045496;30.050664;30.040328;30.040328;6
01/08/2024;00:39;30.040328;30.040328;30.029993;30.029993;8
01/08/2024;00:40;30.029993;30.029993;30.009322;30.024825;49
01/08/2024;00:41;30.024825;30.040328;30.019657;30.019657;31
01/08/2024;00:42;30.01449;30.029993;30.01449;30.01449;37
01/08/2024;00:43;30.01449;30.040328;30.01449;30.040328;40
01/08/2024;00:44;30.040328;30.055832;30.040328;30.055832;33
01/08/2024;00:45;30.050664;30.055832;30.024825;30.024825;25
01/08/2024;00:46;30.01449;30.019657;30.009322;30.009322;45
01/08/2024;00:47;30.009322;30.01449;29.998986;30.004154;50
01/08/2024;00:48;30.009322;30.009322;29.988651;29.998986;34
